Country	Goveernment % (2010)	Goveernment % (2018)
Afghanistan	50.9	36.7
Albania	23	23.3
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	25.6	16.7
Antigua and Barbuda	..	..
Argentina	..	22.9
Armenia	23	22.1
Aruba	..	..
Australia	26.8	26.1
Austria	46.4	43.7
Azerbaijan	20.9	21.4
Bahamas, The	13.8	17.9
Bahrain	..	..
Bangladesh	9.3	9.4
Barbados	34.4	33.8
Belarus	30.2	28.2
Belgium	43.6	39.8
Belize	25	27.6
Benin	..	..
Bermuda	..	..
Bhutan	22.2	20.4
Bolivia	21.8	..
Bosnia and Herzegovina	39.2	35
Botswana	33.1	23.6
Brazil	30.8	36
Brunei Darussalam	..	..
Bulgaria	31.9	32.7
Burkina Faso	10.6	17
Burundi	..	..
Cabo Verde	25.6	28.4
Cambodia	10.6	15
Cameroon	13.2	11.7
Canada	19.1	17.6
Cayman Islands	..	..
Central African Republic	16.3	10.1
Chad	..	..
Channel Islands	..	..
Chile	20.1	22.4
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	14.8	15.1
Colombia	25.4	27.5
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	11.8	21.4
Costa Rica	25.9	29.8
Cote d'Ivoire	14.9	14.9
Croatia	41.3	38.9
Cuba	..	..
Curacao	..	..
Cyprus	39.1	39.8
Czech Republic	35.2	32.6
Denmark	42.3	37.2
Djibouti	..	..
Dominica	..	..
Dominican Republic	14.2	15.7
Ecuador	..	..
Egypt, Arab Rep.	28.9	30.2
El Salvador	24.1	24.6
Equatorial Guinea	5.6	10.2
Eritrea	..	..
Estonia	37.6	35.4
Eswatini	..	..
Ethiopia	12.5	10.8
Faroe Islands	..	..
Fiji	23.7	28.3
Finland	38.4	37.3
France	49.3	47
French Polynesia	..	..
Gabon	16.3	13.7
Gambia, The	10.7	..
Georgia	25.1	21.4
Germany	31.4	28.1
Ghana	20.2	18.1
Greece	50.5	46.6
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	12.7	12.5
Guinea	..	..
Guinea-Bissau	..	12.6
Guyana	..	..
Haiti	..	..
Honduras	22.7	22
Hungary	43.9	40.4
Iceland	36.8	29.5
India	16.5	14.9
Indonesia	14	14.8
Iran, Islamic Rep.	19.6	..
Iraq	..	25.3
Ireland	62.2	23.3
Isle of Man	..	..
Israel	38	37
Italy	42.8	42.5
Jamaica	28.9	26.6
Japan	17.4	16.3
Jordan	26.6	27
Kazakhstan	16.5	14.7
Kenya	..	24.8
Kiribati	63.9	76.7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	17.6	25
Kosovo	..	..
Kuwait	42.2	52
Kyrgyz Republic	..	25.5
Lao PDR	..	..
Latvia	55.5	42.6
Lebanon	25.8	29.3
Lesotho	41.9	39
Liberia	13.6	..
Libya	..	..
Liechtenstein	..	..
Lithuania	39.6	32.3
Luxembourg	39.9	38.4
Madagascar	7.7	9.8
Malawi	18.5	21.3
Malaysia	18.2	15.9
Maldives	29.2	..
Mali	12.8	12.3
Malta	40.6	35.1
Marshall Islands	52	57.9
Mauritania	..	..
Mauritius	22	23.3
Mexico	21.4	20.4
Micronesia, Fed. Sts.	16.8	21.5
Moldova	29.1	27.3
Monaco	..	..
Mongolia	22.9	22.6
Montenegro	..	..
Morocco	27.1	24.7
Mozambique	20.2	20.1
Myanmar	10.6	13.9
Namibia	28.5	33.6
Nepal	15.6	19.4
Netherlands	41.6	37.6
New Caledonia	..	..
New Zealand	34.2	30.3
Nicaragua	15	16.8
Niger	..	..
Nigeria	..	..
North Macedonia	30.1	28
Northern Mariana Islands	..	..
Norway	34.9	37.7
Oman	..	..
Pakistan	..	..
Palau	52.1	41.4
Panama	..	..
Papua New Guinea	..	19
Paraguay	11.8	15.1
Peru	17.8	19.8
Philippines	13.8	14.2
Poland	36.6	33.5
Portugal	44	39.2
Puerto Rico	..	..
Qatar	..	..
Romania	35.4	33.1
Russian Federation	27.4	28.7
Rwanda	..	18.7
Samoa	29.3	27.8
San Marino	37.3	44.8
Sao Tome and Principe	..	..
Saudi Arabia	24.4	30.2
Senegal	..	19.7
Serbia	36.6	..
Seychelles	28.6	32
Sierra Leone	..	..
Singapore	12.4	14.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	39.9	39.3
Slovenia	43.3	37.9
Solomon Islands	28.5	31.9
Somalia	..	..
South Africa	31.8	35.9
South Sudan	..	..
Spain	20	19.1
Sri Lanka	16.8	16.3
St. Kitts and Nevis	25.8	24.3
St. Lucia	18	17.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	25.7	26.4
Sudan	15	10.5
Suriname	..	..
Sweden	33	31.7
Switzerland	16.9	17
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	13.2	14.3
Thailand	17.4	18.4
Timor-Leste	83.6	56.5
Togo	14.2	17.9
Tonga	26.2	31.4
Trinidad and Tobago	30.7	35
Tunisia	28	..
Turkey	33.6	33.9
Turkmenistan	..	..
