Country	Revenue % (2010)	Revenue % (2010)
Afghanistan	9.2	9.3
Albania	18	18.6
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	16.6	9.2
Antigua and Barbuda	..	..
Argentina	12.9	10.1
Armenia	17.1	20.9
Aruba	..	..
Australia	20.5	23
Austria	25.3	25.4
Azerbaijan	12.2	13
Bahamas, The	10.9	14.8
Bahrain	..	..
Bangladesh	7.8	8.8
Barbados	24.7	27.5
Belarus	16.3	14.7
Belgium	24.5	24
Belize	23.9	26.3
Benin	..	..
Bermuda	..	..
Bhutan	13.5	16
Bolivia	..	..
Bosnia and Herzegovina	19.7	20.4
Botswana	23.6	19.5
Brazil	14.3	14.2
Brunei Darussalam	..	..
Bulgaria	18.5	20.2
Burkina Faso	11.3	15
Burundi	..	..
Cabo Verde	18.4	20.1
Cambodia	10	17.1
Cameroon	11.8	12.8
Canada	11.8	12.9
Cayman Islands	..	..
Central African Republic	8.4	8.6
Chad	..	..
Channel Islands	..	..
Chile	17.4	18.2
China	10.2	9.4
Hong Kong SAR, China	..	..
Macao SAR, China	34.5	28.8
Colombia	12.1	14.4
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	7.6	9
Costa Rica	13.1	13.6
Cote d'Ivoire	14.3	11.8
Croatia	19.8	22
Cuba	..	..
Curacao	..	..
Cyprus	23.1	24.5
Czech Republic	13.4	14.9
Denmark	32.7	32.4
Djibouti	..	..
Dominica	..	..
Dominican Republic	12.2	13
Ecuador	..	..
Egypt, Arab Rep.	14.1	..
El Salvador	15.8	18.1
Equatorial Guinea	7.6	6.1
Eritrea	..	..
Estonia	19.7	20.9
Ethiopia	8.2	7.5
Faroe Islands	..	..
Fiji	21.8	24.2
Finland	18.6	20.8
France	22.1	24.2
French Polynesia	..	..
Gabon	14.1	10.2
Gambia, The	9.4	..
Georgia	21	21.7
Germany	11.2	11.5
Ghana	13.4	12.6
Greece	20.2	26.2
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	10.4	10.6
Guinea	..	..
Guinea-Bissau	..	10.3
Guyana	..	..
Haiti	..	..
Honduras	14.4	..
Hungary	22.8	23
Iceland	20.1	23.4
India	10.4	11.2
Indonesia	10.5	10.2
Iran, Islamic Rep.	7.4	..
Iraq	..	2
Ireland	21.8	18.3
Isle of Man	..	..
Israel	22.5	23.1
Italy	23.7	24.3
Jamaica	24.3	26.8
Japan	8.8	11.9
Jordan	15.7	15.1
Kazakhstan	15.7	11.7
Kenya	..	15.1
Kiribati	17.6	22
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	13.4	15.6
Kosovo	..	..
Kuwait	1	..
Kyrgyz Republic	..	18
Lao PDR	..	..
Latvia	19.8	22.9
Lebanon	16.8	15.3
Lesotho	29.8	31.6
Liberia	11.2	..
Libya	..	..
Liechtenstein	..	..
Lithuania	16	16.9
Luxembourg	25	26.5
North Macedonia	16.9	17.7
Madagascar	8.5	10.2
Malawi	15.4	17.4
Malaysia	13.3	12
Maldives	9.1	..
Mali	12.9	11.6
Malta	26.1	26.2
Marshall Islands	17.6	17.8
Mauritania	..	..
Mauritius	18	19.1
Mexico	10.1	13.1
