Country	Primary	Secondary
Afghanistan	..	..
Albania	89.9	..
Algeria	..	..
American Samoa	..	..
Andorra	100	100
Angola	..	..
Antigua and Barbuda	52.8	47.7
Argentina	..	..
Armenia	..	..
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	99.5	91.9
Bahamas, The	89.8	83.1
Bahrain	100	100
Bangladesh	50.4	66.5
Barbados	76.5	48.9
Belarus	99.6	96.6
Belgium	..	..
Belize	79.2	61.3
Benin	70.4	18
Bermuda	100	100
Bhutan	100	100
Bolivia	90.4	88.7
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	86.4	89.1
Bulgaria	..	..
Burkina Faso	87.6	59.8
Burundi	100	100
Cabo Verde	98.6	96
Cambodia	100	..
Cameroon	81.2	..
Canada	..	..
Cayman Islands	100	100
Central African Republic	..	45.4
Chad	..	44
Channel Islands	..	..
Chile	..	..
China	..	..
Hong Kong SAR, China	96.6	97
Macao SAR, China	98.5	91.3
Colombia	97.5	97.6
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	94.4	96.1
Cote d'Ivoire	100	100
Croatia	..	..
Cuba	100	100
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	100	..
Dominica	65.7	48.6
Dominican Republic	94.9	..
Ecuador	..	..
Egypt, Arab Rep.	82.7	81.9
El Salvador	95.5	92.5
Equatorial Guinea	..	..
Eritrea	84.5	..
Estonia	..	..
Eswatini	87.7	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	100	100
Georgia	..	..
Germany	..	..
Ghana	60.4	77.1
Greece	..	..
Greenland	..	..
Grenada	62.9	46.3
Guam	..	..
Guatemala	..	..
Guinea	75.4	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	..	..
Iceland	..	..
India	69.8	76.5
Indonesia	..	..
Iran, Islamic Rep.	100	97.5
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	100	100
Japan	..	..
Jordan	100	100
Kazakhstan	100	100
Kenya	..	..
Kiribati	72.7	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	95.4	74.8
Lao PDR	97	95.9
Latvia	..	..
Lebanon	..	..
Lesotho	86.5	88.9
Liberia	70.2	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	14.7	20.2
Malawi	..	..
Malaysia	97.3	93.4
Maldives	90.1	..
Mali	..	..
Malta	..	..
Marshall Islands	..	..
Mauritania	91.2	97.2
Mauritius	100	53.1
Mexico	96.6	92.1
Micronesia, Fed. Sts.	..	..
Moldova	99	98.4
Monaco	63.5	..
Mongolia	93.3	88.9
Montenegro	..	..
Morocco	100	100
Mozambique	97.2	..
Myanmar	95.3	89
Namibia	..	..
Nepal	97.3	83.3
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	..	..
Niger	61.6	10.6
Nigeria	..	..
North Macedonia	..	..
Northern Mariana Islands	..	..
Norway	..	..
Oman	100	100
Pakistan	78	..
Palau	..	..
Panama	99.2	..
Papua New Guinea	..	..
Paraguay	..	..
Peru	94.7	90.5
Philippines	100	100
Poland	..	..
Portugal	..	..
Puerto Rico	92.6	84
Qatar	..	..
Romania	..	..
Russian Federation	..	..
Rwanda	94.4	62.6
Samoa	..	..
San Marino	90.2	..
Sao Tome and Principe	27.4	..
Saudi Arabia	100	100
Senegal	79.4	76.7
Serbia	..	..
Seychelles	85	100
Sierra Leone	60.9	..
Singapore	99	99
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	76.1	..
Somalia	..	..
South Africa	..	100
South Sudan	..	..
Spain	..	..
Sri Lanka	82.8	82.2
St. Kitts and Nevis	72	61.7
St. Lucia	89	74.4
St. Martin (French part)	..	..
St. Vincent and the Grenadines	61.1	..
Sudan	..	..
Suriname	99	..
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	100	..
Tanzania	99.2	..
Thailand	100	100
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	100	100
Turkey	..	..
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	80	65.1
Uganda	79.6	..
Ukraine	87.3	93.4
United Arab Emirates	100	100
United Kingdom	..	..
United States	..	..
Uruguay	100	..
Uzbekistan	99	97.3
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	99.9	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	100	100
Yemen, Rep.	..	..
Zambia	98.8	..
Zimbabwe	..	..
World	85.2	86
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	89.6	83.2
Middle East & North Africa	87	86.8
North America	..	..
South Asia	70.6	76.1
Sub-Saharan Africa	65.1	51.7
Low income	71.7	..
Lower middle income	76.4	78.4
Upper middle income	..	..
High income	..	..
