Country	Net official development assistance	Net official development assistance	Net official development assistance	Net official development assistance
Afghanistan	19.3	102.6	46.9	..
Albania	2.3	..	4.7	9.7
Algeria	0.1	0.2	..	..
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	0.2	0.9	0.5	..
Antigua and Barbuda	1.1	..	1.4	..
Argentina	0,00	0.1	0.1	0.1
Armenia	1.1	5	1.9	5.1
Aruba	..	..	..	..
Australia	..	..	..	..
Austria	..	..	..	..
Azerbaijan	0.2	0.9	0.4	0.8
Bahamas, The	..	..	..	..
Bahrain	..	..	..	..
Bangladesh	1.1	3.6	4.5	..
Barbados	..	..	..	..
Belarus	0.2	0.7	0.3	0.7
Belgium	..	..	..	..
Belize	2	9.4	2.5	..
Benin	4	15.2	11.8	..
Bermuda	..	..	..	..
Bhutan	4.5	8.7	6.6	20.1
Bolivia	1.8	8.8	5.3	..
Bosnia and Herzegovina	1.7	8.3	2.9	5
Botswana	0.5	1.5	0.9	1.9
Brazil	0,00	0.2	0.1	0.1
Brunei Darussalam	..	..	..	..
Bulgaria	..	..	..	..
Burkina Faso	7.1	26.1	18.9	40.2
Burundi	14.8	133.4	49.1	..
Cabo Verde	4.3	10.7	5.9	..
Cambodia	3.4	13.3	3.2	20.9
Cameroon	3.1	13.2	12.4	25.6
Canada	..	..	..	..
Cayman Islands	..	..	..	..
Central African Republic	27.5	114,00	..	291.6
Chad	7.9	37.3	..	..
Channel Islands	..	..	..	..
Chile	..	..	..	..
China	0,00	0,00	0,00	..
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	0.5	2.5	2.2	1.9
Comoros	7.3	49.1	24.6	..
Congo, Dem. Rep.	5.5	25.6	12.8	..
Congo, Rep.	1.4	6.5	..	5.8
Costa Rica	0.2	0.8	0.4	0.5
Cote d'Ivoire	1.7	7.7	6.4	11.1
Croatia	..	..	..	..
Cuba	..	6.2	..	..
Curacao	..	..	..	..
Cyprus	..	..	..	..
Czech Republic	..	..	..	..
Denmark	..	..	..	..
Djibouti	5.7	19.6	4.1	..
Dominica	4.8	..	6,00	..
Dominican Republic	0.1	0.4	0.3	0.6
Ecuador	0.4	1.4	1.4	..
Egypt, Arab Rep.	0.8	4.9	2.4	..
El Salvador	1,00	4.7	1.7	3.9
Equatorial Guinea	0.1	0.3	..	0.4
Eritrea	..	..	..	..
Estonia	..	..	..	..
Ethiopia	5.9	16.8	24.3	54.1
Faroe Islands	..	..	..	..
Fiji	2.2	..	3.2	7.1
Finland	..	..	..	..
France	..	..	..	..
French Polynesia	..	..	..	..
Gabon	0.7	3.2	..	5,00
Gambia, The	14.6	84.4	36.3	..
Georgia	3.5	11.9	4.6	15.6
Germany	..	..	..	..
Ghana	1.7	6.6	3.8	9
Greece	..	..	..	..
Greenland	..	..	..	..
Grenada	2.9	..	4,00	..
Guam	..	..	..	..
Guatemala	0.5	3.9	1.7	4.3
Guinea	5.1	12.5	13.3	..
Guinea-Bissau	10.5	95.9	26.9	..
Guyana	2.7	7.1	3.2	..
Haiti	10.2	35.4	17.4	..
Honduras	3	10.6	4.7	..
Hungary	..	..	..	..
Iceland	..	..	..	..
India	0.1	0.3	0.4	..
Indonesia	0.1	0.3	0.4	0.6
Iran, Islamic Rep.	..	..	..	..
Iraq	1,00	8,00	3.8	..
Ireland	..	..	..	..
Isle of Man	..	..	..	..
Israel	..	..	..	..
Italy	..	..	..	..
Jamaica	0.7	2.7	1.1	2.4
Japan	..	..	..	..
Jordan	6,00	32.4	10.5	22.1
Kazakhstan	0,00	0.2	0.1	0.3
Kenya	2.9	15.8	..	11.4
Kiribati	20.4	119,00	42.8	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	..	..	..	..
Kosovo	4.3	14.7	7.4	..
Kuwait	..	..	..	..
Kyrgyz Republic	5.2	13.9	6.7	19.6
Lao PDR	3.3	..	7	..
Latvia	..	..	..	..
Lebanon	2.6	12.4	3.9	8.8
Lesotho	5.2	19.9	5.9	15.1
Liberia	20.2	135.2	41.2	..
Libya	0.6	..	1.5	..
Liechtenstein	..	..	..	..
Lithuania	..	..	..	..
Luxembourg	..	..	..	..
North Macedonia	1.4	4.2	1.7	4.8
Madagascar	5.1	25.4	13.1	50.9
Malawi	18.8	169.1	40.7	86.2
Malaysia	0,00	0,00	0,00	-0.1
Maldives	2.5	..	2.6	..
Mali	8.9	42.7	22.1	70.7
Malta	..	..	..	..
Marshall Islands	19.1	104.1	26.9	42.1
Mauritania	6.4	14.1	13.1	..
Mauritius	0.4	2.8	0.5	2,00
Mexico	0	0.2	0.1	0.2
Micronesia, Fed. Sts.	24,00	..	..	114.2
