Country	Consumption (2010)	Consumption (2019)
Afghanistan	100.1	78.8
Albania	78.1	80.3
Algeria	34.3	44
American Samoa	69.8	74.2
Andorra	..	..
Angola	35.8	56.4
Antigua and Barbuda	..	..
Argentina	64.2	64.4
Armenia	86.3	84.5
Aruba	60.5	60.8
Australia	56.2	55.6
Austria	53.5	51.6
Azerbaijan	39.4	56.7
Bahamas, The	61.7	69
Bahrain	41.2	39.6
Bangladesh	74.1	69
Barbados	77.8	78.4
Belarus	55.6	55.1
Belgium	51.4	51.4
Belize	70.4	68.5
Benin	78.5	68.4
Bermuda	55	..
Bhutan	45.3	60.5
Bolivia	62.3	68.4
Bosnia and Herzegovina	84.8	76.2
Botswana	49.1	51.2
Brazil	60.2	64.9
Brunei Darussalam	14.7	20.5
Bulgaria	63.6	59.5
Burkina Faso	71.6	64.3
Burundi	81	77.5
Cabo Verde	63	61.6
Cambodia	81.3	69.4
Cameroon	70.2	72
Canada	57.1	57.8
Cayman Islands	..	..
Central African Republic	82.3	86.3
Chad	65.5	76.1
Channel Islands	..	..
Chile	58.3	63
China	34.3	38.5
Hong Kong SAR, China	61.4	68.5
Macao SAR, China	23.4	25.4
Colombia	65.9	68.5
Comoros	91	91.3
Congo, Dem. Rep.	72.4	70.8
Congo, Rep.	38.6	31
Costa Rica	65.4	63.3
Cote d'Ivoire	67.1	67.9
Croatia	60.1	58.1
Cuba	50.3	56
Curacao	80	..
Cyprus	65.8	64.9
Czech Republic	49	47.4
Denmark	47.6	46.5
Djibouti	..	44.4
Dominica	..	..
Dominican Republic	74.3	69.6
Ecuador	63.3	60.5
Egypt, Arab Rep.	74.6	85.4
El Salvador	87.3	83
Equatorial Guinea	23.4	57.9
Eritrea	113.7	..
Estonia	52.1	48.7
Eswatini	74.6	66.5
Ethiopia	72.4	68.5
Faroe Islands	51.6	..
Fiji	..	..
Finland	52.6	52.6
France	55.4	53.7
French Polynesia	..	..
Gabon	30.6	38.6
Gambia, The	93.3	90.9
Georgia	81.2	69.3
Germany	55.1	52.3
Ghana	93.6	69
Greece	69.4	68
Greenland	43.2	36.2
Grenada	..	..
Guam	57.5	58.4
Guatemala	86.1	84.9
Guinea	80	68.5
Guinea-Bissau	100.3	100.4
Guyana	87.4	58.3
Haiti	116.4	101.6
Honduras	78.1	80.3
Hungary	52.5	48.3
Iceland	51.5	50.8
India	54.7	60.2
Indonesia	56.2	57.9
Iran, Islamic Rep.	42.9	47.6
Iraq	44.4	62.7
Ireland	47.6	30.4
Isle of Man	..	..
Israel	56.6	54.7
Italy	60.7	60.2
Jamaica	81.9	76.3
Japan	57.8	55.6
Jordan	72.9	85.2
Kazakhstan	45.4	52.4
Kenya	77.2	82.5
Kiribati	90	76.8
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	50.4	48.6
Kosovo	86.2	84.5
Kuwait	28.9	39.2
Kyrgyz Republic	84.6	82
Lao PDR	74.6	..
Latvia	63.1	59.7
Lebanon	87.9	86.7
Lesotho	92.2	74.6
Liberia	139.8	127.5
Libya	22.3	..
Liechtenstein	..	..
Lithuania	64	60.7
Luxembourg	32.2	29.5
Madagascar	74	70.6
Malawi	75	79.2
Malaysia	48.1	59.8
Maldives	..	..
Mali	72.6	72.6
Malta	57.8	42.5
Marshall Islands	75.6	73.5
Mauritania	56.2	56.7
Mauritius	73.2	75.2
Mexico	65.3	65.4
Micronesia, Fed. Sts.	..	..
Moldova	90.2	84.7
Monaco	..	..
Mongolia	55.2	55.3
Montenegro	81.8	71.9
Morocco	58.8	58.1
Mozambique	74.1	69.3
Myanmar	56.5	52.1
Namibia	63.2	73.2
Nepal	78.6	69.5
Netherlands	45.4	43.7
New Caledonia	..	..
New Zealand	57.9	57.5
Nicaragua	80.5	72.1
Niger	71.6	70.6
Nigeria	67.2	76.6
North Macedonia	75.5	64.8
Northern Mariana Islands	55.3	46.6
Norway	42	44.8
Oman	33.1	38.6
Pakistan	79.7	82.9
Palau	70	69.4
Panama	57.4	50.4
Papua New Guinea	..	..
Paraguay	64.5	65.6
Peru	61.7	64.6
Philippines	70.2	73.2
Poland	61.6	57.3
Portugal	65.9	64.1
Puerto Rico	57.7	63.7
Qatar	16.2	23.5
Romania	63.8	63.6
Russian Federation	51.5	50.4
Rwanda	81.9	73.3
Samoa	..	..
San Marino	..	37.3
Sao Tome and Principe	..	..
Saudi Arabia	32.3	38.9
Senegal	79.6	68.5
Serbia	75.5	68.1
Seychelles	50.3	63.8
Sierra Leone	76.2	99
Singapore	36.3	36
Sint Maarten (Dutch part)	..	..
Slovak Republic	57.2	56.1
Slovenia	56.2	51.7
Solomon Islands	..	..
Somalia	..	..
South Africa	59	60.2
South Sudan	41.5	..
Spain	58.1	57.6
Sri Lanka	68.5	69.3
St. Kitts and Nevis	..	42.8
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	70.2	72.2
Suriname	35.9	..
Sweden	46.9	45.4
Switzerland	53.9	53.1
Syrian Arab Republic	..	..
Tajikistan	110.9	82.4
Tanzania	66	59.4
Thailand	52.2	50.1
Timor-Leste	71.4	67.8
Togo	80.6	65.8
Tonga	98	..
Trinidad and Tobago	..	..
Tunisia	62.5	72.3
Turkey	63.1	57.4
Turkmenistan	5	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	76.7	70.9
Ukraine	63.8	75.3
United Arab Emirates	42.2	38.9
United Kingdom	64.2	64.9
United States	67.9	68
Uruguay	67	66.4
Uzbekistan	57	54.4
Vanuatu	60.6	..
Venezuela, RB	55.9	..
Vietnam	66.6	68.2
Virgin Islands (U.S.)	56	65.6
West Bank and Gaza	93.7	89.7
Yemen, Rep.	..	..
Zambia	54.6	43.2
Zimbabwe	89.8	77
World	57.3	57.6
East Asia & Pacific	48.2	49
Europe & Central Asia	56.4	55
Latin America & Caribbean	62.4	65.5
Middle East & North Africa	43.8	48.6
North America	67	67.1
South Asia	59.1	63.4
Sub-Saharan Africa	63.5	66.9
Low income	74.5	73.7
Lower middle income	61.2	64.2
Upper middle income	48.8	51
High income	59.6	59
