Country	Female %	Male %
Aruba	52,55	47,45
Afghanistan	48,66	51,34
Angola	50,53	49,47
Albania	49,09	50,91
Andorra		
Arab World	48,17	51,83
United Arab Emirates	30,74	69,26
Argentina	51,23	48,77
Armenia	52,96	47,04
American Samoa		
Antigua and Barbuda	51,76	48,24
Australia	50,20	49,80
Austria	50,76	49,24
Azerbaijan	50,08	49,92
Burundi	50,40	49,60
Belgium	50,50	49,50
Benin	50,08	49,92
Burkina Faso	50,06	49,94
Bangladesh	49,42	50,58
Bulgaria	51,43	48,57
Bahrain	35,73	64,27
Bahamas, The	51,42	48,58
Bosnia and Herzegovina	51,02	48,98
Belarus	53,45	46,55
Belize	50,23	49,77
Bermuda		
Bolivia	49,80	50,20
Brazil	50,85	49,15
Barbados	51,64	48,36
Brunei Darussalam	48,08	51,92
Bhutan	46,92	53,08
Botswana	51,64	48,36
Central African Republic	50,43	49,57
Canada	50,38	49,62
Central Europe and the Baltics	51,60	48,40
Switzerland	50,41	49,59
Channel Islands	50,51	49,49
Chile	50,71	49,29
China	48,69	51,31
Cote d'Ivoire	49,55	50,45
Cameroon	49,99	50,01
Congo, Dem. Rep.	50,09	49,91
Congo, Rep.	50,05	49,95
Colombia	50,91	49,09
Comoros	49,56	50,44
Cabo Verde	49,81	50,19
Costa Rica	50,02	49,98
Caribbean small states	50,39	49,61
Cuba	50,34	49,66
Curacao	54,06	45,94
Cayman Islands		
Cyprus	50,00	50,00
Czech Republic	50,79	49,21
Germany	50,61	49,39
Djibouti	47,41	52,59
Dominica		
Denmark	50,28	49,72
Dominican Republic	50,03	49,97
Algeria	49,48	50,52
East Asia & Pacific (excluding high income)	49,16	50,84
Early-demographic dividend	49,07	50,93
East Asia & Pacific	49,32	50,68
Europe & Central Asia (excluding high income)	52,15	47,85
Europe & Central Asia	51,51	48,49
Ecuador	49,98	50,02
Egypt, Arab Rep.	49,47	50,53
Euro area	51,07	48,93
Eritrea	49,88	50,12
Spain	50,87	49,13
Estonia	52,73	47,27
Ethiopia	49,97	50,03
European Union	51,12	48,88
Fragile and conflict affected situations	49,97	50,03
Finland	50,70	49,30
Fiji	49,33	50,67
France	51,60	48,40
Faroe Islands		
