Country	Residents	Nonresidents
Afghanistan	..	..
Albania	15	3
Algeria	152	521
American Samoa	..	..
Andorra	1	10
Angola	..	..
Antigua and Barbuda	5	5
Argentina	425	3242
Armenia	101	4
Aruba	..	..
Australia	2757	27200
Austria	2039	168
Azerbaijan	155	16
Bahamas, The	4	48
Bahrain	11	219
Bangladesh	69	299
Barbados	..	41
Belarus	453	94
Belgium	892	218
Belize	..	24
Benin	..	..
Bermuda	..	..
Bhutan	4	3
Bolivia	59	277
Bosnia and Herzegovina	84	12
Botswana	3	3
Brazil	4980	19877
Brunei Darussalam	24	97
Bulgaria	180	18
Burkina Faso	..	..
Burundi	..	..
Cambodia	3	159
Cameroon	..	..
Canada	4349	31812
Cabo Verde	3	1
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	406	2694
China	1393815	148187
Hong Kong SAR, China	314	15672
Macao SAR, China	1	54
Colombia	415	1808
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	7	491
Cote d'Ivoire	..	..
Croatia	121	15
Cuba	29	126
Curacao	..	..
Cyprus	4	4
Czech Republic	678	54
Denmark	1262	239
Djibouti	..	..
Dominica	..	4
Dominican Republic	17	211
Ecuador	34	371
Egypt, Arab Rep.	997	1258
El Salvador	3	136
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	24	6
Ethiopia	13	49
Faroe Islands	..	..
Fiji	..	..
Finland	1387	100
France	14303	1919
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	4
Georgia	103	157
Germany	46617	21281
Ghana	13	39
Greece	430	149
Greenland	..	..
Grenada	..	17
Guam	..	..
Guatemala	6	228
Guinea	..	..
Guinea-Bissau	..	..
Guyana	2	18
Haiti	..	..
Honduras	8	148
Hungary	407	36
Iceland	56	10
India	16289	33766
Indonesia	1407	8347
Iran, Islamic Rep.	11908	915
Iraq	653	77
Ireland	76	32
Isle of Man	..	..
Israel	1506	5857
Italy	8921	900
Jamaica	26	53
Japan	253630	59937
Jordan	24	109
Kazakhstan	789	193
Kenya	244	42
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	162561	47431
Kosovo	..	..
Kuwait	1	256
Kyrgyz Republic	137	9
Lao PDR	1	58
Latvia	86	24
Lebanon	110	194
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	81	24
Luxembourg	152	243
North Macedonia	..	..
Madagascar	9	37
Malawi	3	1
Malaysia	1116	6179
Maldives	..	..
Mali	..	..
Malta	3	1
Marshall Islands	..	..
Mauritania	..	..
Mauritius	16	13
Mexico	1555	14869
Micronesia, Fed. Sts.	..	..
Moldova	92	21
Monaco	4	11
Mongolia	82	79
Montenegro	3	..
Morocco	187	2350
Mozambique	34	13
Myanmar	..	..
Namibia	21	15
Nepal	20	43
Netherlands	2111	394
New Caledonia	..	..
New Zealand	1017	5221
Nicaragua	..	..
Niger	..	..
Nigeria	120	218
Northern Mariana Islands	..	..
Norway	1082	592
Oman	4	387
Pakistan	306	586
Palau	..	..
Panama	135	362
Papua New Guinea	1	46
Paraguay	..	..
Peru	89	1133
Philippines	529	3771
Poland	4207	115
Portugal	661	29
Puerto Rico	..	..
Qatar	19	574
Romania	1100	47
Russian Federation	24926	13031
Rwanda	6	1
Samoa	1	3
San Marino	14	681
Sao Tome and Principe	..	408
Saudi Arabia	1078	2321
Senegal	..	..
Serbia	163	11
Seychelles	..	17
Sierra Leone	..	..
Singapore	1575	10270
Sint Maarten (Dutch part)	..	..
Slovak Republic	217	14
Slovenia	255	23
Solomon Islands	..	..
Somalia	..	..
South Africa	657	6258
South Sudan	..	..
Spain	1525	149
Sri Lanka	343	260
St. Kitts and Nevis	..	4
St. Lucia	2	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	4
Sudan	349	31
Suriname	..	..
Eswatini	..	2
Sweden	1838	442
Switzerland	1283	332
Syrian Arab Republic	103	45
Tajikistan	..	1
Tanzania	25	1
Thailand	904	7245
Timor-Leste	..	..
Togo	..	..
Tonga	..	1
Trinidad and Tobago	4	135
Tunisia	180	271
Turkey	7156	310
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	6	..
Ukraine	2107	1861
United Arab Emirates	56	1727
United Kingdom	12865	8076
United States	285095	312046
Uruguay	23	500
Uzbekistan	470	180
Vanuatu	..	..
Venezuela, RB	96	338
Vietnam	646	5425
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	15	13
Zambia	12	10
Zimbabwe	8	5
World	2294847	845358
East Asia & Pacific	1820380	345332
Europe & Central Asia	141496	52244
Latin America & Caribbean	8148	45943
Middle East & North Africa	16856	15926
North America	289444	343858
South Asia	17007	34911
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	22866	51856
Upper middle income	1452221	233643
High income	819240	559683
