Country	Children under age 5	Pregnant women	Non-pregnant women
Afghanistan	46	38	42
Albania	25	23	25
Algeria	30	39	36
American Samoa	..	..	..
Andorra	13	22	14
Angola	51	51	47
Antigua and Barbuda	32	25	22
Argentina	22	29	18
Armenia	32	36	29
Aruba	..	..	..
Australia	14	20	9
Austria	13	25	17
Azerbaijan	24	40	38
Bahamas, The	30	28	23
Bahrain	30	43	42
Bangladesh	40	46	40
Barbados	32	26	21
Belarus	25	24	23
Belgium	13	24	16
Belize	23	21	22
Benin	62	56	46
Bermuda	..	..	..
Bhutan	44	33	36
Bolivia	47	37	30
Bosnia and Herzegovina	28	30	29
Botswana	40	34	30
Brazil	25	37	27
Brunei Darussalam	16	27	17
Bulgaria	27	28	26
Burkina Faso	86	58	49
Burundi	47	31	26
Cabo Verde	55	43	33
Cambodia	54	56	46
Cameroon	63	49	41
Canada	9	17	9
Cayman Islands	..	..	..
Central African Republic	72	52	45
Chad	73	52	47
Channel Islands	..	..	..
Chile	20	27	15
China	21	32	26
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	27	27	21
Comoros	48	34	29
Congo, Dem. Rep.	63	44	41
Congo, Rep.	64	57	51
Costa Rica	29	25	15
Cote d'Ivoire	73	59	52
Croatia	27	29	27
Cuba	29	29	25
Curacao	..	..	..
Cyprus	18	29	25
Czech Republic	26	27	26
Denmark	13	23	16
Djibouti	42	38	32
Dominica	33	29	24
Dominican Republic	28	33	30
Ecuador	28	26	18
Egypt, Arab Rep.	32	23	29
El Salvador	31	29	22
Equatorial Guinea	64	52	43
Eritrea	57	41	38
Estonia	26	26	26
Eswatini	42	30	27
Ethiopia	50	24	23
Faroe Islands	..	..	..
Fiji	38	39	31
Finland	13	22	16
France	13	25	18
French Polynesia	..	..	..
Gabon	63	61	59
Gambia, The	76	62	57
Georgia	24	30	27
Germany	12	23	16
Ghana	67	54	46
Greece	14	24	16
Greenland	..	..	..
Grenada	34	28	23
Guam	..	..	..
Guatemala	37	25	16
Guinea	74	61	50
Guinea-Bissau	68	51	43
Guyana	38	29	33
Haiti	58	50	46
Honduras	31	21	18
Hungary	27	27	26
Iceland	12	22	16
India	57	50	52
Indonesia	37	42	28
Iran, Islamic Rep.	28	34	30
Iraq	24	34	29
Ireland	13	22	15
Isle of Man	..	..	..
Israel	13	24	15
Italy	13	25	17
Jamaica	28	27	22
Japan	13	34	21
Jordan	31	37	35
Kazakhstan	29	30	31
Kenya	41	38	26
Kiribati	39	36	25
Korea, Dem. Peopleâ€™s Rep.	31	38	32
Korea, Rep.	12	26	23
Kosovo	..	..	..
Kuwait	25	31	24
Kyrgyz Republic	38	40	36
Lao PDR	44	46	39
Latvia	26	25	25
Lebanon	25	35	31
Lesotho	50	33	27
Liberia	69	38	34
Libya	29	38	32
Liechtenstein	..	..	..
Lithuania	26	26	26
Luxembourg	13	23	16
Madagascar	49	36	37
Malawi	59	42	34
Malaysia	31	37	24
Maldives	39	47	42
Mali	83	58	50
Malta	13	25	16
Marshall Islands	36	36	26
Mauritania	68	45	37
Mauritius	39	29	25
Mexico	28	20	14
Micronesia, Fed. Sts.	38	33	23
Moldova	26	28	27
Monaco	..	..	..
Mongolia	30	30	19
Montenegro	27	27	25
Morocco	34	40	37
Mozambique	60	51	51
Myanmar	53	54	46
Namibia	47	27	23
Nepal	43	40	35
Netherlands	13	23	16
New Caledonia	..	..	..
New Zealand	13	20	11
Nicaragua	29	26	16
Niger	77	59	48
Nigeria	68	58	49
North Macedonia	25	28	23
Northern Mariana Islands	..	..	..
Norway	12	22	15
Oman	38	42	38
Pakistan	59	51	52
Palau	..	..	..
Panama	29	27	23
