Country	GDP (1990)	GDP (2015)
Afghanistan	..	..
Albania	6.1	14.6
Algeria	10	8.5
American Samoa	..	..
Andorra	..	..
Angola	11.6	15.1
Antigua and Barbuda	9.8	..
Argentina	10	11.6
Armenia	2.4	10.8
Aruba	..	..
Australia	6.2	8.8
Austria	11.6	14
Azerbaijan	2.5	9.9
Bahamas, The	15.3	..
Bahrain	3.7	4.6
Bangladesh	12.3	15.3
Barbados	11.3	..
Belarus	2	6.5
Belgium	7.4	10.6
Belize	8.5	..
Benin	6.5	7.1
Bermuda	..	..
Bhutan	26.4	..
Bolivia	12.1	9.9
Bosnia and Herzegovina	..	5.4
Botswana	9.6	13.3
Brazil	11.2	10.5
Brunei Darussalam	10.7	7.4
Bulgaria	3.7	7.6
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	20.3	..
Cambodia	..	8.1
Cameroon	7.6	10
Canada	4.2	6.3
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	9	11.8
China	1.9	5.3
Hong Kong SAR, China	19.1	28.6
Macao SAR, China	..	..
Colombia	11.5	19.3
Comoros	70.6	..
Congo, Dem. Rep.	5.3	2.6
Congo, Rep.	10.6	6.8
Costa Rica	17.8	17.2
Cote d'Ivoire	12.3	6.8
Croatia	..	12.5
Cuba	..	..
Curacao	..	2.1
Cyprus	10.7	14.3
Czech Republic	4.9	9.4
Denmark	11.6	18.8
Djibouti	..	..
Dominica	25.9	..
Dominican Republic	11	19.3
Ecuador	13.4	13.6
Egypt, Arab Rep.	10.6	12.5
El Salvador	11.2	12.4
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	7.5
Eswatini	13.7	..
Ethiopia	1.6	3.4
Faroe Islands	..	..
Fiji	21.5	..
Finland	5.8	7.6
France	8.8	11.8
French Polynesia	..	..
Gabon	14.6	5.7
Gambia, The	35	..
Georgia	4.3	10.4
Germany	8.3	13.4
Ghana	6.5	14.1
Greece	11.6	13.1
Greenland	..	..
Grenada	20	..
Guam	..	..
Guatemala	11.4	9.2
Guinea	..	..
Guinea-Bissau	26.1	..
Guyana	6.8	..
Haiti	9.9	4.5
Honduras	8.3	8.7
Hungary	6.3	11.3
Iceland	3.9	3
India	5.2	8
Indonesia	8.3	11.1
Iran, Islamic Rep.	7	4.3
Iraq	6.9	7.2
Ireland	9.4	25.3
Isle of Man	..	..
Israel	10	13.5
Italy	14.2	16.3
Jamaica	7.5	9.7
Japan	9	11.6
Jordan	8.1	11
Kazakhstan	3	5.5
Kenya	7.1	7.3
Kiribati	21.8	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5.8	7.2
Kosovo	..	7.6
Kuwait	7.6	6.2
Kyrgyz Republic	3	7.3
Lao PDR	..	..
Latvia	..	11.7
Lebanon	10.8	14.2
Lesotho	..	..
Liberia	..	..
Libya	..	4.3
Liechtenstein	..	..
Lithuania	..	12.5
Luxembourg	7.7	16.9
North Macedonia	9.1	11.4
Madagascar	..	..
Malawi	..	..
Malaysia	8.5	8
Maldives	..	..
Mali	..	..
Malta	9.2	20.1
Marshall Islands	..	..
Mauritania	..	..
Mauritius	12.7	17.3
Mexico	10.2	12.5
Micronesia, Fed. Sts.	..	..
Moldova	..	8.9
Monaco	..	..
Mongolia	3.2	6
Montenegro	..	11.5
Morocco	12.5	12.6
Mozambique	1	2.7
Myanmar	2.4	10.9
Namibia	13.1	12.9
Nepal	4.6	6.5
Netherlands	8.3	12.6
New Caledonia	..	..
New Zealand	7.2	9.1
Nicaragua	7.1	9.1
Niger	..	7.5
Nigeria	4.7	7.2
Northern Mariana Islands	..	..
Norway	8.3	10.6
Oman	11.6	5.1
Pakistan	7.3	9.1
Palau	..	..
Panama	17.8	25.3
Papua New Guinea	..	..
Paraguay	11.6	14.8
Peru	11.9	15
Philippines	9.1	14.7
Poland	4.2	11.2
Portugal	14	14.6
Puerto Rico	..	..
Qatar	..	5.5
Romania	4.9	14.4
Russian Federation	3.6	5.4
Rwanda	..	..
Samoa	15.3	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	11.6	7
Senegal	10.2	10.3
Serbia	..	8.2
Seychelles	27.1	..
Sierra Leone	..	..
Singapore	9.9	17.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.5	9.8
Slovenia	7.7	10.7
Solomon Islands	12.1	..
Somalia	..	..
South Africa	4.2	4.8
South Sudan	..	..
Spain	11.9	14.6
Sri Lanka	12.2	22.2
St. Kitts and Nevis	28.3	..
St. Lucia	28.9	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	23.3	..
Sudan	4.2	10.4
Suriname	..	14.6
Sweden	6.3	10.1
Switzerland	15.3	22.4
Syrian Arab Republic	..	..
Tajikistan	3.9	8
Tanzania	3.5	4.5
Thailand	9.6	8.1
Timor-Leste	..	..
Togo	4	3
Tonga	14.8	..
Trinidad and Tobago	2.1	2
Tunisia	9.1	11.1
Turkey	13	15.8
Turkmenistan	1.5	2.5
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	3.2	5
United Arab Emirates	10	8.2
United Kingdom	8.5	16.2
United States	5.3	8.6
Uruguay	14	14.8
Uzbekistan	1.5	3.9
Vanuatu	17.6	..
Venezuela, RB	..	..
Vietnam	6.4	8.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	3.2	5.3
Zimbabwe	3.7	3.5
World	6	8.3
East Asia & Pacific	5.1	6.9
Europe & Central Asia	6.4	10.5
Latin America & Caribbean	10.6	11.6
Middle East & North Africa	9.3	7.1
North America	5.2	8.3
South Asia	5.8	8.5
Sub-Saharan Africa	4.7	6.2
Low income	..	..
Lower middle income	5.3	8.7
Upper middle income	4.6	6.7
High income	7.1	10.2
