Country	HDI 2018 data (2019 report)​	Average annual HDI growth % (2010–2018)
Norway	954	0.16
Switzerland	946	0.18
Ireland	942	0.71
Germany	939	0.25
Hong Kong	939	0.51
Australia	938	0.17
Iceland	938	0.64
Sweden	937	0.42
Singapore	935	0.35
Netherlands	933	0.31
Denmark	930	0.27
Finland	925	0.30
Canada	922	0.38
New Zealand	921	0.30
United Kingdom	920	0.21
United States	920	0.12
Belgium	919	0.22
Liechtenstein	917	0.17
Japan	915	0.42
Austria	914	0.26
Luxembourg	909	0.22
Israel	906	0.27
South Korea	906	0.33
Slovenia	902	0.29
Spain	893	0.40
Czech Republic	891	0.41
France	891	0.27
Malta	885	0.55
Italy	883	0.17
Estonia	882	0.54
Cyprus	873	0.34
Greece	872	0.22
Poland	872	0.54
Lithuania	869	0.67
United Arab Emirates	866	0.68
Andorra	857	0.43
Saudi Arabia	857	0.71
Slovakia	857	0.42
Latvia	854	0.56
Portugal	850	0.42
Qatar	848	0.22
Chile	847	0.71
Brunei	845	0.19
Hungary	845	0.28
Bahrain	838	0.64
Croatia	837	0.41
Oman	834	0.63
Argentina	830	0.18
Russia	824	0.69
Belarus	817	0.39
Kazakhstan	817	0.84
Bulgaria	816	0.58
Montenegro	816	0.36
Romania	816	0.29
Palau	814	0.60
Barbados	813	0.22
Kuwait	808	0.22
Uruguay	808	0.54
Turkey	806	01.03
Bahamas	805	0.16
Malaysia	804	0.49
Seychelles	801	0.63
Serbia	799	0.60
Trinidad and Tobago	799	0.17
Iran	797	0.68
Mauritius	796	0.79
Panama	795	0.60
Costa Rica	794	0.64
Albania	791	0.84
Georgia	786	0.91
Sri Lanka	780	0.49
Cuba	778	0.02
Saint Kitts and Nevis	777	0.48
Antigua and Barbuda	776	0.08
Bosnia and Herzegovina	769	0.93
Mexico	767	0.47
Thailand	765	0.74
Grenada	763	0.33
Brazil	761	0.59
Colombia	761	0.54
Armenia	760	0.52
Algeria	759	0.49
North Macedonia	759	0.41
Peru	759	0.65
China	758	0.95
Ecuador	758	0.71
Azerbaijan	754	0.36
Ukraine	750	0.29
Dominican Republic	745	0.76
Saint Lucia	745	0.26
Tunisia	739	0.39
Mongolia	735	0.66
World	731	0.60
Lebanon	730	0.36
Botswana	728	1.22
Saint Vincent and the Grenadines	728	0.29
Jamaica	726	0.05
Venezuela	726	0.45
Dominica	724	0.15
Fiji	724	0.52
Paraguay	724	0.56
Suriname	724	0.41
Jordan	723	0.07
Belize	720	0.49
Maldives	719	0.90
Tonga	717	0.45
Philippines	712	0.73
Moldova	711	0.56
Turkmenistan	710	0.67
Uzbekistan	710	0.83
Libya	708	0.84
Indonesia	707	0.74
Samoa	707	0.30
South Africa	705	0.78
Bolivia	703	0.88
Gabon	702	0.81
Egypt	700	0.62
Marshall Islands	698	
Vietnam	693	0.74
Palestine	690	0.35
Iraq	689	0.68
Morocco	676	1.14
Kyrgyzstan	674	0.73
Guyana	670	0.61
El Salvador	667	0.14
Tajikistan	656	0.50
Cape Verde	651	0.48
Guatemala	651	0.98
Nicaragua	651	0.74
India	647	1.34
Namibia	645	1.17
East Timor	626	0.13
Honduras	623	0.51
Kiribati	623	0.71
Bhutan	617	0.98
Bangladesh	614	1.40
Micronesia	614	0.41
São Tomé and Príncipe	609	1.36
Congo, Republic of the	608	1.12
Eswatini	608	2.15
Laos	604	1.28
Vanuatu	597	0.26
Ghana	596	0.91
Zambia	591	1.35
Equatorial Guinea	588	0.18
Myanmar	584	1.39
Cambodia	581	01.05
Kenya	579	01.04
Nepal	579	1.18
Angola	574	1.50
Cameroon	563	2.26
Zimbabwe	563	2.22
Pakistan	560	0.85
Solomon Islands	557	0.78
Syria	549	1.98
Papua New Guinea	543	0.80
Comoros	538	0.60
Rwanda	536	1.19
Nigeria	534	1.25
Tanzania	528	01.03
Uganda	528	0.97
Mauritania	527	0.91
Madagascar	521	0.42
Benin	520	1.19
Lesotho	518	1.46
Ivory Coast	516	1.61
Senegal	514	1.17
Togo	513	1.16
Sudan	507	0.93
Haiti	503	0.92
Afghanistan	496	0.83
Djibouti	495	1.32
Malawi	485	1.32
Ethiopia	470	1.66
The Gambia	466	0.79
Guinea	466	1.67
Liberia	465	0.67
Yemen	463	0.94
Guinea-Bissau	461	01.01
Congo, Democratic Republic of the	459	1.24
Mozambique	446	1.51
Sierra Leone	438	1.45
Burkina Faso	434	1.84
Eritrea	434	0.02
Mali	427	0.72
Burundi	423	0.65
South Sudan	413	0.35
Chad	401	0.89
Central African Republic	381	0.89
Niger	377	02.09
