Country	%
Afghanistan	16.2
Albania	10.3
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	10.7
Armenia	19.9
Aruba	..
Australia	..
Austria	4.2
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	8.5
Barbados	..
Belarus	8.2
Belgium	6
Belize	9.6
Benin	..
Bermuda	..
Bhutan	..
Bolivia	5
Bosnia and Herzegovina	18.9
Botswana	..
Brazil	14.1
British Virgin Islands	..
Brunei Darussalam	8.7
Bulgaria	4.5
Burkina Faso	8.7
Burundi	..
Cabo Verde	16.5
Cambodia	1.3
Cameroon	..
Canada	7
Cayman Islands	4.8
Central African Republic	..
Chad	..
Channel Islands	..
Chile	7.8
China	..
Colombia	10.7
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	12.7
Cote d'Ivoire	6.4
Croatia	9.1
Cuba	..
Curacao	..
Cyprus	8.8
Czech Republic	2.1
Denmark	4.1
Djibouti	..
Dominica	..
Dominican Republic	8.8
Ecuador	5.7
Egypt, Arab Rep.	10.4
El Salvador	6
Equatorial Guinea	..
Eritrea	..
Estonia	5.8
Eswatini	28.9
Ethiopia	..
Faroe Islands	..
Fiji	5.5
Finland	8.3
France	9.7
French Polynesia	..
Gabon	..
Gambia, The	16.9
Georgia	12.8
Germany	2.9
Ghana	7.6
Gibraltar	..
Greece	21.8
Greenland	..
Grenada	..
Guam	..
Guatemala	5.5
Guinea	..
Guinea-Bissau	..
Guyana	16.4
Haiti	..
Honduras	10.3
Hong Kong SAR, China	4
Hungary	3.3
Iceland	2.3
India	10.8
Indonesia	7.7
Iran, Islamic Rep.	13.2
Iraq	..
Ireland	6.9
Isle of Man	..
Israel	4.6
Italy	10.1
Jamaica	..
Japan	3.1
Jordan	..
Kazakhstan	5.3
Kenya	4.2
Kiribati	9.8
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	3.7
Kosovo	19.6
Kuwait	..
Kyrgyz Republic	..
Lao PDR	6.5
Latvia	8.5
Lebanon	..
Lesotho	..
Liberia	8.5
Libya	..
Liechtenstein	..
Lithuania	8
Luxembourg	5.6
Macao SAR, China	1.8
Madagascar	4.9
Malawi	22.5
Malaysia	4.1
Maldives	6
Mali	10.8
Malta	3.4
Marshall Islands	..
Mauritania	10
Mauritius	8.2
Mexico	4
Micronesia, Fed. Sts.	..
Moldova	4.2
Monaco	..
Mongolia	6.2
Montenegro	16.6
Morocco	..
Mozambique	16.4
Myanmar	1.9
Namibia	23.9
Nauru	..
Nepal	15.1
Netherlands	3.6
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	7.8
Nigeria	11.5
North Macedonia	21
Northern Mariana Islands	..
Norway	3.5
Oman	..
Pakistan	5.6
Palau	..
Panama	5.5
Papua New Guinea	..
Paraguay	5.9
Peru	4.4
Philippines	9
Poland	4.4
Portugal	8.2
Puerto Rico	..
Qatar	..
Romania	4.3
Russian Federation	4.2
Rwanda	24.2
Samoa	18.6
San Marino	8.3
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	11.2
Serbia	13.7
Seychelles	4.7
Sierra Leone	..
Singapore	4.6
Sint Maarten (Dutch part)	..
Slovak Republic	5.8
Slovenia	5.5
Solomon Islands	..
Somalia	..
South Africa	28.5
South Sudan	..
Spain	15.5
Sri Lanka	6.7
St. Kitts and Nevis	..
St. Lucia	27
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	4.6
Switzerland	4.7
Syrian Arab Republic	..
Tajikistan	..
Tanzania	..
Thailand	1.1
Timor-Leste	7
Togo	14.3
Tonga	2.8
Trinidad and Tobago	3.2
Tunisia	16.3
Turkey	12.1
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	11.6
Uganda	11.9
Ukraine	9.9
United Arab Emirates	3.4
United Kingdom	4.6
United States	5.2
Uruguay	6.2
Uzbekistan	..
Vanuatu	..
Venezuela, RB	..
Vietnam	1.8
Virgin Islands (U.S.)	..
West Bank and Gaza	24.8
Yemen, Rep.	..
Zambia	16.3
Zimbabwe	..
Arab World	..
Caribbean small states	..
Central Europe and the Baltics	5
Early-demographic dividend	11.9
East Asia & Pacific	..
East Asia & Pacific (excluding high income)	..
East Asia & Pacific (IDA & IBRD countries)	..
Euro area	10.8
Europe & Central Asia	9.5
Europe & Central Asia (excluding high income)	9.5
Europe & Central Asia (IDA & IBRD countries)	9.1
European Union	9.9
Fragile and conflict affected situations	..
Heavily indebted poor countries (HIPC)	..
High income	7.7
IBRD only	..
IDA & IBRD total	..
IDA blend	..
IDA only	..
IDA total	..
Late-demographic dividend	..
Latin America & Caribbean	11.7
Latin America & Caribbean (excluding high income)	11.9
Latin America & the Caribbean (IDA & IBRD countries)	11.7
Least developed countries: UN classification	..
Low & middle income	..
Low income	..
Lower middle income	..
Middle East & North Africa	..
Middle East & North Africa (excluding high income)	..
Middle East & North Africa (IDA & IBRD countries)	..
Middle income	..
North America	5.4
Not classified	..
OECD members	8.2
Other small states	..
Pacific island small states	..
Post-demographic dividend	8.1
Pre-demographic dividend	..
Small states	..
South Asia	10.3
South Asia (IDA & IBRD)	10.3
Sub-Saharan Africa	..
Sub-Saharan Africa (excluding high income)	..
Sub-Saharan Africa (IDA & IBRD countries)	..
Upper middle income	..
World	..
