Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	51	76
Albania	2018	87	98
Algeria	2013	88	96
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	57	98
Antigua and Barbuda	..	..	..
Argentina	..	..	..
Armenia	2016	99	100
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	36	90
Barbados	2012	81	100
Belarus	2012	98	100
Belgium	..	..	..
Belize	2016	99	97
Benin	2018	64	96
Bermuda	..	..	..
Bhutan	2010	96	99
Bolivia	2008	79	97
Bosnia and Herzegovina	..	..	..
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2018	79	90
Burundi	2017	98	99
Cabo Verde	..	..	..
Cambodia	2014	91	99
Cameroon	2014	58	98
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	53	90
Chad	2015	60	86
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	92	100
Comoros	2012	87	94
Congo, Dem. Rep.	2014	80	96
Congo, Rep.	2016	80	100
Costa Rica	2011	96	99
Cote d'Ivoire	2016	86	96
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	98	99
Ecuador	..	..	..
Egypt, Arab Rep.	2014	86	96
El Salvador	2014	94	99
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	99	99
Ethiopia	2016	48	88
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	86	97
Gambia, The	2018	99	98
Georgia	..	..	..
Germany	..	..	..
Ghana	2016	94	98
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	86	98
Guinea	2018	68	95
Guinea-Bissau	2014	90	98
Guyana	2014	76	99
Haiti	2017	81	99
Honduras	2012	94	99
Hungary	..	..	..
Iceland	..	..	..
India	2016	58	94
Indonesia	2017	92	100
Iran, Islamic Rep.	..	..	..
Iraq	2018	77	95
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	97	99
Japan	..	..	..
Jordan	2018	97	98
Kazakhstan	2015	99	100
Kenya	2015	89	98
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	95	99
Kuwait	..	..	..
Kyrgyz Republic	2018	100	100
Lao PDR	2017	52	97
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	87	95
Liberia	2016	94	100
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2016	75	96
Malawi	2017	97	98
Malaysia	..	..	..
Maldives	2017	98	100
Mali	2018	69	97
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	75	97
Mauritius	..	..	..
Mexico	2015	97	100
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	95	99
Monaco	..	..	..
Mongolia	2018	99	100
Montenegro	2013	84	95
Morocco	..	..	..
Mozambique	2018	93	99
Myanmar	2016	70	99
Namibia	2013	95	97
Nepal	2016	77	95
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	73	96
Nigeria	2018	40	93
North Macedonia	2011	97	100
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	68	98
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	56	94
Paraguay	2016	98	100
Peru	2012	86	100
Philippines	2017	85	99
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2017	96	100
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	95	100
Saudi Arabia	..	..	..
Senegal	2017	94	99
Serbia	2014	98	95
Seychelles	..	..	..
Sierra Leone	2017	96	99
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	95	92
South Sudan	2010	21	68
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	62	97
Suriname	2018	89	78
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	86	96
Tanzania	2017	96	100
Thailand	2016	98	100
Timor-Leste	2016	75	95
Togo	2017	21	94
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	97	97
Turkey	2013	93	100
Turkmenistan	2016	100	100
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	96	98
Ukraine	2012	99	99
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	81	100
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	100	99
Yemen, Rep.	2013	39	88
Zambia	2014	92	99
Zimbabwe	2015	88	98
