Country	Imports (2010)	Imports (2019)
Afghanistan	2	1
Albania	5	2
Algeria	2	3
American Samoa	..	..
Andorra	..	..
Angola	7	6
Antigua and Barbuda	21	9
Argentina	4	3
Armenia	5	4
Aruba	2	3
Australia	2	4
Austria	6	5
Azerbaijan	3	3
Bahamas, The	15	9
Bahrain	23	50
Bangladesh	2	14
Barbados	4	11
Belarus	5	5
Belgium	9	8
Belize	17	21
Benin	5	2
Bermuda	14	10
Bhutan	3	6
Bolivia	13	7
Bosnia and Herzegovina	3	9
Botswana	4	2
Brazil	5	3
Brunei Darussalam	2	1
Bulgaria	5	6
Burkina Faso	12	17
Burundi	3	2
Cabo Verde	6	2
Cambodia	9	5
Cameroon	7	7
Canada	10	10
Cayman Islands	..	41
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	11	8
China	12	3
Hong Kong SAR, China	7	10
Macao SAR, China	13	17
Colombia	15	17
Comoros	12	8
Congo, Dem. Rep.	14	22
Congo, Rep.	4	7
Costa Rica	11	13
Cote d'Ivoire	8	5
Croatia	9	10
Cuba	..	..
Curacao	3	2
Cyprus	23	20
Czech Republic	7	5
Denmark	3	1
Djibouti	11	4
Dominica	12	14
Dominican Republic	18	12
Ecuador	8	13
Egypt, Arab Rep.	11	11
El Salvador	13	20
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	4	2
Eswatini	6	2
Ethiopia	4	3
Faroe Islands	1	..
Fiji	7	7
Finland	4	4
France	5	7
French Polynesia	4	5
Gabon	6	..
Gambia, The	7	12
Georgia	13	6
Germany	6	6
Ghana	5	1
Greece	9	7
Greenland	..	..
Grenada	15	18
Guam	..	..
Guatemala	11	14
Guinea	7	10
Guinea-Bissau	5	4
Guyana	9	7
Haiti	0	1
Honduras	9	7
Hungary	4	3
Iceland	7	2
India	10	3
Indonesia	7	4
Iran, Islamic Rep.	..	..
Iraq	29	17
Ireland	13	8
Isle of Man	..	..
Israel	3	2
Italy	10	11
Jamaica	11	7
Japan	6	8
Jordan	7	10
Kazakhstan	5	2
Kenya	10	12
Kiribati	6	6
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	3	2
Kosovo	7	8
Kuwait	9	14
Kyrgyz Republic	4	2
Lao PDR	5	3
Latvia	9	5
Lebanon	11	16
Lesotho	4	3
Liberia	5	33
Libya	12	26
Liechtenstein	..	..
Lithuania	3	3
Luxembourg	59	51
Madagascar	0	2
Malawi	4	11
Malaysia	8	7
Maldives	4	5
Mali	5	4
Malta	35	23
Marshall Islands	2	6
Mauritania	1	1
Mauritius	8	5
Mexico	17	22
Micronesia, Fed. Sts.	3	..
Moldova	4	2
Monaco	..	..
Mongolia	4	7
Montenegro	1	1
Morocco	4	2
Mozambique	4	6
Myanmar	6	2
Namibia	7	5
Nepal	4	4
Netherlands	4	6
New Caledonia	3	5
New Zealand	5	10
Nicaragua	10	12
Niger	5	1
Nigeria	3	4
North Macedonia	3	3
Northern Mariana Islands	..	..
Norway	4	4
Oman	11	9
Pakistan	4	6
Palau	2	2
Panama	20	12
Papua New Guinea	13	6
Paraguay	8	8
Peru	9	13
Philippines	9	8
Poland	7	4
Portugal	9	6
Puerto Rico	..	..
Qatar	7	10
Romania	8	2
Russian Federation	5	3
Rwanda	..	3
Samoa	1	6
San Marino	..	..
Sao Tome and Principe	7	3
Saudi Arabia	5	6
Senegal	11	9
Serbia	3	3
Seychelles	5	3
Sierra Leone	3	10
Singapore	5	7
Sint Maarten (Dutch part)	3	3
Slovak Republic	9	4
Slovenia	5	4
Solomon Islands	6	5
Somalia	..	..
South Africa	3	4
South Sudan	..	4
Spain	9	6
Sri Lanka	6	12
St. Kitts and Nevis	13	9
St. Lucia	8	7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	12	11
Sudan	9	7
Suriname	3	4
Sweden	2	4
Switzerland	9	5
Syrian Arab Republic	4	..
Tajikistan	2	2
Tanzania	4	3
Thailand	5	6
Timor-Leste	2	8
Togo	11	11
Tonga	5	1
Trinidad and Tobago	20	13
Tunisia	9	8
Turkey	11	16
Turkmenistan	..	..
Turks and Caicos Islands	..	10
Tuvalu	1	..
Uganda	4	3
Ukraine	10	4
United Arab Emirates	..	..
United Kingdom	9	10
United States	20	14
Uruguay	4	3
Uzbekistan	..	3
Vanuatu	7	8
Venezuela, RB	7	4
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2	5
Yemen, Rep.	10	12
Zambia	4	9
Zimbabwe	..	13
World	10	8
East Asia & Pacific	8	5
Europe & Central Asia	7	7
Latin America & Caribbean	11	13
Middle East & North Africa	9	9
North America	19	14
South Asia	9	4
Sub-Saharan Africa	5	5
Low income	6	6
Lower middle income	8	5
Upper middle income	10	6
High income	9	8
