Country	%
Afghanistan	19.4
Albania	..
Algeria	0
American Samoa	..
Andorra	0
Angola	3.1
Antigua and Barbuda	0
Argentina	0.5
Armenia	1.3
Aruba	..
Australia	0
Austria	0
Azerbaijan	0.4
Bahamas, The	0.6
Bahrain	0
Bangladesh	6.8
Barbados	2
Belarus	0.4
Belgium	0
Belize	1.6
Benin	19.3
Bermuda	..
Bhutan	11.2
Bolivia	2.3
Bosnia and Herzegovina	0
Botswana	9.6
Brazil	0.1
Brunei Darussalam	0
Bulgaria	0
Burkina Faso	18
Burundi	31
Cabo Verde	8.3
Cambodia	15.1
Cameroon	7.7
Canada	0
Cayman Islands	..
Central African Republic	55.2
Chad	21.1
Channel Islands	..
Chile	0
China	0
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	0
Comoros	11.1
Congo, Dem. Rep.	42.5
Congo, Rep.	7.5
Costa Rica	0.1
Cote d'Ivoire	13.1
Croatia	0
Cuba	0.1
Curacao	..
Cyprus	0.4
Czech Republic	0
Denmark	0
Djibouti	25.8
Dominica	3.2
Dominican Republic	0.7
Ecuador	0.5
Egypt, Arab Rep.	0.3
El Salvador	0.1
Equatorial Guinea	2
Eritrea	13.6
Estonia	0
Eswatini	23.7
Ethiopia	22.1
Faroe Islands	..
Fiji	2.3
Finland	0
France	0
French Polynesia	..
Gabon	0.6
Gambia, The	42
Georgia	2.4
Germany	0
Ghana	14.5
Greece	0.2
Greenland	..
Grenada	0.9
Guam	..
Guatemala	1.1
Guinea	13.9
Guinea-Bissau	16
Guyana	4.9
Haiti	43.1
Honduras	5.4
Hungary	0
Iceland	0
India	0.8
Indonesia	0.5
Iran, Islamic Rep.	0
Iraq	0.1
Ireland	0
Isle of Man	..
Israel	1.8
Italy	0
Jamaica	2
Japan	0
Jordan	9.3
Kazakhstan	0.1
Kenya	17.9
Kiribati	21.1
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	..
Kuwait	0
Kyrgyz Republic	5.6
Lao PDR	16.7
Latvia	0.2
Lebanon	1
Lesotho	20.4
Liberia	28.8
Libya	..
Liechtenstein	..
Lithuania	0.2
Luxembourg	1.4
Madagascar	23
Malawi	52.4
Malaysia	0
Maldives	0.1
Mali	28
Malta	0
Marshall Islands	45.6
Mauritania	7
Mauritius	0.8
Mexico	0
Micronesia, Fed. Sts.	71.5
Moldova	4.7
Monaco	0
Mongolia	2.8
Montenegro	..
Morocco	0.2
Mozambique	61.2
Myanmar	9
Namibia	4
Nepal	15.3
Netherlands	0
New Caledonia	..
New Zealand	0
Nicaragua	7.5
Niger	16.5
Nigeria	7.9
North Macedonia	0.4
Northern Mariana Islands	..
Norway	0
Oman	0
Pakistan	1.7
Palau	14.4
Panama	0.5
Papua New Guinea	15.6
Paraguay	0.3
Peru	0.2
Philippines	2.6
Poland	0
Portugal	0
Puerto Rico	..
Qatar	0
Romania	0
Russian Federation	0
Rwanda	50.4
Samoa	13.1
San Marino	0
Sao Tome and Principe	38.9
Saudi Arabia	0
Senegal	16.7
Serbia	0.2
Seychelles	0.6
Sierra Leone	18.7
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0
Slovenia	0
Solomon Islands	23.4
Somalia	..
South Africa	2
South Sudan	68.1
Spain	0
Sri Lanka	1.3
St. Kitts and Nevis	0
St. Lucia	0.2
St. Martin (French part)	..
St. Vincent and the Grenadines	1.2
Sudan	5.4
Suriname	0.3
Sweden	0
Switzerland	0
Syrian Arab Republic	..
Tajikistan	7.7
Tanzania	31.8
Thailand	0.2
Timor-Leste	22.4
Togo	13.7
Tonga	27.4
Trinidad and Tobago	0
Tunisia	0.4
Turkey	0
Turkmenistan	0.1
Turks and Caicos Islands	..
Tuvalu	26.8
Uganda	42.5
Ukraine	1.7
United Arab Emirates	0
United Kingdom	0
United States	0
Uruguay	0
Uzbekistan	2.6
Vanuatu	26.2
Venezuela, RB	0
Vietnam	2
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	7.8
Zambia	42.6
Zimbabwe	14.7
World	0.2
East Asia & Pacific	0.1
Europe & Central Asia	0
Latin America & Caribbean	0.3
Middle East & North Africa	0.7
North America	0
South Asia	1.8
Sub-Saharan Africa	11.2
Low income	22.3
Lower middle income	3.4
Upper middle income	0.2
High income	0
