Country	Index
Afghanistan	..
Albania	4
Algeria	3.4
American Samoa	..
Andorra	..
Angola	01.08
Antigua and Barbuda	..
Argentina	2.8
Armenia	3.8
Aruba	..
Australia	5
Austria	05.03
Azerbaijan	4.4
Bahamas, The	..
Bahrain	5.2
Bangladesh	3.6
Barbados	4
Belarus	..
Belgium	05.02
Belize	..
Benin	3.5
Bermuda	..
Bhutan	4.5
Bolivia	3.4
Bosnia and Herzegovina	3.3
Botswana	04.04
Brazil	3
Brunei Darussalam	4
Bulgaria	03.09
Burkina Faso	3.6
Burundi	03.03
Cabo Verde	3.6
Cambodia	2.9
Cameroon	3.4
Canada	5.2
Cayman Islands	..
Central African Republic	..
Chad	2.4
Channel Islands	..
Chile	5
China	4.6
Hong Kong SAR, China	6
Macao SAR, China	..
Colombia	3.8
Comoros	..
Congo, Dem. Rep.	3.1
Congo, Rep.	..
Costa Rica	3.7
Cote d'Ivoire	04.01
Croatia	4.2
Cuba	..
Curacao	..
Cyprus	4.7
Czech Republic	4.9
Denmark	5.2
Djibouti	..
Dominica	..
Dominican Republic	4.4
Ecuador	3.5
Egypt, Arab Rep.	3.9
El Salvador	2.8
Equatorial Guinea	..
Eritrea	..
Estonia	5.5
Ethiopia	3.6
Faroe Islands	..
Fiji	..
Finland	6.3
France	4.8
French Polynesia	..
Gabon	3.5
Gambia, The	4.7
Georgia	5.4
Germany	5.3
Ghana	3.9
Greece	4.1
Greenland	..
Grenada	..
Guam	..
Guatemala	3.2
Guinea	5.3
Guinea-Bissau	..
Guyana	3.6
Haiti	2.5
Honduras	3.3
Hungary	5
Iceland	5
India	4.6
Indonesia	4.2
Iran, Islamic Rep.	3.6
Iraq	..
Ireland	5.4
Isle of Man	..
Israel	4.7
Italy	4.3
Jamaica	4
Japan	5
Jordan	4.8
Kazakhstan	3.9
Kenya	4.1
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	4.6
Kosovo	..
Kuwait	3.6
Kyrgyz Republic	3.6
Lao PDR	3.8
Latvia	4.3
Lebanon	3.2
Lesotho	3.1
Liberia	3.6
Libya	2.6
Liechtenstein	..
Lithuania	04.06
Luxembourg	5.5
North Macedonia	4.6
Madagascar	3.2
Malawi	3.5
Malaysia	5.1
Maldives	..
Mali	3.4
Malta	4.9
Marshall Islands	..
Mauritania	2.4
Mauritius	4.6
Mexico	04.01
Micronesia, Fed. Sts.	..
Moldova	3.9
Monaco	..
Mongolia	3.5
Montenegro	4.2
Morocco	4.5
Mozambique	3.5
Myanmar	3
Namibia	4.2
Nepal	3.4
Netherlands	05.08
New Caledonia	..
New Zealand	5.8
Nicaragua	2.2
Niger	..
Nigeria	2.9
Northern Mariana Islands	..
Norway	5.2
Oman	4.5
Pakistan	3.7
Palau	..
Panama	4.5
Papua New Guinea	..
Paraguay	3.6
Peru	4
Philippines	3
Poland	4.6
Portugal	5.1
Puerto Rico	5.1
Qatar	5.1
Romania	4.2
Russian Federation	4
Rwanda	5.3
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	04.08
Senegal	4.6
Serbia	3.9
Seychelles	3.9
Sierra Leone	03.03
Singapore	6.3
Sint Maarten (Dutch part)	..
Slovak Republic	04.05
Slovenia	5
Solomon Islands	..
Somalia	..
South Africa	4.2
South Sudan	..
Spain	4.7
Sri Lanka	3.9
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	3.4
Eswatini	4.1
Sweden	05.06
Switzerland	5.4
Syrian Arab Republic	..
Tajikistan	4.2
Tanzania	3.8
Thailand	4
Timor-Leste	3.1
Togo	..
Tonga	..
Trinidad and Tobago	3.3
Tunisia	3.1
Turkey	3.9
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	4.2
Ukraine	3
United Arab Emirates	6
United Kingdom	5.5
United States	5.6
Uruguay	4.5
Uzbekistan	..
Vanuatu	..
Venezuela, RB	2.2
Vietnam	3.7
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	2.7
Zambia	3.7
Zimbabwe	2.9
World	4.2
East Asia & Pacific	4.5
Europe & Central Asia	4.7
Latin America & Caribbean	3.5
Middle East & North Africa	4.3
North America	5.4
South Asia	4
Sub-Saharan Africa	3.7
Low income	3.6
Lower middle income	3.6
Upper middle income	3.9
High income	5
