Country	mean annual exposure
Afghanistan	56.3
Albania	18.2
Algeria	39.9
American Samoa	12.4
Andorra	10.3
Angola	31.8
Antigua and Barbuda	18.5
Argentina	13.8
Armenia	32.2
Aruba	..
Australia	8.6
Austria	12.6
Azerbaijan	20.2
Bahamas, The	17.7
Bahrain	69.9
Bangladesh	60.1
Barbados	23.5
Belarus	18.9
Belgium	12.8
Belize	23.1
Benin	38.4
Bermuda	11.7
Bhutan	37.2
Bolivia	21.4
Bosnia and Herzegovina	27.6
Botswana	23.6
Brazil	12.7
Brunei Darussalam	5.9
Bulgaria	19.3
Burkina Faso	41.5
Burundi	38.7
Cabo Verde	33.4
Cambodia	25.2
Cameroon	73.2
Canada	6.5
Cayman Islands	..
Central African Republic	57
Chad	64.8
Channel Islands	..
Chile	20.9
China	52.2
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	16.6
Comoros	20.5
Congo, Dem. Rep.	45.5
Congo, Rep.	45.7
Costa Rica	15.7
Cote d'Ivoire	26.7
Croatia	17.8
Cuba	19.7
Curacao	..
Cyprus	17
Czech Republic	16.1
Denmark	10.1
Djibouti	45.9
Dominica	20
Dominican Republic	13.7
Ecuador	15
Egypt, Arab Rep.	88.1
El Salvador	24.7
Equatorial Guinea	54.5
Eritrea	48.7
Estonia	6.8
Eswatini	17.1
Ethiopia	39.2
Faroe Islands	..
Fiji	11.1
Finland	5.9
France	11.9
French Polynesia	..
Gabon	43.7
Gambia, The	32.6
Georgia	21.8
Germany	11.9
Ghana	36.3
Greece	16.3
Greenland	11.6
Grenada	22.9
Guam	11.7
Guatemala	23.8
Guinea	24.8
Guinea-Bissau	29.6
Guyana	22.4
Haiti	15.1
Honduras	21.1
Hungary	15.9
Iceland	6.6
India	89.7
Indonesia	16.4
Iran, Islamic Rep.	38.8
Iraq	64
Ireland	8.3
Isle of Man	..
Israel	20.8
Italy	16.5
Jamaica	13.4
Japan	11.6
Jordan	33.2
Kazakhstan	13.1
Kenya	28.6
Kiribati	10.5
Korea, Dem. People’s Rep.	31.8
Korea, Rep.	25.1
Kosovo	..
Kuwait	60.8
Kyrgyz Republic	23.2
Lao PDR	25.8
Latvia	13.4
Lebanon	30.2
Lesotho	28.3
Liberia	17.9
Libya	52.1
Liechtenstein	..
Lithuania	11.8
Luxembourg	10.3
Madagascar	29.6
Malawi	22.9
Malaysia	23.1
Maldives	15.8
Mali	8
Malta	38.5
Marshall Islands	13.8
Mauritania	10.2
Mauritius	46.7
Mexico	14.3
Micronesia, Fed. Sts.	20.7
Moldova	11.1
Monaco	16.4
Mongolia	..
Montenegro	38.2
Morocco	20.9
Mozambique	32.9
Myanmar	21.5
Namibia	36
Nepal	25.6
Netherlands	98.1
New Caledonia	12
New Zealand	..
Nicaragua	6
Niger	17.7
Nigeria	87.7
North Macedonia	71.4
Northern Mariana Islands	9.9
Norway	7
Oman	41.8
Pakistan	58.6
Palau	..
Panama	11.5
Papua New Guinea	12.6
Paraguay	11.6
Peru	25.5
Philippines	18.2
Poland	21
Portugal	8.1
Puerto Rico	8.3
Qatar	88.2
Romania	14.5
Russian Federation	16.2
Rwanda	42.8
Samoa	11.4
San Marino	..
Sao Tome and Principe	28.7
Saudi Arabia	84.5
Senegal	38.7
Serbia	24.8
Seychelles	20.4
Sierra Leone	21.3
Singapore	18.8
Sint Maarten (Dutch part)	..
Slovak Republic	17.4
Slovenia	15.9
Solomon Islands	11.8
Somalia	31.8
South Africa	25.1
South Sudan	44.8
Spain	9.7
Sri Lanka	14
St. Kitts and Nevis	..
St. Lucia	22.4
St. Martin (French part)	..
St. Vincent and the Grenadines	22.1
Sudan	54.1
Suriname	25.3
Sweden	6.1
Switzerland	10.3
Syrian Arab Republic	43.7
Tajikistan	43.4
Tanzania	28.4
Thailand	26.3
Timor-Leste	20
Togo	37.1
Tonga	11
Trinidad and Tobago	24.2
Tunisia	38.5
Turkey	44.5
Turkmenistan	21.7
Turks and Caicos Islands	..
Tuvalu	..
Uganda	51.9
Ukraine	20.6
United Arab Emirates	40.5
United Kingdom	10.5
United States	7.4
Uruguay	9.2
Uzbekistan	27.8
Vanuatu	11.6
Venezuela, RB	16.8
Vietnam	30.2
Virgin Islands (U.S.)	10.3
West Bank and Gaza	32.7
Yemen, Rep.	50.1
Zambia	27.4
Zimbabwe	21.7
World	45.2
East Asia & Pacific	39.5
Europe & Central Asia	18
Latin America & Caribbean	16.7
Middle East & North Africa	55.8
North America	7.3
South Asia	82
Sub-Saharan Africa	44.4
Low income	42.5
Lower middle income	67.3
Upper middle income	36.9
High income	14.5
