Country	Tons	Change %	From energy processes	Agricultural
Afghanistan	3424	24.6	6	71.3
Albania	1146	-26.5	6.2	80.6
Algeria	6382	49.9	7.2	53.9
American Samoa	24	2509.8	0	99.2
Andorra	0	0	0	0
Angola	3641	-79.5	6	81.3
Antigua and Barbuda	26	54.5	12.6	51.3
Argentina	53101	37.9	3.1	90.6
Armenia	1023	27	3.2	81.1
Aruba	6	-45.1	36.5	13
Australia	54247	-13.7	6.6	81
Austria	3790	-28.7	17.6	56
Azerbaijan	2673	0.3	5.4	80
Bahamas, The	131	119.4	19.6	16.1
Bahrain	131	80.8	23.7	11.3
Bangladesh	26683	64.7	7.6	82.9
Barbados	59	-16.1	13	43.4
Belarus	13905	-31	5.4	71.2
Belgium	8503	-13.5	8	31.3
Belize	200	54.3	9.5	72.4
Benin	4867	30.4	2.5	62.6
Bermuda	21	46.9	16.6	13.5
Bhutan	555	210.4	34.4	42.1
Bolivia	9733	-33.4	1.6	53.7
Bosnia and Herzegovina	1124	-10.8	10.2	70.7
Botswana	2229	-58.7	2.9	93.9
Brazil	214529	36.8	3.7	81.5
Brunei Darussalam	342	-40.1	4.9	27.9
Bulgaria	4646	-49.9	7.9	49.9
Burkina Faso	7366	75.3	5.5	89.5
Burundi	789	17.3	25	60.2
Cabo Verde	81	85	2.7	82.4
Cambodia	16685	329.1	1.7	51.9
Cameroon	13900	32.9	1.5	77
Canada	33414	-27.5	17.9	65.4
Cayman Islands	14	100.2	25.2	5.2
Central African Republic	100652	97.4	0.1	77.6
Chad	14863	84.5	1.1	90
Channel Islands	..	..	..	..
Chile	8949	69.1	5.9	66.4
China	587166	72.5	10.5	74.7
Hong Kong SAR, China	476	20.1	41.3	0
Macao SAR, China	12	26.9	36.6	0
Colombia	25642	26.2	2.8	84.9
Comoros	59	41.5	8.4	74.2
Congo, Dem. Rep.	67965	-22	2.1	31.8
Congo, Rep.	2957	-32	2.7	52.7
Costa Rica	1566	-15.8	5.9	80.4
