Country	Imports (2010)	Imports (2019)
Afghanistan	5771	7371
Albania	5781	6907
Algeria	50645	60128
American Samoa	..	..
Andorra	..	..
Angola	35421	22299
Antigua and Barbuda	679	1115
Argentina	68779	66294
Armenia	4537	7246
Aruba	2074	2244
Australia	254064	295615
Austria	185621	230889
Azerbaijan	10236	17712
Bahamas, The	3773	5134
Bahrain	13095	27187
Bangladesh	29471	64420
Barbados	2154	..
Belarus	36821	42224
Belgium	364144	431753
Belize	810	1128
Benin	2292	4669
Bermuda	2001	2121
Bhutan	935	1257
Bolivia	6156	11976
Bosnia and Herzegovina	8794	11130
Botswana	6634	7312
Brazil	243661	254149
Brunei Darussalam	3837	6806
Bulgaria	26931	40849
Burkina Faso	2559	5167
Burundi	607	905
Cabo Verde	1113	1294
Cambodia	7606	25447
Cameroon	6378	8423
Canada	500163	577377
Cayman Islands	..	2195
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	67820	85052
China	1380920	2479255
Hong Kong SAR, China	456007	642488
Macao SAR, China	9183	18321
Colombia	48047	64529
Comoros	272	351
Congo, Dem. Rep.	10705	17774
Congo, Rep.	7295	..
Costa Rica	12930	19593
Cote d'Ivoire	10786	12934
Croatia	22641	31390
Cuba	..	..
Curacao	2923	2826
Cyprus	15101	17224
Czech Republic	130837	171036
Denmark	140364	171167
Djibouti	493	4189
Dominica	265	431
Dominican Republic	17797	24181
Ecuador	22636	25771
Egypt, Arab Rep.	59862	78951
El Salvador	8595	12873
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	13401	21541
Eswatini	2625	1926
Ethiopia	9915	19929
Faroe Islands	1111	..
Fiji	2007	3208
Finland	92734	106135
France	752868	910260
French Polynesia	2330	..
Gabon	4923	..
Gambia, The	323	621
Georgia	6114	11114
Germany	1263115	1585975
Ghana	13925	23220
Greece	80156	83192
Greenland	..	..
Grenada	380	645
Guam	..	..
Guatemala	14347	21601
Guinea	1800	4187
Guinea-Bissau	299	459
Guyana	1763	3038
Haiti	4287	5671
Honduras	7775	11526
Hungary	100281	128184
Iceland	5784	9815
India	439059	616082
Indonesia	145424	204343
Iran, Islamic Rep.	..	..
Iraq	47192	72381
Ireland	169386	436478
Isle of Man	..	..
Israel	76941	107072
Italy	575128	571180
Jamaica	6454	7950
Japan	791793	900305
Jordan	18241	22762
Kazakhstan	44260	50133
Kenya	13531	19086
Kiribati	123	171
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	512824	615759
Kosovo	3222	4454
Kuwait	35354	68205
Kyrgyz Republic	3736	5861
Lao PDR	2324	7318
Latvia	13173	20415
Lebanon	30222	32849
Lesotho	2416	2238
Liberia	868	1245
Libya	30686	18849
Liechtenstein	..	..
Lithuania	24474	39300
Luxembourg	67384	108291
Madagascar	3427	4840
Malawi	2642	2944
Malaysia	181577	221336
Maldives	1693	4098
Mali	3745	6078
Malta	13454	17800
Marshall Islands	165	175
Mauritania	4145	3284
Mauritius	6136	7565
Mexico	328708	492222
Micronesia, Fed. Sts.	240	..
Moldova	4208	6611
Monaco	..	..
Mongolia	3869	9249
Montenegro	2562	3589
Morocco	36999	54850
Mozambique	4726	10518
Myanmar	4647	18866
Namibia	5862	5796
Nepal	5879	14648
Netherlands	532072	652677
New Caledonia	4333	..
New Zealand	39973	56428
Nicaragua	5236	6730
Niger	2810	3369
Nigeria	70853	71637
North Macedonia	5463	9597
Northern Mariana Islands	..	..
Norway	120111	141462
Oman	24239	35296
Pakistan	40016	56336
Palau	146	207
Panama	21497	27378
Papua New Guinea	6290	4844
Paraguay	10292	13146
Peru	34441	51454
Philippines	65648	127776
Poland	202076	298974
Portugal	89500	103732
Puerto Rico	..	..
Qatar	43793	66770
Romania	64483	110532
Russian Federation	320958	353352
Rwanda	1641	3143
Samoa	362	429
San Marino	..	..
Sao Tome and Principe	121	197
Saudi Arabia	174203	207221
Senegal	5206	8960
Serbia	18862	31293
Seychelles	1048	1816
Sierra Leone	1132	1614
Singapore	411718	541855
Sint Maarten (Dutch part)	971	1233
Slovak Republic	69000	98872
Slovenia	30501	40510
Solomon Islands	548	748
Somalia	..	..
South Africa	102954	103117
South Sudan	..	3572
Spain	383498	446796
Sri Lanka	15219	26841
St. Kitts and Nevis	364	594
St. Lucia	787	998
St. Martin (French part)	..	..
St. Vincent and the Grenadines	389	451
Sudan	11372	8237
Suriname	1657	2428
Sweden	196604	232054
Switzerland	312065	375294
Syrian Arab Republic	19409	..
Tajikistan	3344	3409
Tanzania	9054	9883
Thailand	207559	275116
Timor-Leste	1343	1039
Togo	1830	2329
Tonga	226	334
Trinidad and Tobago	6871	9182
Tunisia	24240	24651
Turkey	197021	226941
Turkmenistan	..	..
Turks and Caicos Islands	..	544
Tuvalu	52	..
Uganda	6178	9541
Ukraine	69608	75804
United Arab Emirates	..	..
United Kingdom	749903	924995
United States	2348263	3114456
Uruguay	10089	12707
Uzbekistan	..	26568
Vanuatu	368	460
Venezuela, RB	56038	..
Vietnam	87294	245627
Virgin Islands (U.S.)	..	..
West Bank and Gaza	5264	8731
Yemen, Rep.	10629	..
Zambia	5598	8033
Zimbabwe	6440	6559
World	18317446	24128612
East Asia & Pacific	4881109	7032735
Europe & Central Asia	7567701	9453759
Latin America & Caribbean	1102031	1373041
Middle East & North Africa	..	..
North America	2850427	3693942
South Asia	538043	788693
Sub-Saharan Africa	407124	480692
Low income	124154	173752
Lower middle income	1199877	1815767
Upper middle income	3824435	5484743
High income	13168605	16651721
