Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	38	56
Albania	2018	82	54
Algeria	2013	76	83
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	13	57
Antigua and Barbuda	..	..	..
Argentina	..	..	..
Armenia	2016	91	79
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	69	92
Barbados	2012	..	..
Belarus	2012	..	..
Belgium	..	..	..
Belize	2016	83	84
Benin	2018	43	66
Bermuda	..	..	..
Bhutan	2010	..	..
Bolivia	2008	78	81
Bosnia and Herzegovina	..	87	77
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2018	..	..
Burundi	2017	73	84
Cabo Verde	..	82	85
Cambodia	2014	..	..
Cameroon	2014	61	91
Canada	..	52	89
Cayman Islands	..	..	..
Central African Republic	2010	..	..
Chad	2015	6	30
Channel Islands	..	21	35
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	..	..
Comoros	2012	64	67
Congo, Dem. Rep.	2014	40	72
Congo, Rep.	2016	36	65
Costa Rica	2011	14	27
Cote d'Ivoire	2016	64	74
Croatia	..	27	57
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	..	..
Ecuador	..	41	47
Egypt, Arab Rep.	2014	..	..
El Salvador	2014	86	92
Equatorial Guinea	..	88	80
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	..	..
Ethiopia	2016	79	76
Faroe Islands	..	22	63
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	..	..
Gambia, The	2018	35	16
Georgia	..	83	92
Germany	..	..	..
Ghana	2016	..	..
Greece	..	78	76
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	..	..
Guinea	2018	..	..
Guinea-Bissau	2014	52	62
Guyana	2014	15	36
Haiti	2017	56	69
Honduras	2012	60	58
Hungary	..	30	66
Iceland	..	86	87
India	2016	..	..
Indonesia	2017	..	..
Iran, Islamic Rep.	..	53	70
Iraq	2018	57	69
Ireland	..	..	..
Isle of Man	..	32	63
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	..	..
Japan	..	..	..
Jordan	2018	90	83
Kazakhstan	2015	..	..
Kenya	2015	85	83
Kiribati	..	95	90
Korea, Dem. Peopleâ€™s Rep.	..	62	73
Korea, Rep.	..	..	..
Kosovo	2014	..	..
Kuwait	..	..	..
Kyrgyz Republic	2018	80	82
Lao PDR	2017	..	..
Latvia	..	76	58
Lebanon	..	32	65
Lesotho	2018	..	..
Liberia	2016	..	..
Libya	..	65	81
Liechtenstein	..	35	67
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2016	..	..
Malawi	2017	..	..
Malaysia	..	41	82
Maldives	2017	72	77
Mali	2018	..	..
Malta	..	71	76
Marshall Islands	..	37	53
Mauritania	2015	..	..
Mauritius	..	..	..
Mexico	2015	31	73
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	55	47
Monaco	..	..	..
Mongolia	2018	99	80
Montenegro	2013	..	..
Morocco	..	89	85
Mozambique	2018	78	88
Myanmar	2016	..	..
Namibia	2013	53	85
Nepal	2016	41	77
Netherlands	..	75	51
New Caledonia	..	..	..
New Zealand	..	77	82
Nicaragua	..	..	..
Niger	2012	..	..
Nigeria	2018	..	..
North Macedonia	2011	..	..
Northern Mariana Islands	..	35	67
Norway	..	15	59
Oman	..	86	91
Pakistan	2018	..	..
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	38	80
Paraguay	2016	..	..
Peru	2012	..	..
Philippines	2017	15	53
Poland	..	37	45
Portugal	..	70	76
Puerto Rico	..	58	75
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2017	..	..
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	87	95
Saudi Arabia	..	..	..
Senegal	2017	..	..
Serbia	2014	73	83
Seychelles	..	..	..
Sierra Leone	2017	61	84
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	70	76
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	..	..
South Sudan	2010	..	..
Spain	..	..	..
Sri Lanka	..	66	58
St. Kitts and Nevis	..	2	15
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	..	..
Suriname	2018	..	..
Sweden	..	..	..
Switzerland	..	35	68
Syrian Arab Republic	..	..	..
Tajikistan	2017	..	..
Tanzania	2017	..	..
Thailand	2016	..	..
Timor-Leste	2016	78	69
Togo	2017	65	83
Tonga	..	82	63
Trinidad and Tobago	..	37	56
Tunisia	2018	62	72
Turkey	2013	..	..
Turkmenistan	2016	..	..
Turks and Caicos Islands	..	85	69
Tuvalu	..	61	84
Uganda	2016	99	99
Ukraine	2012	..	..
United Arab Emirates	..	..	..
United Kingdom	..	56	54
United States	..	37	32
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	..	..
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	..	..
Yemen, Rep.	2013	72	83
Zambia	2014	..	..
Zimbabwe	2015	98	83
