Country	Secure Internet servers
Afghanistan	52.9
Albania	526.1
Algeria	67.6
American Samoa	450.7
Andorra	5194.4
Angola	11.2
Antigua and Barbuda	841.2
Argentina	1872.6
Armenia	335.1
Aruba	1152.6
Australia	32903.6
Austria	16705
Azerbaijan	329.4
Bahamas, The	2357.1
Bahrain	370.8
Bangladesh	116
Barbados	868.7
Belarus	3420.7
Belgium	13973.2
Belize	11595.8
Benin	7.3
Bermuda	8150.8
Bhutan	177.6
Bolivia	130.2
Bosnia and Herzegovina	1934.8
Botswana	133.5
Brazil	2036.4
British Virgin Islands	330716.1
Brunei Darussalam	1988.5
Bulgaria	38223.9
Burkina Faso	2.5
Burundi	6
Cabo Verde	498.4
Cambodia	81.1
Cameroon	5.4
Canada	30953.2
Cayman Islands	11531.1
Central African Republic	0.6
Chad	0.5
Channel Islands	..
Chile	8073.3
China	446.7
Colombia	651.3
Comoros	7.2
Congo, Dem. Rep.	2.8
Congo, Rep.	6.1
Costa Rica	1205.9
Cote d'Ivoire	11.6
Croatia	19554.8
Cuba	16.1
Curacao	3786
Cyprus	6372
Czech Republic	42344.6
Denmark	123154.4
Djibouti	37.5
Dominica	6631.8
Dominican Republic	121.7
Ecuador	265.6
Egypt, Arab Rep.	35.1
El Salvador	90.6
Equatorial Guinea	9.9
Eritrea	..
Estonia	48893.4
Eswatini	53.7
Ethiopia	1.5
Faroe Islands	4639.5
Fiji	173.2
Finland	33999.1
France	20421.4
French Polynesia	741.9
Gabon	26.4
Gambia, The	24.6
Georgia	2182.2
Germany	56406.6
Ghana	21.8
Gibraltar	16460.1
Greece	5035.4
Greenland	3070.2
Grenada	323
Guam	856.6
Guatemala	78.7
Guinea	3.3
Guinea-Bissau	2.1
Guyana	47.5
Haiti	5.3
Honduras	74.8
Hong Kong SAR, China	19403.6
Hungary	19243.9
Iceland	64762.2
India	187.8
Indonesia	1283
Iran, Islamic Rep.	494.6
Iraq	11.3
Ireland	69593.6
Isle of Man	8254.3
Israel	9611.9
Italy	12258
Jamaica	153.7
Japan	11670.8
Jordan	103
Kazakhstan	1374.2
Kenya	217.2
Kiribati	43.2
Korea, Dem. Peopleâ€™s Rep.	0
Korea, Rep.	2065.1
Kosovo	..
Kuwait	412.1
Kyrgyz Republic	170
Lao PDR	20.4
Latvia	14504.1
Lebanon	174.5
Lesotho	39.4
Liberia	2.3
Libya	1.8
Liechtenstein	35162.2
Lithuania	18267.1
Luxembourg	43151.6
Macao SAR, China	2650.3
North Macedonia	464.7
Madagascar	5.4
Malawi	15.4
Malaysia	5713
Maldives	523.6
Mali	10.5
Malta	14415.1
Marshall Islands	137
Mauritania	5.5
Mauritius	7844.8
Mexico	225.7
Micronesia, Fed. Sts.	186.4
Moldova	3920.8
Monaco	10650.9
Mongolia	1689.8
Montenegro	416.2
Morocco	295.7
Mozambique	11.8
Myanmar	9.2
Namibia	149.5
Nauru	78.7
Nepal	182.5
Netherlands	100581.5
New Caledonia	3326.8
New Zealand	17835
Nicaragua	69.3
Niger	0.5
Nigeria	184.2
Northern Mariana Islands	246.1
Norway	20886.2
Oman	156.7
Pakistan	109.1
Palau	837.7
Panama	2141.6
Papua New Guinea	49.8
Paraguay	248.4
Peru	257.3
Philippines	92.9
Poland	16227.1
Portugal	15977.3
Puerto Rico	384.9
Qatar	396.5
Romania	15939.3
Russian Federation	5190.6
Rwanda	36.5
Samoa	535.4
San Marino	59257.1
Sao Tome and Principe	56.9
Saudi Arabia	161.6
Senegal	17.2
Serbia	6899.7
Seychelles	264256.6
Sierra Leone	5.2
Singapore	84713.9
Sint Maarten (Dutch part)	787.1
Slovak Republic	12993.4
Slovenia	33018.1
Solomon Islands	42.9
Somalia	4.3
South Africa	12034.3
South Sudan	1.4
Spain	11302.8
Sri Lanka	412.4
St. Kitts and Nevis	4462.2
St. Lucia	252.9
St. Martin (French part)	295.2
St. Vincent and the Grenadines	90.7
Sudan	4.5
Suriname	291.7
Sweden	18608.5
Switzerland	68154.8
Syrian Arab Republic	19.1
Tajikistan	27.4
Tanzania	27.3
Thailand	953.9
Timor-Leste	29.2
Togo	7.7
Tonga	174.4
Trinidad and Tobago	281.3
Tunisia	316.2
Turkey	4335.1
Turkmenistan	6
Turks and Caicos Islands	743.4
Tuvalu	86.9
Uganda	20.2
Ukraine	6027.8
United Arab Emirates	1484
United Kingdom	27261.8
United States	65864.2
Uruguay	1574.8
Uzbekistan	278.9
Vanuatu	198.2
Venezuela, RB	275.6
Vietnam	1769.5
Virgin Islands (U.S.)	860
West Bank and Gaza	469
Yemen, Rep.	3.8
Zambia	41.2
Zimbabwe	46.6
Arab World	136.7
Caribbean small states	1023.1
Central Europe and the Baltics	21419.7
Early-demographic dividend	623.4
East Asia & Pacific	2000.6
East Asia & Pacific (excluding high income)	680.4
East Asia & Pacific (IDA & IBRD countries)	680.5
Euro area	30489.2
Europe & Central Asia	18873.9
Europe & Central Asia (excluding high income)	4531.3
Europe & Central Asia (IDA & IBRD countries)	6123
European Union	29631.5
Fragile and conflict affected situations	78.5
Heavily indebted poor countries (HIPC)	15.2
High income	33891.9
IBRD only	1261.4
IDA & IBRD total	960.7
IDA blend	149.1
IDA only	35.8
IDA total	74.2
Late-demographic dividend	1793.3
Latin America & Caribbean	1235.2
Latin America & Caribbean (excluding high income)	1004.6
Latin America & the Caribbean (IDA & IBRD countries)	1243.9
Least developed countries: UN classification	34.6
Low & middle income	781.4
Low income	9.7
Lower middle income	301.2
Middle East & North Africa	423.1
Middle East & North Africa (excluding high income)	192.5
Middle East & North Africa (IDA & IBRD countries)	189.1
Middle income	864.5
North America	62298
Not classified	..
OECD members	30238.2
Other small states	4682.8
Pacific island small states	168.1
Post-demographic dividend	36408.8
Pre-demographic dividend	61.4
Small states	3745.7
South Asia	172.1
South Asia (IDA & IBRD)	172.1
Sub-Saharan Africa	737.7
Sub-Saharan Africa (excluding high income)	705.3
Sub-Saharan Africa (IDA & IBRD countries)	737.7
Upper middle income	1434.9
World	6174.7
