Country	Balance (2010)	Balance (2019)
Afghanistan	-578	-3799
Albania	-1356	-1165
Algeria	12220	-22059
American Samoa	..	..
Andorra	..	..
Angola	7506	5137
Antigua and Barbuda	-167	-113
Argentina	-1623	-3462
Armenia	-1261	-1118
Aruba	-460	-3
Australia	-44714	7122
Austria	11472	11714
Azerbaijan	15040	4365
Bahamas, The	-814	-1505
Bahrain	770	-2435
Bangladesh	2109	-3087
Barbados	-272	..
Belarus	-8280	-1166
Belgium	7338	-6512
Belize	-46	-155
Benin	-531	-649
Bermuda	696	958
Bhutan	-323	-564
Bolivia	874	-1362
Bosnia and Herzegovina	-1031	-710
Botswana	-804	345
Brazil	-79014	-49452
Brunei Darussalam	5016	894
Bulgaria	-965	2742
Burkina Faso	-182	-665
Burundi	-301	-363
Cabo Verde	-223	-4
Cambodia	-981	-4207
Cameroon	-857	-1409
Canada	-58163	-34193
Cayman Islands	..	-998
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	3069	-9157
China	237810	141335
Hong Kong SAR, China	16012	22740
Macao SAR, China	11089	19060
Colombia	-8732	-13800
Comoros	-39	-28
Congo, Dem. Rep.	-2174	-2169
Congo, Rep.	900	..
Costa Rica	-1214	-1545
Cote d'Ivoire	465	-2077
Croatia	-1485	1456
Cuba	..	..
Curacao	-879	-898
Cyprus	-2799	-1655
Czech Republic	-7351	-866
Denmark	21051	27581
Djibouti	50	541
Dominica	-80	-225
Dominican Republic	-4024	-1205
Ecuador	-1582	-79
Egypt, Arab Rep.	-4504	-10222
El Salvador	-533	-558
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	340	690
Eswatini	-388	196
Ethiopia	-635	-4611
Faroe Islands	144	..
Fiji	-149	-696
Finland	2792	-2060
France	-22031	-18549
French Polynesia	-18	..
Gabon	2453	..
Gambia, The	17	-79
Georgia	-1199	-901
Germany	196172	274847
Ghana	-2747	-2044
Greece	-30263	-2928
Greenland	..	..
Grenada	-204	-116
Guam	..	..
Guatemala	-767	1854
Guinea	-327	-191
Guinea-Bissau	-71	-54
Guyana	-246	-1072
Haiti	-102	-343
Honduras	-804	-163
Hungary	342	-1247
Iceland	-881	1404
India	-54516	-26894
Indonesia	5144	-30387
Iran, Islamic Rep.	..	..
Iraq	6488	15675
Ireland	2320	-36374
Isle of Man	..	..
Israel	8091	14051
Italy	-70819	58933
Jamaica	-934	-288
Japan	220888	184540
Jordan	-1882	-2850
Kazakhstan	1386	-6498
Kenya	-2369	-5018
Kiribati	0	77
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	27951	59971
Kosovo	-678	-459
Kuwait	36989	24049
Kyrgyz Republic	-475	-962
Lao PDR	29	-1430
Latvia	435	-176
Lebanon	-7552	-12445
Lesotho	-158	-80
Liberia	-853	-674
Libya	16801	11276
Liechtenstein	..	..
Lithuania	72	2298
Luxembourg	3584	3095
Madagascar	-917	80
Malawi	-969	-1427
Malaysia	25644	7590
Maldives	-196	-1388
Mali	-1190	-836
Malta	-420	1436
Marshall Islands	-14	53
Mauritania	-1226	-973
Mauritius	-1006	-816
Mexico	-4872	-2444
Micronesia, Fed. Sts.	-25	..
Moldova	-481	-1159
Monaco	..	..
Mongolia	-885	-2162
Montenegro	-852	-837
Morocco	-3925	-4915
Mozambique	-1679	-4501
Myanmar	1574	-2137
Namibia	-389	-284
Nepal	-128	-2775
Netherlands	61803	92805
New Caledonia	-1360	..
New Zealand	-3429	-5966
Nicaragua	-780	83
Niger	-1137	-1625
Nigeria	13111	5334
North Macedonia	-198	-353
Northern Mariana Islands	..	..
Norway	50258	16065
Oman	4634	-4347
Pakistan	-1354	-7143
Palau	-19	-52
Panama	-3113	-3500
Papua New Guinea	-642	5451
Paraguay	49	-447
Peru	-3564	-3594
Philippines	7179	-464
Poland	-25843	2776
Portugal	-24407	-236
Puerto Rico	..	..
Qatar	52124	4229
Romania	-8478	-11384
Russian Federation	67452	64607
Rwanda	-427	-746
Samoa	-44	20
San Marino	..	..
Sao Tome and Principe	-88	-75
Saudi Arabia	66751	49842
Senegal	-589	-2215
Serbia	-2692	-3536
Seychelles	-214	-278
Sierra Leone	-585	-646
Singapore	54996	63139
Sint Maarten (Dutch part)	-5	64
Slovak Republic	-4210	-3019
Slovenia	-357	3525
Solomon Islands	-144	-142
Somalia	..	..
South Africa	-5492	-10667
South Sudan	..	-316
Spain	-52250	27724
Sri Lanka	-1075	-2814
St. Kitts and Nevis	-139	-72
St. Lucia	-203	103
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-208	-99
Sudan	-1725	-4679
Suriname	651	-411
Sweden	29196	20783
Switzerland	85822	86167
Syrian Arab Republic	-367	..
Tajikistan	-581	-185
Tanzania	-2211	-1890
Thailand	11486	37911
Timor-Leste	1671	134
Togo	-200	-185
Tonga	-87	-8
Trinidad and Tobago	4172	1386
Tunisia	-2104	-4429
Turkey	-44620	8691
Turkmenistan	..	..
Turks and Caicos Islands	..	173
Tuvalu	-14	..
Uganda	-1610	-2333
Ukraine	-3016	-1322
United Arab Emirates	..	..
United Kingdom	-78779	-106886
United States	-431271	-498350
Uruguay	-731	419
Uzbekistan	..	-3246
