Country	% 1990	% 2014
Afghanistan	..	..
Albania	31.4	6.6
Algeria	0	2.4
American Samoa	..	..
Andorra	..	..
Angola	0.8	0.4
Antigua and Barbuda	..	..
Argentina	4.6	6.5
Armenia	3	0.4
Aruba	..	..
Australia	1.3	1.7
Austria	2.2	1.2
Azerbaijan	8	3.6
Bahamas, The	..	..
Bahrain	0	0
Bangladesh	6.8	5.2
Barbados	..	..
Belarus	3.9	4.1
Belgium	1.4	1.9
Belize	..	..
Benin	0	0
Bermuda	..	..
Bhutan	..	..
Bolivia	1.4	14.9
Bosnia and Herzegovina	20.3	3.1
Botswana	1.4	0.7
Brazil	6	4
Brunei Darussalam	0	1.3
Bulgaria	6.3	1.1
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	8
Cameroon	0	0
Canada	1.7	2.9
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	1.4	0.8
China	6.1	2.1
Colombia	3.1	5.7
Comoros	..	..
Congo, Dem. Rep.	37.8	0
Congo, Rep.	0	0
Costa Rica	0.8	2.8
Cote d'Ivoire	4.8	3.5
Croatia	6.3	4.4
Cuba	9.1	10.8
Curacao	0	0
Cyprus	0	1.7
Czech Republic	3.8	1.4
Denmark	4.5	4.4
Djibouti	..	..
Dominica	..	..
Dominican Republic	1.1	0.8
Ecuador	1.6	9.4
Egypt, Arab Rep.	0	3.5
El Salvador	0	-0.2
Equatorial Guinea	..	..
Eritrea	0	-1.8
Estonia	2.8	1.9
Eswatini	..	..
Ethiopia	12.4	7.9
Faroe Islands	..	..
Fiji	..	..
Finland	3.9	4.3
France	3.2	4.7
French Polynesia	..	..
Gabon	2.2	1.7
Gambia, The	..	..
Georgia	1.6	0.4
Germany	1.7	0.1
Ghana	4.7	1.8
Gibraltar	0	0
Greece	4.1	1.3
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2.5	0
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	0	0
Honduras	0	4.8
Hong Kong SAR, China	0	0
Hungary	4.4	3.5
Iceland	34.7	30.4
India	5.4	3
Indonesia	2.9	1.4
Iran, Islamic Rep.	7.1	2.1
Iraq	0	0
Ireland	2.2	1.6
Isle of Man	..	..
Israel	1.3	0.3
Italy	2.3	2.2
Jamaica	1.5	1
Japan	0.6	0.2
Jordan	7	2
Kazakhstan	11	1.3
Kenya	7.1	1.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	14.1	18.5
Korea, Rep.	3.4	1.5
Kosovo	..	0.5
Kuwait	0	0
Kyrgyz Republic	19.2	9.3
Lao PDR	..	..
Latvia	4.1	5.4
Lebanon	0	0
Lesotho	..	..
Liberia	..	..
Libya	0	0
Liechtenstein	..	..
Lithuania	4.7	2.5
Luxembourg	0.2	0.6
Macao SAR, China	..	..
North Macedonia	1.5	0.5
Madagascar	..	..
Malawi	..	..
Malaysia	0	1.4
Maldives	..	..
Mali	..	..
Malta	0	0.9
Marshall Islands	..	..
