Country	Total
Afghanistan	2.5
Albania	-1.2
Algeria	21.1
American Samoa	..
Andorra	..
Angola	-23.2
Antigua and Barbuda	..
Argentina	4.5
Armenia	0.4
Aruba	..
Australia	6.1
Austria	13.4
Azerbaijan	9.5
Bahamas, The	3.1
Bahrain	20.2
Bangladesh	24.5
Barbados	-8.2
Belarus	14.8
Belgium	12.1
Belize	-2
Benin	0.6
Bermuda	..
Bhutan	23.7
Bolivia	0.7
Bosnia and Herzegovina	..
Botswana	26.9
Brazil	5.3
Brunei Darussalam	34.8
Bulgaria	14.6
Burkina Faso	-6.4
Burundi	-19.7
Cabo Verde	15.1
Cambodia	9.3
Cameroon	1.4
Canada	6.8
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	2.7
China	19.9
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	0.2
Comoros	2.4
Congo, Dem. Rep.	-0.3
Congo, Rep.	-40
Costa Rica	16.4
Cote d'Ivoire	16.4
Croatia	14.3
Cuba	..
Curacao	..
Cyprus	7.5
Czech Republic	10.3
Denmark	19.2
Djibouti	16.8
Dominica	..
Dominican Republic	18.3
Ecuador	7.2
Egypt, Arab Rep.	1.8
El Salvador	4.6
Equatorial Guinea	..
Eritrea	..
Estonia	14.8
Eswatini	11.7
Ethiopia	4.4
Faroe Islands	..
Fiji	..
Finland	10.2
France	9.2
French Polynesia	..
Gabon	20.3
Gambia, The	-8.2
Georgia	7.7
Germany	14.3
Ghana	-6.6
Greece	-3.1
Greenland	..
Grenada	..
Guam	..
Guatemala	1
Guinea	-13
Guinea-Bissau	-7.6
Guyana	5
Haiti	16.6
Honduras	22.3
Hungary	12.3
Iceland	14.3
India	18.5
Indonesia	13.8
Iran, Islamic Rep.	..
Iraq	-2
Ireland	15.4
Isle of Man	..
Israel	15.6
Italy	6.1
Jamaica	17.7
Japan	7.5
Jordan	1.5
Kazakhstan	7.9
Kenya	-2.9
Kiribati	..
Korea, Dem. People’s Rep.	..
Korea, Rep.	20.1
Kosovo	..
Kuwait	16.7
Kyrgyz Republic	6.9
Lao PDR	-2.7
Latvia	4
Lebanon	-21.8
Lesotho	0.6
Liberia	-82.1
Libya	..
Liechtenstein	..
Lithuania	10.3
Luxembourg	13.1
Madagascar	15.4
Malawi	2.1
Malaysia	-6.2
Maldives	7.1
Mali	..
Malta	-0.2
Marshall Islands	..
Mauritania	..
Mauritius	1.5
Mexico	4
Micronesia, Fed. Sts.	7.2
Moldova	..
Monaco	7.1
Mongolia	..
Montenegro	-12.9
Morocco	..
Mozambique	21
Myanmar	4.3
Namibia	23.3
Nepal	4.3
Netherlands	35.7
New Caledonia	18.8
New Zealand	..
Nicaragua	12.8
Niger	15.6
Nigeria	4.6
North Macedonia	0.3
Northern Mariana Islands	..
Norway	17.4
Oman	-11.6
Pakistan	12.7
Palau	..
Panama	26.7
Papua New Guinea	..
Paraguay	9.2
Peru	7
Philippines	28.6
Poland	10.8
Portugal	4.8
Puerto Rico	..
Qatar	27
Romania	1.8
Russian Federation	8.4
Rwanda	-4.2
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	14.7
Senegal	10.2
Serbia	-1.7
Seychelles	..
Sierra Leone	-13
Singapore	35.7
Sint Maarten (Dutch part)	..
Slovak Republic	5.1
Slovenia	10.6
Solomon Islands	..
Somalia	..
South Africa	1
South Sudan	-5.9
Spain	10
Sri Lanka	20.7
St. Kitts and Nevis	..
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	-4.7
Sudan	4.5
Suriname	..
Sweden	18.7
Switzerland	16.8
Syrian Arab Republic	..
Tajikistan	13
Tanzania	16.6
Thailand	15.7
Timor-Leste	-22.2
Togo	-4.2
Tonga	..
Trinidad and Tobago	..
Tunisia	-6.9
Turkey	11.9
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	-13.9
Ukraine	-0.9
United Arab Emirates	..
United Kingdom	4.1
United States	5.9
Uruguay	6.7
Uzbekistan	27.5
Vanuatu	25.3
Venezuela, RB	7.4
Vietnam	13.2
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	10.2
Zimbabwe	-16.9
World	10.5
East Asia & Pacific	16.2
Europe & Central Asia	9.3
Latin America & Caribbean	6
Middle East & North Africa	11.5
North America	5.9
South Asia	18.5
Sub-Saharan Africa	-1.3
Low income	-0.5
Lower middle income	14.6
Upper middle income	13.2
High income	9.1
