Country	FH Free press report	RWB Press freedom index
Afghanistan	74	37.36
Albania	51	30.88
Algeria	62	36.54
Andorra	13	6.82
Angola	67	37.8
Antigua and Barbuda	38	
Argentina	50	25.67
Armenia	65	28.04
Australia	21	15.24
Austria	21	9.4
Azerbaijan	80	47.73
Bahamas	20	
Bahrain	84	62.75
Bangladesh	52	42.01
Barbados	19	
Belarus	93	48.35
Belgium	11	12.94
Belize	21	
Benin	34	28.33
Bhutan	58	28.42
Bolivia	47	32.8
Bosnia and Herzegovina	48	26.86
Botswana	40	22.91
Brazil	44	32.75
Brunei	75	35.45
Bulgaria	36	28.58
Burkina Faso	42	23.7
Burundi	72	38.02
Cambodia	63	41.81
Cameroon	68	34.78
Canada	19	12.69
Cape Verde	27	14.33
Central African Republic	62	26.61
Chad	75	34.87
Chile	31	26.24
China	85	73.07
Colombia	55	37.48
Comoros	48	24.52
Congo, Democratic Republic of the	83	41.66
Congo, Republic of the	55	28.2
Costa Rica	19	12.08
Côte d'Ivoire	70	29.77
Croatia	40	26.61
Cuba	91	71.64
Cyprus	22	13.83
Czech Republic	19	10.17
Denmark	12	07.08
Djibouti	74	67.4
Dominica	23	
Dominican Republic	41	28.34
East Timor	35	28.72
Ecuador	58	34.69
Egypt	57	48.66
El Salvador	40	22.86
Equatorial Guinea	91	67.2
Eritrea	94	84.83
Estonia	18	9.26
Ethiopia	81	39.57
Fiji	58	32.69
Finland	10	6.38
France	24	21.6
Gabon	70	28.69
Gambia	81	45.09
Georgia	52	30.09
Germany	17	10.24
Ghana	28	17.27
Greece	30	28.46
Greenland		
Grenada	24	
Guatemala	60	29.39
Guinea	62	28.49
GuineaBissau	57	28.94
Guyana	33	27.08
Haiti	50	24.09
Honduras	62	36.92
Hong Kong	33	26.16
Hungary	36	26.09
Iceland	14	8.49
India	37	41.22
Indonesia	49	41.05
Iran	92	73.4
Iraq	69	44.67
Ireland	16	10.6
Israel	30	32.97
Italy	33	26.11
Jamaica	18	9.88
Japan	22	25.17
Jordan	63	38.47
Kazakhstan	81	55.08
Kenya	52	27.8
Kiribati	27	
Kosovo	49	28.47
Kuwait	57	28.28
Kyrgyzstan	69	32.2
Laos	84	67.99
Latvia	27	22.89
Lebanon	51	30.15
Lesotho	49	28.36
Liberia	60	29.89
Libya	60	37.86
Liechtenstein	14	7.35
Lithuania	23	18.24
Luxembourg	12	6.68
Macedonia	54	34.27
Madagascar	63	28.62
Malawi	60	28.18
Malaysia	63	42.73
Maldives	51	31.1
Mali	24	30.03
Malta	22	23.3
Marshall Islands	17	
Mauritania	52	26.76
Mauritius	29	26.47
Mexico	62	45.3
Micronesia	21	
Moldova	54	26.01
Monaco	16	
Mongolia	37	29.93
Montenegro	35	32.97
Morocco	68	39.04
Mozambique	43	28.01
Myanmar	85	44.71
Namibia	32	12.5
Nauru	28	
Nepal	55	34.61
Netherlands	12	6.48
New Zealand	17	8.38
Nicaragua	49	28.31
Niger	49	23.08
Nigeria	50	34.11
North Korea	97	83.9
Northern Cyprus		29.34
Norway	10	6.52
Oman	71	41.51
Organisation of Eastern Caribbean States		19.72
Pakistan	63	51.31
Palau	16	
Palestinian territories	83	43.09
Panama	46	32.95
Papua New Guinea	27	22.97
Paraguay	60	28.78
Peru	44	31.87
Philippines	42	43.11
Poland	25	13.11
Portugal	17	16.75
Puerto Rico		
Qatar	67	32.86
Romania	41	23.05
Russia	80	43.42
Rwanda	82	55.46
Saint Kitts and Nevis	20	
Saint Lucia	15	
Saint Vincent and the Grenadines	17	
Samoa	29	23.84
San Marino	17	
São Tomé and Príncipe	29	
Saudi Arabia	84	56.88
Senegal	55	26.19
Serbia	35	26.59
Seychelles	56	29.19
Sierra Leone	49	26.35
Singapore	67	43.43
Slovakia	21	13.25
Slovenia	25	20.49
Solomon Islands	28	
Somalia	84	73.59
South Africa	34	24.56
South Korea	32	24.48
South Sudan	59	36.2
Spain	24	20.5
Sri Lanka	72	56.59
Sudan	78	70.06
Suriname	23	18.19
Swaziland	76	46.76
Sweden	10	9.23
Switzerland	12	9.94
Syria	89	78.53
Taiwan	25	23.82
Tajikistan	79	35.71
Tanzania	49	27.34
Thailand	60	38.6
Timor-Leste	35	28.72
Togo	69	28.45
Tonga	29	26.7
Trinidad and Tobago	25	23.12
Tunisia	51	39.93
Turkey	55	46.56
Turkmenistan	96	79.14
Tuvalu	26	
Uganda	57	31.69
Ukraine	59	36.79
United Arab Emirates	72	33.49
United Kingdom	21	16.89
United States	18	18.22
Uruguay	26	15.92
Uzbekistan	95	60.39
Vanuatu	26	
Venezuela	76	34.44
Vietnam	84	71.78
Western Sahara		
Yemen	83	69.22
Zambia	60	27.93
Zimbabwe	80	38.12
