Country	Male_2000	Male_2018	Female_2000	Female_2018
Afghanistan	9.6	16.4	11.2	24.5
Albania	17.8	22.7	7.1	15.7
Algeria	23.9	32.1	30.4	23.9
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	15.5	15.3	1.8	1.1
Antigua and Barbuda	..	..	..	..
Argentina	31.6	31.3	10.4	9.1
Armenia	22.7	23.8	8.6	8.9
Aruba	..	..	..	..
Australia	30.5	30.1	10.2	8.1
Austria	42.3	37.2	14.2	11.9
Azerbaijan	13.8	22.9	7.5	5.9
Bahamas, The	27.2	24.9	5.8	3
Bahrain	32.6	42	12.6	8.9
Bangladesh	11.3	22.3	8.6	17.3
Barbados	29.8	29	10.5	9.2
Belarus	38.3	42	23	19.1
Belgium	36.2	31.9	11.7	8.5
Belize	19.9	19.5	11.6	9.3
Benin	19.8	21.1	20.4	16.6
Bermuda	..	..	..	..
Bhutan	8.1	10.9	5	9.9
Bolivia	25	26.8	9.7	10.2
Bosnia and Herzegovina	36.9	41	18.5	17.9
Botswana	26.6	25.7	14.3	9.6
Brazil	27.2	27.1	13.4	10.8
Brunei Darussalam	29.5	21	9.9	9.1
Bulgaria	37.6	36.8	27.3	22.4
Burkina Faso	4.8	33.3	8.6	33.6
Burundi	3.7	2.7	0.6	0.4
Cabo Verde	23.2	30.4	11.9	11.1
Cambodia	7.3	29.6	9.7	26.9
Cameroon	11.8	18.1	7.5	11.2
Canada	33.3	29.6	11.4	8.5
Cayman Islands	..	..	..	..
Central African Republic	9.2	7.7	3.6	2.7
Chad	3	3.4	0.6	0.6
Channel Islands	42.3	33.8	18.7	10.8
Chile	29.1	31.1	12.3	10.2
China	20.8	30.3	24.6	25.5
Hong Kong SAR, China	27.5	19.3	10.4	4
Macao SAR, China	41.4	17	12.8	2.6
Colombia	19.2	23.7	17.4	14.9
Comoros	15.8	15.5	13.2	10
Congo, Dem. Rep.	12.9	15.6	3.5	3.5
Congo, Rep.	23.5	22.5	24.7	21.3
Costa Rica	25.3	24.9	16.4	11
Cote d'Ivoire	13	14.5	12.6	10.5
Croatia	36	37.8	20.4	15.2
Cuba	21.8	21.1	13.8	10.4
Curacao	..	..	..	..
Cyprus	30.9	25.4	13	6.4
Czech Republic	49.8	48.3	27.2	23.9
Denmark	35.5	27.5	13.5	8.7
Djibouti	14.6	16.4	8.1	7.4
Dominica	..	..	..	..
Dominican Republic	26.7	26.3	20.3	9.5
Ecuador	24.3	23.8	14.4	10.8
Egypt, Arab Rep.	24.5	32.4	6.9	6.9
El Salvador	24.2	25.4	24.3	17.8
Equatorial Guinea	18.5	24.9	6.2	11
Eritrea	14	11.8	6.4	4.6
Estonia	47.1	41.2	22.6	17.3
Eswatini	24.2	25.1	28.5	22.8
Ethiopia	5.1	10.3	8.6	9.7
Faroe Islands	..	..	..	..
Fiji	15.8	15.8	12.1	8.4
Finland	40.2	34.8	14.2	8.9
France	36.1	30.1	14	9.6
French Polynesia	22.5	22	8.7	5.1
Gabon	14.2	15.2	2.3	2.8
Gambia, The	25.2	24.1	5.3	4
Georgia	14.9	20.2	4	5.5
Germany	45.3	39	18.3	13.9
Ghana	13.5	19.5	14.4	22.9
Greece	28.5	20.5	12.1	7.7
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	19.6	21.9	3.4	3.5
Guatemala	21.5	19.6	24.3	17
Guinea	9.6	11	2	2.1
Guinea-Bissau	10.6	9.6	5.3	4.2
Guyana	28.3	31.6	15.1	8.3
Haiti	11.5	10.8	2.9	1.9
Honduras	20.8	21.4	25.1	18.3
Hungary	41.1	42.7	24.8	20
Iceland	32.6	25.2	10.3	7.5
India	17.9	26.9	11.7	17.3
Indonesia	18.9	25.7	15	17
Iran, Islamic Rep.	30	32.8	32.5	25.1
Iraq	22.8	23.7	15.6	11
Ireland	37.5	27.5	15.3	8.5
Isle of Man	..	..	..	..
Israel	32.5	25.5	13.3	7.9
Italy	38.3	35.5	20.5	13.1
Jamaica	24.3	24.2	6.2	6
Japan	38.1	32.5	21.6	14.1
Jordan	22.5	26.9	13.6	13.4
Kazakhstan	21.9	28.8	9.6	11.3
Kenya	16.3	12.2	6.5	2
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	24	19.7	9.5	7
Korea, Rep.	34.4	33.7	19.1	13.5
Kosovo	..	..	..	..
Kuwait	27.7	31.4	2.6	3.4
Kyrgyz Republic	13	29.8	7.2	13.6
Lao PDR	5.5	14.4	3.6	8.7
Latvia	34.4	34.5	18.6	13
Lebanon	26.7	25.2	20.5	14.5
Lesotho	44.6	50.4	36.3	31.5
Liberia	16.1	15.3	6	5
Libya	31.1	28	16.2	12
Liechtenstein	..	..	..	..
Lithuania	32.8	35.2	21	16.6
Luxembourg	30.2	18.2	6.4	4.1
Madagascar	9.8	9.3	8.1	8.5
Malawi	17	17.2	12.1	10.3
Malaysia	34	31.9	28.9	19.4
Maldives	17.9	17.7	36.3	21.5
Mali	9.3	9.4	7.9	5.3
Malta	36.3	25.3	24.6	8.9
Marshall Islands	..	..	..	..
Mauritania	12.1	14	9.3	9.9
Mauritius	37.2	31.3	43.5	16.1
Mexico	29.5	31.2	22.1	17.8
Micronesia, Fed. Sts.	..	..	..	..
Moldova	17.9	21.7	10.3	11.3
Monaco	..	..	..	..
Mongolia	16.6	25.3	11.2	12
Montenegro	31.2	27.5	15.8	7.8
Morocco	20.1	24.6	19.1	12.3
Mozambique	6.4	14.4	0.3	2.9
Myanmar	13.2	16.5	13.2	15.3
Namibia	16.9	24.8	6.7	7.6
Nepal	15.5	23.5	5.5	8.2
Netherlands	30.6	24.6	9.5	6.3
New Caledonia	34	32.5	8.7	7
New Zealand	32.5	29.3	12.3	9.3
Nicaragua	18.2	19.3	17.4	12.7
Niger	4.7	4.4	13.3	11
Nigeria	12	11.8	12.2	12.8
North Macedonia	36.6	34.4	31.1	26.7
Northern Mariana Islands	..	..	..	..
Norway	32.7	30.6	9.4	7
Oman	10.7	36.8	13.6	4.3
Pakistan	21.3	27.1	15.5	16.5
Palau	..	..	..	..
Panama	21.8	24.7	9.2	9.8
Papua New Guinea	5.8	10.1	1.5	2.6
Paraguay	20	25.5	10.7	8.2
Peru	18	21.2	9.4	8.7
Philippines	17.9	24.9	13.1	9.8
Poland	41	43.5	18.8	17.4
Portugal	44.2	33.9	22.5	15.4
Puerto Rico	27.5	21.7	14.7	8
Qatar	43.3	62	2.8	6.4
Romania	30.6	36.6	20.3	21.5
Russian Federation	35.8	37.3	22.3	15.7
Rwanda	4.4	15	0.6	2.8
Samoa	13.7	17.5	29.4	33.2
San Marino	..	..	..	..
Sao Tome and Principe	26.5	25.9	4.7	3.4
Saudi Arabia	22.7	28.2	1.5	2.2
Senegal	14.8	18.7	7.2	5.6
Serbia	32.6	33.4	19.5	18.7
Seychelles	..	..	..	..
Sierra Leone	9.9	11.3	2.3	1.4
Singapore	30.9	19.3	23	10.9
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	47.2	49.6	25.5	20.6
Slovenia	45.6	44.3	28.3	20.4
Solomon Islands	11.9	14.6	3.4	4.2
Somalia	5.5	4.2	2.4	1.6
South Africa	34.8	32.2	15	11.6
South Sudan	22.9	19.2	10.2	7.7
Spain	40.2	29.6	14.4	9.1
Sri Lanka	23.5	29.8	23.1	27.6
St. Kitts and Nevis	..	..	..	..
St. Lucia	24.4	26.9	14.9	7.2
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	28.4	29.3	8.4	6.8
Sudan	15	21	3.2	4.4
Suriname	32.4	32.7	9	7.2
Sweden	36.2	28.3	11.5	7.1
Switzerland	34.9	29.7	12.4	9.9
Syrian Arab Republic	30.1	29.9	7.4	7.8
Tajikistan	22.4	20.6	4.2	7.1
Tanzania	4.4	10	1.2	3.1
Thailand	20.5	25.2	17.3	20
Timor-Leste	8.8	11.1	6	7.5
Togo	12	12.5	15.6	13.2
Tonga	13.2	14.7	59.2	50.9
Trinidad and Tobago	37.1	37.6	13.5	12.6
Tunisia	30.5	32.6	35.7	33
Turkey	27.3	31.6	11.5	16.1
Turkmenistan	35.4	45	36.9	38.2
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	9.9	9.8	5.4	3.3
Ukraine	34.8	34.3	17.9	13.7
United Arab Emirates	36.1	40.5	13.7	5.5
United Kingdom	36.2	27.5	12	7.4
United States	34.2	29.4	12.7	8.8
Uruguay	28.5	27.7	14.1	8.7
Uzbekistan	26.8	37.5	15.8	16.8
Vanuatu	9.9	9.3	2.3	2.3
Venezuela, RB	28.8	23.6	12.8	8.3
Vietnam	14.6	30.7	10.1	22.6
Virgin Islands (U.S.)	38.5	32.3	10.7	7.7
West Bank and Gaza	38.3	35.4	11.4	9.5
Yemen, Rep.	16.6	10.1	6.8	10.9
Zambia	10.5	16.8	3.1	4.4
Zimbabwe	18.1	11.9	4.3	2
World	23.1	27.3	17.1	16.2
East Asia & Pacific	21.9	29.2	21.7	22
Europe & Central Asia	35.9	34.1	17.4	13.4
Latin America & Caribbean	26.2	26.6	14.9	12
Middle East & North Africa	25.8	30.3	16.4	12.9
North America	34.1	29.4	12.6	8.7
South Asia	17.6	26.3	11.5	16.9
Sub-Saharan Africa	12.2	14.1	7.7	8
Low income	11.7	13.7	6.3	7.2
Lower middle income	17.6	25.2	11.4	14.6
Upper middle income	23.1	29.5	21.9	20.9
High income	36.3	32.3	15.8	11.2
