Country	Annual Growth % (2010)	Annual Growth % (2019)
Afghanistan	26.9	5.7
Albania	12.5	4.3
Algeria	13.5	-0.8
American Samoa	..	..
Andorra	..	..
Angola	5.3	30.1
Antigua and Barbuda	0.2	-0.3
Argentina	33.1	30.1
Armenia	11.8	11.2
Aruba	-0.3	4.4
Australia	10.1	14
Austria	..	..
Azerbaijan	24.3	20
Bahamas, The	2.7	1.3
Bahrain	10.5	..
Bangladesh	21.1	11.9
Barbados	0.6	-0.2
Belarus	31.9	12.2
Belgium	..	..
Belize	-0.1	4.6
Benin	9.8	6
Bermuda	..	..
Bhutan	16.6	12.4
Bolivia	12.6	-1.5
Bosnia and Herzegovina	7.2	8.9
Botswana	10.7	8.3
Brazil	13.7	8.6
Brunei Darussalam	4.8	4.3
Bulgaria	6.3	9.9
Burkina Faso	18	8.5
Burundi	25	22.5
Cabo Verde	5.4	8.4
Cambodia	21.3	26.6
Cameroon	13.8	13.9
Canada	14.9	..
Cayman Islands	..	..
Central African Republic	16.1	14
Chad	25.3	0.6
Channel Islands	..	..
Chile	7.7	12.1
China	18.9	8.9
Hong Kong SAR, China	6.9	4.8
Macao SAR, China	14.5	5.5
Colombia	11.5	8.9
Comoros	19.4	5.9
Congo, Dem. Rep.	34.8	35.8
Congo, Rep.	32	-6
Costa Rica	0.9	2.2
Cote d'Ivoire	19.1	10.8
Croatia	12.6	3.9
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	1.9	6.4
Denmark	7.9	6.3
Djibouti	12.2	8.8
Dominica	2.6	-8
Dominican Republic	12.3	11.7
Ecuador	16.4	8.9
Egypt, Arab Rep.	12.4	13.3
El Salvador	0.1	11.1
Equatorial Guinea	33.5	-2.5
Eritrea	15.6	..
Estonia	..	..
Eswatini	7.9	1.7
Ethiopia	23.4	..
Faroe Islands	..	..
Fiji	3.5	2.7
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	20.7	33.2
Gambia, The	17.8	18.2
Georgia	30.1	16.7
Germany	..	..
Ghana	31.9	21.4
Greece	..	..
Greenland	..	..
Grenada	3.2	3.1
Guam	..	..
Guatemala	9.1	8.8
Guinea	85.3	23.6
Guinea-Bissau	19.5	0.3
Guyana	15.8	14.4
Haiti	26.1	17.6
Honduras	9.8	11.6
Hungary	4.3	8.2
Iceland	-10	6.6
India	17.8	10.5
Indonesia	15.4	6.5
Iran, Islamic Rep.	24.6	28
Iraq	31.2	2.7
Ireland	..	..
Isle of Man	..	..
Israel	3.1	4.4
Italy	..	..
Jamaica	5.6	9.5
Japan	1.8	2
Jordan	9.2	5.1
Kazakhstan	13.3	2.4
Kenya	22.4	5.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	6	7.9
Kosovo	13.5	12.1
Kuwait	3	3.8
Kyrgyz Republic	21.1	12.8
Lao PDR	39.1	..
Latvia	..	..
Lebanon	12.1	4.2
Lesotho	22.4	10.7
Liberia	28.4	3
Libya	-0.6	-0.1
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	11.8	7
Malawi	33.1	15.2
Malaysia	7.3	2.7
Maldives	14.6	9.6
Mali	16.3	9
Malta	..	..
Marshall Islands	..	..
Mauritania	11.1	9.9
Mauritius	6.9	8.5
Mexico	12.8	6.8
Micronesia, Fed. Sts.	-0.1	2.3
Moldova	13.6	8.1
Monaco	..	..
Mongolia	62.5	7
Montenegro	3.2	2.6
Morocco	4.2	3.8
Mozambique	24.6	12.2
Myanmar	42.5	15.5
Namibia	10.5	10.5
Nepal	9.6	13.8
Netherlands	..	..
New Caledonia	..	..
New Zealand	8.4	4.7
Nicaragua	21.7	6.2
Niger	22.6	15.1
Nigeria	6.7	6.2
North Macedonia	11.6	8.2
Northern Mariana Islands	..	..
Norway	6.5	4
Oman	11.3	4.2
Pakistan	14.6	11.7
Palau	..	..
Panama	14.6	..
Papua New Guinea	10.2	4.4
Paraguay	19	8.9
Peru	21.1	5.4
Philippines	10.9	9
Poland	8.8	8.3
Portugal	..	..
Puerto Rico	..	..
Qatar	23.1	2.5
Romania	6.8	10.9
Russian Federation	24.5	5.1
Rwanda	20.2	9
Samoa	6.4	4.6
San Marino	..	..
Sao Tome and Principe	21.2	-2.1
Saudi Arabia	5.2	0.2
Senegal	11.4	8.2
Serbia	12.9	8.4
Seychelles	13.7	13.9
Sierra Leone	24.2	14.3
Singapore	8.6	5
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	13.3	6.8
Somalia	..	..
South Africa	6.9	6.1
South Sudan	34.4	26.8
Spain	..	..
Sri Lanka	15.8	11.4
St. Kitts and Nevis	6.4	3.1
St. Lucia	1.8	2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2.7	9.6
Sudan	26.3	60.1
Suriname	10.7	9.1
Sweden	3.5	7.1
Switzerland	5.5	3.3
Syrian Arab Republic	13.5	..
Tajikistan	18.6	16.9
Tanzania	25.4	4.5
Thailand	10.9	3.6
Timor-Leste	9.9	-7.1
Togo	14.7	4.5
Tonga	6.3	-0.5
Trinidad and Tobago	1	2.9
Tunisia	11.8	9.2
Turkey	18.5	27.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	38.1	15.9
Ukraine	22.7	12.6
United Arab Emirates	6.3	8
United Kingdom	4	-1.3
United States	-2.8	8.4
Uruguay	22.1	15.9
Uzbekistan	..	13.8
Vanuatu	-6	6.9
Venezuela, RB	23.5	..
Vietnam	29.7	13.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	9.6	3.8
Yemen, Rep.	11.8	..
Zambia	29.9	12.5
Zimbabwe	61.1	249.8
