Country	Institution
Afghanistan	0,00
Albania	109.5
Algeria	0,00
American Samoa	..
Andorra	..
Angola	7.1
Antigua and Barbuda	..
Argentina	542.7
Armenia	75.8
Aruba	..
Australia	..
Austria	..
Azerbaijan	454.6
Bahamas, The	..
Bahrain	..
Bangladesh	461,00
Barbados	..
Belarus	14.3
Belgium	..
Belize	4.7
Benin	0
Bermuda	..
Bhutan	5.9
Bolivia	395,00
Bosnia and Herzegovina	-0.2
Botswana	-93.4
Brazil	610.3
Brunei Darussalam	..
Bulgaria	0,00
Burkina Faso	0
Burundi	0,00
Cabo Verde	33.9
Cambodia	0,00
Cameroon	460.7
Canada	..
Cayman Islands	..
Central African Republic	0,00
Chad	0
Channel Islands	..
Chile	..
China	742.3
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	475.3
Comoros	0,00
Congo, Dem. Rep.	-79.1
Congo, Rep.	32.8
Costa Rica	201.7
Cote d'Ivoire	79.4
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	0,00
Dominica	0,00
Dominican Republic	222.7
Ecuador	285.4
Egypt, Arab Rep.	539.2
El Salvador	254.1
Equatorial Guinea	..
Eritrea	0,00
Estonia	..
Ethiopia	-13.4
Faroe Islands	..
Fiji	9.6
Finland	..
France	..
French Polynesia	..
Gabon	-27.8
Gambia, The	0
Georgia	94
Germany	..
Ghana	0
Greece	..
Greenland	..
Grenada	0,00
Guam	..
Guatemala	-52.7
Guinea	0
Guinea-Bissau	0,00
Guyana	33.3
Haiti	0.5
Honduras	222.5
Hungary	..
Iceland	..
India	1401.4
Indonesia	1099.4
Iran, Islamic Rep.	0,00
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	53.5
Japan	..
Jordan	106.2
Kazakhstan	-63.7
Kenya	79.7
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	6.6
Kuwait	..
Kyrgyz Republic	2,00
Lao PDR	-0.4
Latvia	..
Lebanon	0,00
Lesotho	0
Liberia	0
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	10.7
Madagascar	0
Malawi	0,00
Malaysia	..
Maldives	0,00
Mali	0
Malta	..
Marshall Islands	..
Mauritania	-15.8
Mauritius	-7.6
Mexico	548.3
Micronesia, Fed. Sts.	..
Moldova	12,00
Monaco	..
Mongolia	216.4
Montenegro	-1.4
Morocco	27.5
Mozambique	0,00
Myanmar	0,00
Namibia	..
Nepal	0,00
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	90.7
Niger	0
Nigeria	100.4
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	253.9
Palau	..
Panama	..
Papua New Guinea	187.3
Paraguay	179,00
Peru	-69.6
Philippines	401.2
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-4.6
Russian Federation	0,00
Rwanda	59.2
Samoa	0,00
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	..
Senegal	90.6
Serbia	-166.5
Seychelles	..
Sierra Leone	0
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	0,00
Somalia	0,00
South Africa	-122,00
South Sudan	..
Spain	..
Sri Lanka	345.2
St. Kitts and Nevis	..
St. Lucia	0,00
St. Martin (French part)	..
St. Vincent and the Grenadines	0,00
Sudan	0,00
Suriname	..
Eswatini	22.5
Sweden	..
Switzerland	..
Syrian Arab Republic	0,00
Tajikistan	36.6
Tanzania	50.2
Thailand	58.7
Timor-Leste	14.7
Togo	0
Tonga	0
Trinidad and Tobago	..
Tunisia	36.2
Turkey	44.3
Turkmenistan	-5.8
Turks and Caicos Islands	..
Tuvalu	..
Uganda	36.7
Ukraine	-332.1
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	506.5
Vanuatu	0,00
Venezuela, RB	-65.8
Vietnam	75,00
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0,00
Zambia	54.5
Zimbabwe	0,00
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	2467.5
Sub-Saharan Africa	..
Low income	90.7
Lower middle income	6815.2
Upper middle income	4547.8
High income	..
