Country	Savings %
Afghanistan	0.1
Albania	1.3
Algeria	9.2
American Samoa	..
Andorra	..
Angola	20
Antigua and Barbuda	0
Argentina	1.5
Armenia	0
Aruba	0
Australia	1.3
Austria	0.1
Azerbaijan	18.5
Bahamas, The	0
Bahrain	3.8
Bangladesh	0.5
Barbados	0
Belarus	0.4
Belgium	0
Belize	0.6
Benin	0.1
Bermuda	..
Bhutan	0
Bolivia	2.6
Bosnia and Herzegovina	0
Botswana	0.3
Brazil	1.7
Brunei Darussalam	16
Bulgaria	0.1
Burkina Faso	0
Burundi	0
Cabo Verde	0
Cambodia	0
Cameroon	2.9
Canada	0.5
Cayman Islands	0
Central African Republic	0
Chad	11.9
Channel Islands	..
Chile	0
China	0.7
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	4.3
Comoros	0
Congo, Dem. Rep.	0.4
Congo, Rep.	46.9
Costa Rica	0
Cote d'Ivoire	1.8
Croatia	0.4
Cuba	0.2
Curacao	0
Cyprus	0
Czech Republic	0.1
Denmark	0.5
Djibouti	0
Dominica	0
Dominican Republic	0
Ecuador	5.7
Egypt, Arab Rep.	4.8
El Salvador	0
Equatorial Guinea	31.9
Eritrea	..
Estonia	0.3
Eswatini	0
Ethiopia	0
Faroe Islands	..
Fiji	0
Finland	0
France	0
French Polynesia	..
Gabon	13.6
Gambia, The	0
Georgia	0.1
Germany	0
Ghana	4.2
Greece	0
Greenland	..
Grenada	0
Guam	..
Guatemala	0.1
Guinea	0
Guinea-Bissau	0
Guyana	0
Haiti	0
Honduras	0
Hungary	0.3
Iceland	0
India	0.6
Indonesia	2.1
Iran, Islamic Rep.	4.3
Iraq	13.4
Ireland	0.1
Isle of Man	..
Israel	0.1
Italy	0.1
Jamaica	0
Japan	0
Jordan	0
Kazakhstan	9.8
Kenya	0
Kiribati	0
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0
Kuwait	9.4
Kyrgyz Republic	0
Lao PDR	0
Latvia	0
Lebanon	0
Lesotho	0
Liberia	0
Libya	9.1
Liechtenstein	..
Lithuania	0
Luxembourg	0
Madagascar	0.1
Malawi	0
Malaysia	4.2
Maldives	0
Mali	0
Malta	0
Marshall Islands	..
Mauritania	0
Mauritius	0
Mexico	2.2
Micronesia, Fed. Sts.	0
Moldova	0
Monaco	..
Mongolia	5.8
Montenegro	0
Morocco	0
Mozambique	0.7
Myanmar	1.4
Namibia	0
Nepal	0
Netherlands	0.3
New Caledonia	..
New Zealand	0.5
Nicaragua	0
Niger	1
Nigeria	4.6
North Macedonia	0
Northern Mariana Islands	..
Norway	5.9
Oman	22.4
Pakistan	0.9
Palau	..
Panama	0
Papua New Guinea	7.5
Paraguay	0
Peru	0.3
Philippines	0.2
Poland	0.1
Portugal	0
Puerto Rico	0
Qatar	8.7
Romania	0.6
Russian Federation	8.1
Rwanda	0
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	9.3
Senegal	0
Serbia	0.1
Seychelles	0
Sierra Leone	0
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0
Slovenia	0
Solomon Islands	0
Somalia	0
South Africa	1.3
South Sudan	..
Spain	0
Sri Lanka	0
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	0.8
Suriname	5.8
Sweden	0
Switzerland	0
Syrian Arab Republic	..
Tajikistan	0.1
Tanzania	0.3
Thailand	1.6
Timor-Leste	18.6
Togo	0
Tonga	0
Trinidad and Tobago	9.2
Tunisia	1.9
Turkey	0.1
Turkmenistan	8.1
Turks and Caicos Islands	0
Tuvalu	0
Uganda	0
Ukraine	0.5
United Arab Emirates	5.3
United Kingdom	0.6
United States	0.3
Uruguay	0
Uzbekistan	7.2
Vanuatu	0
Venezuela, RB	..
Vietnam	1.1
Virgin Islands (U.S.)	..
West Bank and Gaza	0
Yemen, Rep.	..
Zambia	0
Zimbabwe	0.1
World	1
East Asia & Pacific	0.7
Europe & Central Asia	1
Latin America & Caribbean	1.8
Middle East & North Africa	6.8
North America	0.3
South Asia	0.6
Sub-Saharan Africa	3.5
Low income	0.6
Lower middle income	1.6
Upper middle income	1.8
High income	0.5
