Country	Hectares (2000)	Hectares (2016)
Afghanistan	0.37	0.22
Albania	0.19	0.22
Algeria	0.25	0.18
American Samoa	0.04	0.05
Andorra	0.02	0.01
Angola	0.18	0.17
Antigua and Barbuda	0.05	0.04
Argentina	0.75	0.9
Armenia	0.15	0.15
Aruba	0.02	0.02
Australia	2.47	1.9
Austria	0.17	0.15
Azerbaijan	0.23	0.2
Bahamas, The	0.02	0.02
Bahrain	0	0
Bangladesh	0.07	0.05
Barbados	0.06	0.02
Belarus	0.61	0.6
Belgium	0.08	0.07
Belize	0.26	0.21
Benin	0.35	0.25
Bermuda	0.01	0
Bhutan	0.18	0.14
Bolivia	0.37	0.4
Bosnia and Herzegovina	0.27	0.3
Botswana	0.21	0.12
Brazil	0.33	0.39
Brunei Darussalam	0.01	0.01
Bulgaria	0.43	0.49
Burkina Faso	0.32	0.32
Burundi	0.15	0.11
Cabo Verde	0.1	0.09
Cambodia	0.3	0.24
Cameroon	0.38	0.26
Canada	1.49	1.21
Cayman Islands	0	0
Central African Republic	0.53	0.4
Chad	0.43	0.34
Channel Islands	0.03	0.02
Chile	0.11	0.07
China	0.09	0.09
Hong Kong SAR, China	0	0
Macao SAR, China	..	..
Colombia	0.07	0.04
Comoros	0.12	0.08
Congo, Dem. Rep.	0.14	0.09
Congo, Rep.	0.16	0.11
Costa Rica	0.05	0.05
Cote d'Ivoire	0.17	0.12
Croatia	0.19	0.21
Cuba	0.31	0.26
Curacao	..	..
Cyprus	0.1	0.07
Czech Republic	0.32	0.24
Denmark	0.43	0.41
Djibouti	0	0
Dominica	0.07	0.08
Dominican Republic	0.11	0.08
Ecuador	0.13	0.06
Egypt, Arab Rep.	0.04	0.03
El Salvador	0.11	0.12
Equatorial Guinea	0.21	0.1
Eritrea	0.24	..
Estonia	0.6	0.53
Eswatini	0.18	0.16
Ethiopia	0.15	0.15
Faroe Islands	0.06	0.06
Fiji	0.21	0.19
Finland	0.42	0.41
France	0.3	0.28
French Polynesia	0.01	0.01
Gabon	0.26	0.16
Gambia, The	0.21	0.2
Georgia	0.19	0.09
Germany	0.14	0.14
Ghana	0.2	0.17
Greece	0.25	0.2
Greenland	0.01	0.02
Grenada	0.01	0.03
Guam	0.01	0.01
Guatemala	0.12	0.05
Guinea	0.26	0.26
Guinea-Bissau	0.25	0.17
Guyana	0.6	0.54
Haiti	0.11	0.1
Honduras	0.16	0.11
Hungary	0.45	0.44
Iceland	0.46	0.36
India	0.15	0.12
Indonesia	0.1	0.09
Iran, Islamic Rep.	0.23	0.18
Iraq	0.17	0.14
Ireland	0.28	0.09
Isle of Man	0.24	0.28
Israel	0.05	0.03
Italy	0.15	0.11
Jamaica	0.05	0.04
Japan	0.04	0.03
Jordan	0.04	0.02
Kazakhstan	2.3	1.65
Kenya	0.15	0.12
Kiribati	0.02	0.02
Korea, Dem. Peopleâ€™s Rep.	0.1	0.09
Korea, Rep.	0.04	0.03
Kosovo	..	..
Kuwait	0	0
Kyrgyz Republic	0.28	0.21
Lao PDR	0.17	0.22
Latvia	0.41	0.66
Lebanon	0.03	0.02
Lesotho	0.16	0.17
Liberia	0.14	0.11
Libya	0.34	0.26
Liechtenstein	0.12	0.06
Lithuania	0.82	0.75
Luxembourg	0.14	0.11
North Macedonia	0.27	0.2
Madagascar	0.18	0.14
Malawi	0.25	0.22
Malaysia	0.04	0.03
Maldives	0.01	0.01
Mali	0.41	0.36
Malta	0.02	0.02
Marshall Islands	0.02	0.03
Mauritania	0.19	0.11
Mauritius	0.08	0.06
Mexico	0.23	0.18
Micronesia, Fed. Sts.	0.02	0.02
Moldova	0.62	0.65
Monaco	..	..
Mongolia	0.49	0.19
Montenegro	..	0.01
Morocco	0.3	0.23
Mozambique	0.22	0.2
Myanmar	0.21	0.21
Namibia	0.45	0.34
Nepal	0.1	0.08
Netherlands	0.06	0.06
New Caledonia	0.03	0.02
New Zealand	0.39	0.12
Nicaragua	0.38	0.24
Niger	1.23	0.81
Nigeria	0.29	0.18
Northern Mariana Islands	0.02	0.02
Norway	0.2	0.15
Oman	0.01	0.01
Pakistan	0.22	0.15
Palau	0.05	0.06
Panama	0.18	0.14
Papua New Guinea	0.04	0.04
Paraguay	0.57	0.71
Peru	0.17	0.11
Philippines	0.06	0.05
Poland	0.37	0.28
Portugal	0.17	0.09
Puerto Rico	0.02	0.02
Qatar	0.02	0.01
Romania	0.42	0.44
Russian Federation	0.85	0.85
Rwanda	0.11	0.1
Samoa	0.08	0.04
San Marino	0.04	0.03
Sao Tome and Principe	0.04	0.04
Saudi Arabia	0.17	0.11
Senegal	0.34	0.21
Serbia	..	0.37
Seychelles	0.01	0
