Country	1990	2016
Afghanistan	12	11
Albania	..	..
Algeria	7	6
American Samoa	..	..
Andorra	..	..
Angola	12	25
Antigua and Barbuda	..	..
Argentina	44	43
Armenia	33	37
Aruba	..	..
Australia	61	61
Austria	20	21
Azerbaijan	24	23
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	8	14
Barbados	..	..
Belarus	16	21
Belgium	26	27
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	32	41
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	36	41
Brunei Darussalam	..	..
Bulgaria	14	18
Burkina Faso	6	12
Burundi	..	..
Cabo Verde	..	..
Cambodia	7	12
Cameroon	15	27
Canada	40	46
Cayman Islands	..	..
Central African Republic	..	..
Chad	8	8
Channel Islands	..	..
Chile	35	36
China	10	27
Hong Kong SAR, China	100	100
Macao SAR, China	..	..
Colombia	33	43
Comoros	..	..
Congo, Dem. Rep.	17	24
Congo, Rep.	45	62
Costa Rica	24	27
Cote d'Ivoire	18	20
Croatia	..	..
Cuba	20	19
Curacao	..	..
Cyprus	..	..
Czech Republic	12	12
Denmark	20	22
Djibouti	..	..
Dominica	..	..
Dominican Republic	21	29
Ecuador	26	28
Egypt, Arab Rep.	23	26
El Salvador	18	17
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Eswatini	..	..
Ethiopia	4	4
Faroe Islands	..	..
Fiji	..	..
Finland	17	23
France	22	23
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	25	29
Germany	9	10
Ghana	13	18
Greece	30	29
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	16	18
Guinea	14	15
Guinea-Bissau	..	..
Guyana	..	..
Haiti	16	23
Honduras	12	14
Hungary	19	18
Iceland	..	..
India	11	15
Indonesia	12	13
Iran, Islamic Rep.	23	26
Iraq	30	25
Ireland	26	25
Isle of Man	..	..
Israel	52	58
Italy	19	19
Jamaica	..	..
Japan	58	64
Jordan	24	20
Kazakhstan	8	15
Kenya	8	11
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	12	12
Korea, Rep.	52	50
Kosovo	..	..
Kuwait	66	68
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	..	..
Lebanon	46	34
Lesotho	..	..
Liberia	50	29
Libya	19	18
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	..	..
Madagascar	8	11
Malawi	3	5
Malaysia	12	23
Maldives	..	..
Mali	9	13
Malta	..	..
Marshall Islands	..	..
Mauritania	21	27
Mauritius	..	..
Mexico	38	41
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	26	46
Montenegro	..	..
Morocco	20	22
Mozambique	8	9
Myanmar	9	12
Namibia	..	..
Nepal	2	5
Netherlands	13	12
New Caledonia	..	..
New Zealand	26	32
Nicaragua	18	16
Niger	5	5
Nigeria	13	16
Northern Mariana Islands	..	..
Norway	16	19
Oman	19	29
Pakistan	17	20
Palau	..	..
Panama	34	42
Papua New Guinea	..	..
Paraguay	26	45
Peru	26	32
Philippines	14	14
Poland	4	5
Portugal	37	41
Puerto Rico	66	72
Qatar	..	..
Romania	9	9
Russian Federation	19	23
Rwanda	3	8
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	36	46
Senegal	18	19
Serbia	15	19
Seychelles	..	..
Sierra Leone	12	15
Singapore	99	100
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	..	..
Somalia	14	13
South Africa	24	34
South Sudan	..	..
Spain	22	25
Sri Lanka	..	..
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	12	13
Suriname	..	..
Sweden	12	15
Switzerland	15	16
Syrian Arab Republic	31	29
Tajikistan	..	..
Tanzania	7	12
Thailand	11	19
Timor-Leste	..	..
Togo	16	22
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	18	20
Turkey	26	37
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	4	7
Ukraine	10	12
United Arab Emirates	56	55
United Kingdom	26	27
United States	42	46
Uruguay	50	50
Uzbekistan	10	8
Vanuatu	..	..
Venezuela, RB	34	31
Vietnam	8	16
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	6	10
Zambia	9	14
Zimbabwe	10	11
World	18	24
East Asia & Pacific	..	..
Europe & Central Asia	18	20
Latin America & Caribbean	34	38
Middle East & North Africa	23	26
North America	42	46
South Asia	11	15
Sub-Saharan Africa	12	15
Low income	10	12
Lower middle income	12	16
Upper middle income	17	28
High income	..	..
