Country	Debt
Afghanistan	-5
Albania	-130
Algeria	-8
American Samoa	..
Andorra	..
Angola	-525
Antigua and Barbuda	..
Argentina	5117
Armenia	381
Aruba	..
Australia	..
Austria	..
Azerbaijan	720
Bahamas, The	..
Bahrain	..
Bangladesh	1483
Barbados	..
Belarus	2613
Belgium	..
Belize	-12
Benin	805
Bermuda	..
Bhutan	-5
Bolivia	-106
Bosnia and Herzegovina	516
Botswana	-9
Brazil	29749
Brunei Darussalam	..
Bulgaria	848
Burkina Faso	1
Burundi	0
Cabo Verde	0
Cambodia	805
Cameroon	-41
Canada	..
Cayman Islands	..
Central African Republic	0
Chad	0
Channel Islands	..
Chile	..
China	2006
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	4831
Comoros	0
Congo, Dem. Rep.	17
Congo, Rep.	0
Costa Rica	1139
Cote d'Ivoire	1
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	-94
Dominica	-1
Dominican Republic	205
Ecuador	1563
Egypt, Arab Rep.	4817
El Salvador	220
Equatorial Guinea	..
Eritrea	0
Estonia	..
Ethiopia	252
Faroe Islands	..
Fiji	0
Finland	..
France	..
French Polynesia	..
Gabon	-211
Gambia, The	-2
Georgia	221
Germany	..
Ghana	-320
Greece	..
Greenland	..
Grenada	0
Guam	..
Guatemala	-548
Guinea	0
Guinea-Bissau	0
Guyana	-51
Haiti	-3
Honduras	218
Hungary	..
Iceland	..
India	11006
Indonesia	11319
Iran, Islamic Rep.	-45
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	987
Japan	..
Jordan	600
Kazakhstan	1299
Kenya	161
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	11
Kuwait	..
Kyrgyz Republic	-86
Lao PDR	140
Latvia	..
Lebanon	5164
Lesotho	0
Liberia	-8
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	-137
Madagascar	106
Malawi	0
Malaysia	..
Maldives	30
Mali	0
Malta	..
Marshall Islands	..
Mauritania	0
Mauritius	1077
Mexico	-2598
Micronesia, Fed. Sts.	..
Moldova	127
Monaco	..
Mongolia	757
Montenegro	191
Morocco	757
Mozambique	1380
Myanmar	-42
Namibia	..
Nepal	-8
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	-140
Niger	0
Nigeria	1144
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	1596
Palau	..
Panama	..
Papua New Guinea	65
Paraguay	-955
Peru	455
Philippines	-185
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-1531
Russian Federation	-55764
Rwanda	229
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	..
Senegal	388
Serbia	705
Seychelles	..
Sierra Leone	0
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	6
Somalia	0
South Africa	1769
South Sudan	..
Spain	..
Sri Lanka	-714
St. Kitts and Nevis	..
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	-3
Sudan	0
Suriname	..
Eswatini	-1
Sweden	..
Switzerland	..
Syrian Arab Republic	0
Tajikistan	81
Tanzania	-24
Thailand	14686
Timor-Leste	0
Togo	-5
Tonga	0
Trinidad and Tobago	..
Tunisia	-208
Turkey	-2009
Turkmenistan	254
Turks and Caicos Islands	..
Tuvalu	..
Uganda	-197
Ukraine	1492
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	-51
Vanuatu	0
Venezuela, RB	3226
Vietnam	4256
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0
Zambia	1495
Zimbabwe	496
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	13382
Sub-Saharan Africa	..
Low income	2621
Lower middle income	40941
Upper middle income	15632
High income	..
