Country	Manufactoring %
Afghanistan	..
Albania	27
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	8
Armenia	..
Aruba	..
Australia	5
Austria	4
Azerbaijan	3
Bahamas, The	2
Bahrain	3
Bangladesh	40
Barbados	..
Belarus	..
Belgium	5
Belize	..
Benin	..
Bermuda	2
Bhutan	..
Bolivia	5
Bosnia and Herzegovina	..
Botswana	5
Brazil	7
Brunei Darussalam	..
Bulgaria	14
Burkina Faso	..
Burundi	..
Cambodia	87
Cameroon	19
Canada	4
Cabo Verde	..
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	11
Hong Kong SAR, China	20
Macao SAR, China	79
Colombia	11
Comoros	..
Congo, Dem. Rep.	3
Congo, Rep.	3
Costa Rica	6
Cote d'Ivoire	..
Croatia	5
Cuba	..
Curacao	..
Cyprus	7
Czech Republic	6
Denmark	2
Djibouti	..
Dominica	..
Dominican Republic	..
Ecuador	5
Egypt, Arab Rep.	16
El Salvador	28
Equatorial Guinea	..
Eritrea	12
Estonia	15
Eswatini	..
Ethiopia	12
Faroe Islands	..
Fiji	20
Finland	2
France	4
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	1
Germany	2
Ghana	4
Greece	12
Greenland	..
Grenada	..
Guam	..
Guatemala	..
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	..
Hungary	5
Iceland	3
India	13
Indonesia	17
Iran, Islamic Rep.	6
Iraq	..
Ireland	1
Isle of Man	..
Israel	5
Italy	12
Jamaica	..
Japan	3
Jordan	7
Kazakhstan	..
Kenya	8
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	8
Kosovo	..
Kuwait	4
Kyrgyz Republic	2
Lao PDR	20
Latvia	11
Lebanon	10
Lesotho	..
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	18
Luxembourg	9
Madagascar	35
Malawi	5
Malaysia	4
Maldives	..
Mali	..
Malta	10
Marshall Islands	..
Mauritania	..
Mauritius	52
Mexico	4
Micronesia, Fed. Sts.	..
Moldova	9
Monaco	..
Mongolia	40
Montenegro	..
Morocco	18
Mozambique	..
Myanmar	..
Namibia	..
Nepal	19
Netherlands	2
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	9
Nigeria	..
North Macedonia	15
Northern Mariana Islands	..
Norway	1
Oman	5
Pakistan	33
Palau	..
Panama	5
Papua New Guinea	1
Paraguay	6
Peru	16
Philippines	7
Poland	6
Portugal	18
Puerto Rico	3
Qatar	8
Romania	12
Russian Federation	2
Rwanda	2
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	2
Senegal	4
Serbia	6
Seychelles	..
Sierra Leone	..
Singapore	1
Sint Maarten (Dutch part)	..
Slovak Republic	4
Slovenia	8
Solomon Islands	..
Somalia	..
South Africa	5
South Sudan	..
Spain	7
Sri Lanka	31
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	4
Suriname	..
Sweden	1
Switzerland	2
Syrian Arab Republic	108
Tajikistan	..
Tanzania	0
Thailand	12
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	1
Tunisia	35
Turkey	16
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	4
Ukraine	..
United Arab Emirates	..
United Kingdom	4
United States	3
Uruguay	9
Uzbekistan	..
Vanuatu	..
Venezuela, RB	2
Vietnam	21
Virgin Islands (U.S.)	..
West Bank and Gaza	21
Yemen, Rep.	4
Zambia	..
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
