Country	Overall mean 	Female mean 	Male mean 
Nauru	32.5	32.8	32.1
Tonga	31.9	33.5	30.4
Samoa	31.7	33.5	29.9
Kuwait	30	30.8	29.5
Saint Kitts and Nevis	29.7	30.9	28.4
Saint Lucia	29.6	30.2	28.9
Kiribati	29.6	30.5	28.7
Palau	29.4	29.5	29.4
Federated States of Micronesia	29.4	31	27.8
Tuvalu	29.3	29.9	28.7
Qatar	29.2	30.1	29
Marshall Islands	29.2	30	28.4
Egypt	29.2	30.7	27.6
United Arab Emirates	29	29.7	28.6
Jordan	28.9	29.7	28.2
Belize	28.9	30.2	27.6
Bahamas	28.8	29.6	28
Trinidad and Tobago	28.7	29.4	27.9
Barbados	28.7	30	27.4
United States	28.5	28.5	28.5
Saudi Arabia	28.5	28.7	28.03
Libya	28.4	29.6	27.02
Bahrain	28.2	28.6	28
Mexico	28.1	28.7	27.5
Antigua and Barbuda	28.1	29.5	27.3
Syria	28.1	29	27.2
Iraq	28	28.8	27.02
New Zealand	27.9	27.8	28
Lebanon	27.8	27.6	28
Chile	27.8	28	27.6
Turkey	27.8	28.5	27.1
Argentina	27.7	27.5	27.8
Ireland	27.5	27.1	27.9
Andorra	27.5	27.1	27.8
Kazakhstan	27.4	27.5	27.4
El Salvador	27.4	28	26.8
Azerbaijan	27.4	28.1	26.6
Suriname	27.4	28.2	26.5
Jamaica	27.4	29.2	25.5
United Kingdom	27.3	27.1	27.5
Greece	27.3	27.2	27.4
Saint Vincent and the Grenadines	27.3	28.1	26.5
South Africa	27.3	29.1	25.4
Australia	27.2	26.8	27.6
Canada	27.2	26.8	27.6
Malta	27.2	26.8	27.5
Venezuela	27.2	27.1	27.4
Georgia	27.2	27.3	27.02
Fiji	27.2	28.4	26.01
Panama	27.1	27.7	26.4
Cyprus	27	26.3	27.6
Ecuador	27	27.7	26.4
Grenada	27	28.7	25.2
Dominica	27	29	25.1
Czech Republic	26.9	26	27.8
Slovenia	26.9	26.3	27.5
Oman	26.9	27.1	26.8
Costa Rica	26.9	27.1	26.7
Nicaragua	26.9	27.8	26
Uruguay	26.8	26.9	26.7
Tunisia	26.8	27.5	26
Seychelles	26.8	28	25.6
Spain	26.7	26	27.4
Moldova	26.7	27.1	26.3
Dominican Republic	26.7	27.4	26
Armenia	26.7	27.4	25.9
Lithuania	26.6	26	27.3
Belarus	26.6	26.2	27.1
Swaziland	26.5	28.9	24.1
Luxembourg	26.5	25.5	27.6
Slovakia	26.5	25.7	27.4
Russia	26.5	26.8	26.1
Guatemala	26.5	27.1	25.8
Poland	26.4	25.7	27
Turkmenistan	26.4	26.4	26.4
Honduras	26.4	27.3	25.05
Guyana	26.3	27.6	25
Hungary	26.3	25.2	27.5
Germany	26.3	25.6	27
Israel	26.3	26.2	26.3
Peru	26.3	26.9	25.7
Iran	26.2	27.2	25.3
Portugal	26.2	25.7	26.7
Brunei	26.2	26.6	25.8
Cuba	26.2	26.7	25.6
Kyrgyzstan	26.2	26.8	25.6
Vanuatu	26.2	26.8	25.6
Algeria	26.2	27	25.5
Albania	26.1	25.6	26.6
Bosnia and Herzegovina	26.1	25.7	26.5
Uzbekistan	26.1	26.3	25.9
Mongolia	26	26.4	25.5
Norway	26	25.2	26.9
Italy	26	25.2	26.8
Bulgaria	26	25.3	26.07
Montenegro	26	25.5	26.5
Ukraine	26	25.8	26.4
Bolivia	25.9	27.3	24.6
Colombia	25.9	26.5	25.4
Brazil	25.9	26	25.9
Iceland	25.9	25.1	26.7
Finland	25.9	25.3	26.5
Yemen	25.8	26.5	25.2
Paraguay	25.8	26	25.6
Latvia	25.8	25.1	26.8
Sweden	25.8	24.9	26.7
Serbia	25.8	25.2	26.4
Macedonia	25.8	25.3	26.04
Mauritius	25.6	26.2	25
Equatorial Guinea	25.6	26.1	25
Morocco	25.6	25.9	25.02
Gabon	25.5	26.4	24.6
Solomon Islands	25.5	26.4	24.5
Belgium	25.5	24.7	26.2
Estonia	25.5	24.3	27
Croatia	25.5	24.6	26.5
Tajikistan	25.4	25.3	25.5
Netherlands	25.4	25	25.9
Austria	25.4	24.4	26.5
Papua New Guinea	25.3	25.6	25
Malaysia	25.3	25.6	25
Romania	25.3	24.9	25.7
Denmark	25.3	24.5	26
France	25.3	24.6	26.1
Switzerland	25.3	23.8	26.7
South Sudan	25.2	26.7	23.7
Sudan	25.2	26.7	23.7
Maldives	25.1	25.9	24.2
Lesotho	24.9	27.1	22.7
Mauritania	24.8	26.4	23.2
Sao Tome and Principe	24.8	25.6	23.9
Botswana	24.7	26.6	22.9
Cabo Verde	24.7	25.4	23.9
Cameroon	24.4	25.1	23.8
Namibia	24.3	25.6	22.9
Ghana	24.2	25.1	23.4
Comoros	24.1	25.1	23
Thailand	24.1	24.6	23.6
Angola	24.1	24.6	23.5
Haiti	24.1	24	24.2
Gambia	24	25.1	23
Liberia	24	24.9	23.2
China	23.9	23.6	24.2
South Korea	23.9	23.4	24.3
Pakistan	23.8	24.4	23.3
Bhutan	23.8	24.2	23.4
Singapore	23.7	23.2	24.3
Côte d'Ivoire	23.6	24.1	23.2
Zimbabwe	23.4	25	21.8
Benin	23.4	24.3	22.6
Nigeria	23.4	24	22.8
Republic of the Congo	23.3	24.1	22.5
Djibouti	23.3	23.9	22.7
Togo	23.2	24	22.4
Philippines	23.2	23.4	22.9
Guinea-Bissau	23.1	23.9	22.2
Tanzania	23.1	24	22.2
Senegal	23	24.1	21.8
Kenya	23	24	21.9
Sri Lanka	23	23.5	22.5
Indonesia	22.9	23.4	22.4
Sierra Leone	22.8	23.6	22
Malawi	22.8	23.3	22.3
Mali	22.8	23	22.6
Guinea	22.7	23.3	22.1
Zambia	22.6	23.8	21.5
Myanmar	22.6	23.2	22.1
Laos	22.6	22.7	22.4
Japan	22.6	21.7	23.6
Central African Republic	22.4	23.2	21.6
Mozambique	22.3	23	21.6
Chad	22.3	22.5	22.1
Democratic Republic of the Congo	22.2	22.5	21.8
Nepal	22.2	22	22.4
Burkina Faso	22.1	22	22.1
Uganda	22	23	21
Rwanda	22	22.7	21.3
Somalia	21.9	22.5	21.2
India	21.9	22.1	21.8
Cambodia	21.9	22	21.9
North Korea	21.8	21.8	21.9
Niger	21.7	22.2	21.3
Vietnam	21.6	21.6	21.5
Afghanistan	21.6	21.8	21.5
East Timor	21.2	21	21.5
Madagascar	21.1	21.2	20.9
Bangladesh	21	21.2	20.7
Burundi	20.9	21.3	20.4
Ethiopia	20.6	21	20.2
Eritrea	20.5	21	20.1
