Country	GNI	Exports
Afghanistan	9.2	..
Albania	31.1	89.3
Algeria	0.8	3.2
American Samoa	..	..
Andorra	..	..
Angola	37.9	91.6
Antigua and Barbuda	..	..
Argentina	34.2	206.9
Armenia	43.9	98.6
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	30.3	49.7
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	9.6	62
Barbados	..	..
Belarus	39.6	52.9
Belgium	..	..
Belize	72.2	119.4
Benin	20	74.6
Bermuda	..	..
Bhutan	85.9	246.1
Bolivia	23.8	88.9
Bosnia and Herzegovina	25.3	57
Botswana	7.2	17.2
Brazil	10.4	63.9
Brunei Darussalam	..	..
Bulgaria	18.6	28
Burkina Faso	15	..
Burundi	10.7	..
Cabo Verde	79.5	154.5
Cambodia	23.8	28.7
Cameroon	20.7	..
Canada	..	..
Cayman Islands	..	..
Central African Republic	18.3	..
Chad	25.3	..
Channel Islands	..	..
Chile	..	..
China	1.5	7
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	27.7	147.5
Comoros	8.2	..
Congo, Dem. Rep.	8.7	24.4
Congo, Rep.	36.7	..
Costa Rica	25.7	69
Cote d'Ivoire	28	..
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	233.6	..
Dominica	51.7	151.4
Dominican Republic	32.1	120
Ecuador	36.1	153
Egypt, Arab Rep.	30.2	140.7
El Salvador	48.8	154.5
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	26.1	..
Faroe Islands	..	..
Fiji	13.5	25.3
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	39.2	..
Gambia, The	26.8	..
Georgia	39.2	59.5
Germany	..	..
Ghana	27.7	..
Greece	..	..
Greenland	..	..
Grenada	44.4	73.6
Guam	..	..
Guatemala	11.2	58.4
Guinea	8	20
Guinea-Bissau	16.9	..
Guyana	31.7	..
Haiti	15.7	82.2
Honduras	30.6	91.2
Hungary	..	..
Iceland	..	..
India	6.5	31.5
Indonesia	21.5	99.8
Iran, Islamic Rep.	..	0.5
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	92.1	228.8
Japan	..	..
Jordan	41.8	109.2
Kazakhstan	17	36.3
Kenya	25.1	177.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	5.9	19.9
Kuwait	..	..
Kyrgyz Republic	42.9	128
Lao PDR	44.8	121.9
Latvia	..	..
Lebanon	67.1	161.2
Lesotho	23.3	42.9
Liberia	18.9	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	32.8	51.3
Madagascar	17.9	47.7
Malawi	18.6	..
Malaysia	..	..
Maldives	24.3	31.9
Mali	18	..
Malta	..	..
Marshall Islands	..	..
Mauritania	76.8	..
Mauritius	9.1	10.3
Mexico	29	70.1
Micronesia, Fed. Sts.	..	..
Moldova	12.4	33.4
Monaco	..	..
Mongolia	64.6	94.2
Montenegro	56.3	114.9
Morocco	28.7	76.2
Mozambique	68	154.4
Myanmar	21.2	86.1
Namibia	..	..
Nepal	11.8	..
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	38.5	87.9
Niger	24.1	..
Nigeria	4.9	26.7
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	19.8	211.4
Palau	..	..
Panama	..	..
Papua New Guinea	9.6	20.5
Paraguay	16.4	44.6
Peru	11.7	42.9
Philippines	11.8	46.1
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	18.1	40.6
Russian Federation	14.9	43.1
Rwanda	23.2	104.9
Samoa	41.8	111.7
San Marino	..	..
Sao Tome and Principe	51.7	213.8
Saudi Arabia	..	..
Senegal	34.9	..
Serbia	35.1	65.3
Seychelles	..	..
Sierra Leone	20.7	..
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	6.1	11.2
Somalia	38.5	..
South Africa	24.6	74.3
South Sudan	..	..
Spain	..	..
Sri Lanka	39.8	167.6
St. Kitts and Nevis	..	..
St. Lucia	31.3	43.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	34.3	92.8
Sudan	54.1	400.5
Suriname	..	..
Eswatini	8.1	18.4
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	29.8	98.8
Tanzania	19.5	..
Thailand	5.9	8.3
Timor-Leste	4.4	10.3
Togo	18.2	..
Tonga	34.2	101.5
Trinidad and Tobago	..	..
Tunisia	59.5	114.8
Turkey	18.1	59.4
Turkmenistan	0.5	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	20.1	94.7
Ukraine	42.1	75.8
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	..	..
Uzbekistan	13.6	40.8
Vanuatu	27.4	..
Venezuela, RB	..	..
Vietnam	21	18.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	20.4	..
Zambia	37.3	96.6
Zimbabwe	18.4	110.6
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
