Country	Resilience
Afghanistan	..
Albania	..
Algeria	3.5
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	2.8
Argentina	3.3
Armenia	3
Aruba	..
Australia	4
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	4
Barbados	4
Belarus	..
Belgium	..
Belize	..
Benin	..
Bermuda	..
Bhutan	..
Bolivia	2.3
Bosnia and Herzegovina	..
Botswana	3
Brazil	4.5
Brunei Darussalam	2.8
Bulgaria	3.5
Burkina Faso	..
Burundi	3.3
Cambodia	..
Cameroon	..
Canada	4.3
Cabo Verde	3.5
Cayman Islands	3
Central African Republic	..
Chad	..
Channel Islands	..
Chile	2.8
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	3.8
Comoros	1.8
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	4.5
Cote d'Ivoire	2.5
Croatia	..
Cuba	4.5
Curacao	..
Cyprus	..
Czech Republic	2.8
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	3
Ecuador	4.8
Egypt, Arab Rep.	..
El Salvador	3.3
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	..
Ethiopia	..
Faroe Islands	..
Fiji	2.8
Finland	3.5
France	..
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	2.8
Germany	4.3
Ghana	3.3
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	3.3
Guinea	..
Guinea-Bissau	1
Guyana	..
Haiti	..
Honduras	3.8
Hungary	..
Iceland	..
India	3.3
Indonesia	3.3
Iran, Islamic Rep.	..
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	3.5
Jamaica	3.8
Japan	4.5
Jordan	..
Kazakhstan	..
Kenya	4
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	..
Lao PDR	2.3
Latvia	..
Lebanon	3
Lesotho	2.5
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	3.3
Madagascar	3.8
Malawi	1.8
Malaysia	3.8
Maldives	2.3
Mali	..
Malta	..
Marshall Islands	1.8
Mauritania	..
Mauritius	3.5
Mexico	4.3
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	2.8
Montenegro	..
Morocco	3
Mozambique	4
Myanmar	..
Namibia	..
Nepal	2.8
Netherlands	..
New Caledonia	..
New Zealand	3.8
Nicaragua	3.8
Niger	..
Nigeria	4
Northern Mariana Islands	..
Norway	3.8
Oman	..
Pakistan	3.5
Palau	..
Panama	3
Papua New Guinea	..
Paraguay	3.8
Peru	3
Philippines	..
Poland	3.3
Portugal	..
Puerto Rico	..
Qatar	..
Romania	3.3
Russian Federation	..
Rwanda	..
Samoa	3.5
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	2.8
Serbia	..
Seychelles	..
Sierra Leone	3
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	2
Somalia	..
South Africa	..
South Sudan	..
Spain	..
Sri Lanka	3.5
St. Kitts and Nevis	3.5
St. Lucia	3.3
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	3.8
Switzerland	4.8
Syrian Arab Republic	3.5
Tajikistan	..
Tanzania	3.5
Thailand	3.8
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	2.3
Tuvalu	..
Uganda	..
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	3.5
Uruguay	..
Uzbekistan	..
Vanuatu	2
Venezuela, RB	2.8
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	2.3
Zambia	3.8
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
