Country	Investment (2010-14)	Investment (2015-19)
Afghanistan	..	..
Albania	51.3	284.6
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	250.5	..
Armenia	101	..
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	..	1088.8
Barbados	..	..
Belarus	..	..
Belgium	..	..
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	77095.2	7002.9
Brunei Darussalam	..	..
Bulgaria	79	..
Burkina Faso	..	471.3
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	1000
Cameroon	..	..
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	..	..
China	12459.9	61751.1
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	9682.9	15702.9
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	56	..
Costa Rica	..	663
Cote d'Ivoire	285	471.3
Croatia	..	..
Cuba	..	1880
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	142.4	..
Ecuador	..	1142
Egypt, Arab Rep.	..	648
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	..	689.7
Gambia, The	..	..
Georgia	..	93
Germany	..	..
Ghana	..	2050
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	120	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	57.2	..
Honduras	1171.8	87.9
Hungary	..	..
Iceland	..	..
India	63265.2	23794.8
Indonesia	2662	9365.4
Iran, Islamic Rep.	..	235
Iraq	500	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	937	562
Japan	..	..
Jordan	94	..
Kazakhstan	..	815
Kenya	..	310.8
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	190	..
Kuwait	..	..
Kyrgyz Republic	..	..
Lao PDR	..	5700
Latvia	..	..
Lebanon	..	..
Lesotho	..	..
Liberia	145	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	..	..
Madagascar	..	245.1
Malawi	..	..
Malaysia	634.3	1543
Maldives	478	..
Mali	..	..
Malta	..	..
Marshall Islands	..	..
Mauritania	..	310
Mauritius	..	..
Mexico	9791.6	3066.1
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	..	..
Montenegro	..	..
Morocco	..	..
Mozambique	80	..
Myanmar	..	104
Namibia	..	..
Nepal	..	350
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	..	..
Niger	..	..
Nigeria	3159.4	1050
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	1200	240
Palau	..	..
Panama	..	..
Papua New Guinea	..	..
Paraguay	..	738
Peru	4144.6	7646
Philippines	1646.5	5282.6
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	2.5	50.4
Russian Federation	12867.5	8919.1
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	862	173
Serbia	..	1161
Seychelles	..	..
Sierra Leone	130	..
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	..	..
Somalia	10	442
South Africa	97	13.5
South Sudan	..	..
Spain	..	..
Sri Lanka	500	120
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	604.4
Suriname	..	..
Eswatini	..	..
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	..	3356
Timor-Leste	..	490
Togo	442	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	..	..
Turkey	11269.5	52035.8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	..	150
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	430.5	1029.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	97	..
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	92758.2	27654.7
Middle East & North Africa	..	..
North America	..	..
South Asia	65443.2	25593.6
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	17792.6
Upper middle income	130028.4	178665.1
High income	..	..
