Country	Population (2000)	Population (2016)	Urban (2016)	Rural (2016)
Afghanistan	..	97.7	99.5	97.1
Albania	..	100	100	100
Algeria	..	100	100	100
American Samoa	..	..	..	..
Andorra	100	100	100	100
Angola	20	40.7	70.1	3.8
Antigua and Barbuda	..	100	100	100
Argentina	95.5	100	100	99.7
Armenia	98.9	100	100	100
Aruba	91.7	100	100	100
Australia	100	100	100	100
Austria	100	100	100	100
Azerbaijan	98.9	100	100	100
Bahamas, The	100	100	100	100
Bahrain	100	100	100	100
Bangladesh	32	75.9	94	66.1
Barbados	100	100	100	100
Belarus	100	100	100	100
Belgium	100	100	100	100
Belize	79	97	97.9	96.2
Benin	21.4	39	65.1	16.5
Bermuda	100	100	100	100
Bhutan	31.2	99.6	99.9	99.4
Bolivia	70	91.8	99.5	74.9
Bosnia and Herzegovina	100	100	100	100
Botswana	27.3	60.4	76.4	26.5
Brazil	94.4	99.7	99.9	98.5
Brunei Darussalam	100	100	100	100
Bulgaria	100	100	100	100
Burkina Faso	9.1	16.9	60.3	4.7
Burundi	3	9.6	59	2.7
Cabo Verde	58.6	89.2	90.8	86.4
Cambodia	16.6	76.6	99.1	70
Cameroon	41	60	91.5	21.3
Canada	100	100	100	100
Cayman Islands	100	100	100	100
Central African Republic	6	27.1	48	12.8
Chad	2.7	10.4	36.2	2.9
Channel Islands	..	..	..	..
Chile	97.9	100	100	100
China	96.9	100	100	100
Hong Kong SAR, China	100	100	100	100
Macao SAR, China	100	100	100	100
Colombia	95.2	98.4	99.8	92.8
Comoros	..	76.9	90.7	71.4
Congo, Dem. Rep.	6.7	17.4	47.5	..
Congo, Rep.	..	60.7	82.1	19.3
Costa Rica	98.7	99.5	99.8	98.5
Cote d'Ivoire	47.6	64.3	92	36.7
Croatia	100	100	100	100
Cuba	97	99.9	100	99.4
Curacao	100	100	100	100
Cyprus	100	100	100	100
Czech Republic	100	100	100	100
Denmark	100	100	100	100
Djibouti	56.4	58.7	68.8	23.9
Dominica	81	100	..	100
Dominican Republic	88.8	98.9	99.9	95
Ecuador	93.5	98.7	99.8	96.8
Egypt, Arab Rep.	97.7	100	100	100
El Salvador	84.5	96	98.4	90.3
Equatorial Guinea	..	66.5	90.8	6.6
Eritrea	29.2	47	77.3	30.4
Estonia	100	100	100	100
Eswatini	26.9	69.6	89.5	63.5
Ethiopia	12.7	42.9	85.4	32.4
Faroe Islands	100	100	100	100
Fiji	75.8	96.6	98.9	93.8
Finland	100	100	100	100
France	100	100	100	100
French Polynesia	100	100	100	100
Gabon	73.6	90.8	96.1	49.9
Gambia, The	34.3	56	74.2	28.9
Georgia	99.9	100	100	100
Germany	100	100	100	100
Ghana	43.7	79.3	89.8	66.6
Greece	100	100	100	100
Greenland	100	100	100	100
Grenada	86	93.6	..	100
Guam	100	100	100	100
Guatemala	73.3	91.9	95.4	88.4
Guinea	15.5	33.5	82.2	6.7
Guinea-Bissau	..	23.3	43.2	8.6
Guyana	74.5	89.7	95.9	87.5
Haiti	33.7	40.4	76.4	3
Honduras	67.4	91.6	99.1	82.1
Hungary	100	100	100	100
Iceland	100	100	100	100
India	59.1	89.7	98.3	85.4
Indonesia	86.3	97.6	99.8	95.1
Iran, Islamic Rep.	97.9	100	100	100
Iraq	..	99.7	100	99
Ireland	100	100	100	100
Isle of Man	100	100	100	100
Israel	100	100	100	100
Italy	100	100	100	100
Jamaica	84.4	97	99.5	93.9
Japan	100	100	100	100
Jordan	98.7	99.9	100	99.3
Kazakhstan	99.1	100	100	100
Kenya	15.4	65.4	77.6	61.1
Kiribati	..	93.6	93.2	94
Korea, Dem. Peopleâ€™s Rep.	..	43.6	37	49.3
Korea, Rep.	100	100	100	100
Kosovo	..	100	100	100
Kuwait	100	100	100	100
Kyrgyz Republic	99.8	99.9	100	99.9
Lao PDR	43.1	90.8	98.8	86.6
Latvia	100	100	100	100
Lebanon	..	100	100	100
Lesotho	4.3	35.3	66.4	23.6
Liberia	..	19.8	34	5.5
Libya	97.1	71.9	100	..
Liechtenstein	100	100	100	100
Lithuania	100	100	100	100
Luxembourg	100	100	100	100
North Macedonia	..	100	100	100
Madagascar	13.6	22.9	67.3	0
Malawi	4.8	11	42	4.9
Malaysia	..	100	100	100
Maldives	83.8	100	100	99.9
Mali	9.4	41.2	83.1	12.4
Malta	100	100	100	100
Marshall Islands	68.6	93.4	95	88.5
Mauritania	22.2	41.5	78.3	1.6
Mauritius	99	97.4	89.7	100
Mexico	98	99.5	99.8	98.3
Micronesia, Fed. Sts.	46	78	91.1	74.2
Moldova	99	100	100	100
Monaco	100	100	100	100
Mongolia	67.3	91.1	98.8	74.4
Montenegro	..	100	100	100
Morocco	69.7	99.7	99.8	99.6
Mozambique	6	27.7	69.4	5.3
Myanmar	47	55.6	92.3	39.8
Namibia	36.5	49.7	69.3	31.6
Nepal	27.7	90.7	94.5	89.8
Netherlands	100	100	100	100
New Caledonia	100	100	100	100
New Zealand	100	100	100	100
Nicaragua	72.8	85.4	99.3	66
Niger	6.5	17.5	58.9	9.4
Nigeria	42.9	59.3	86	34
Northern Mariana Islands	100	100	100	100
Norway	100	100	100	100
Oman	100	100	100	100
Pakistan	70.4	71.4	99.9	55.3
Palau	..	100	99.9	100
Panama	81.4	96.8	99.7	90.9
Papua New Guinea	8.7	49.4	79.3	44.9
Paraguay	89.2	98.4	99.9	96.1
Peru	72.5	94.2	98.9	78
Philippines	74.8	92.3	96.6	88.6
Poland	100	100	100	100
Portugal	100	100	100	100
Puerto Rico	100	100	100	100
Qatar	100	100	100	100
Romania	100	99.1	99.5	100
Russian Federation	100	100	99.7	100
Rwanda	6.2	29.4	80	19
Samoa	87.9	99.9	99.8	100
San Marino	100	100	100	100
Sao Tome and Principe	52.9	68.1	74.8	51.5
Saudi Arabia	100	99.9	100	100
Senegal	37.7	64.5	87.7	44.5
Serbia	100	100	100	100
Seychelles	94	100	99.9	100
Sierra Leone	..	20.3	46.9	1.6
Singapore	100	100	100	100
Sint Maarten (Dutch part)	100	100	100	100
Slovak Republic	100	100	100	100
Slovenia	100	100	100	100
Solomon Islands	4.7	58.7	70.6	55.1
Somalia	7.4	31.6	56.2	12.4
South Africa	71.8	84.2	91.4	70.7
South Sudan	..	21.9	36.5	18.4
Spain	100	100	100	100
Sri Lanka	63.6	97.5	99	97.2
St. Kitts and Nevis	93.5	100	100	100
St. Lucia	89.9	98.1	96.5	98.4
St. Martin (French part)	..	100	99.7	100
St. Vincent and the Grenadines	79.9	99.8	96.6	100
Sudan	23	53	80.4	38.9
Suriname	95.6	96.1	98.8	90.8
Sweden	100	100	100	100
Switzerland	100	100	100	100
Syrian Arab Republic	86.6	89.8	100	78.3
Tajikistan	98.5	99.2	99.4	99.2
Tanzania	9.6	32.8	65.3	17.3
Thailand	82.1	100	99.9	100
Timor-Leste	25.6	76.5	98.4	67.2
Togo	17	47.4	86.9	20.4
Tonga	85.5	97	98.6	96.5
Trinidad and Tobago	91.3	100	100	100
Tunisia	94.8	100	100	100
Turkey	..	100	100	100
Turkmenistan	99.6	100	100	100
Turks and Caicos Islands	95.6	100	100	100
Tuvalu	94.6	99.7	100	99.3
Uganda	7.7	26.7	57.5	17.7
Ukraine	..	100	100	100
United Arab Emirates	100	100	100	100
United Kingdom	100	100	100	100
United States	100	100	100	100
Uruguay	98.5	99.7	99.8	100
Uzbekistan	99.6	100	100	100
Vanuatu	22.2	57.8	91.4	46.6
Venezuela, RB	98.9	99.4	100	94.9
Vietnam	87.2	99.2	100	98.8
Virgin Islands (U.S.)	100	100	100	100
West Bank and Gaza	99.7	100	100	100
Yemen, Rep.	50	70.9	97.4	56.3
Zambia	16.7	35.3	70.6	9.3
Zimbabwe	33.9	39.9	85.3	18.3
World	78.3	88	97	79.5
East Asia & Pacific	93.3	97.3	99	94.9
Europe & Central Asia	99.9	100	99.9	100
Latin America & Caribbean	91.4	97.5	99.5	93.7
Middle East & North Africa	90.9	97.2	99.8	93.5
North America	100	100	100	100
South Asia	57.2	86.6	98.1	80.9
Sub-Saharan Africa	26	44.7	76.4	28.9
Low income	15.2	38.7	67.5	31.7
Lower middle income	58	82.5	95.1	75.2
Upper middle income	94.5	99.1	99.7	98.2
High income	99.9	100	100	99.9
