Country	Most recent year	Tariff
Afghanistan	..	8.4
Albania	2017	3
Algeria	..	14.5
American Samoa	..	..
Andorra	..	..
Angola	2016	22.3
Antigua and Barbuda	2017	13.6
Argentina	2017	7.7
Armenia	2017	5.3
Aruba	..	5.7
Australia	2017	1.3
Austria	2017	4.7
Azerbaijan	..	9.2
Bahamas, The	..	18.3
Bahrain	2017	5
Bangladesh	2016	13.6
Barbados	2013	26
Belarus	..	5.3
Belgium	2017	4.7
Belize	2017	17
Benin	2017	18.4
Bermuda	..	17.1
Bhutan	..	20.1
Bolivia	2017	8.9
Bosnia and Herzegovina	..	3.2
Botswana	2017	3.7
Brazil	2017	8.5
Brunei Darussalam	2017	0
Bulgaria	2017	4.7
Burkina Faso	2017	16.4
Burundi	2016	12.5
Cabo Verde	2015	16.5
Cambodia	2016	15.1
Cameroon	2014	22.9
Canada	2017	3.7
Cayman Islands	..	32.5
Central African Republic	2017	17.1
Chad	2016	20.7
Channel Islands	..	..
Chile	2017	1.3
China	2017	9.1
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	4.6
Comoros	..	8.2
Congo, Dem. Rep.	2014	12.1
Congo, Rep.	2015	16.1
Costa Rica	2016	5.1
Cote d'Ivoire	2017	17.6
Croatia	2017	4.7
Cuba	2017	11
Curacao	..	..
Czech Republic	2017	4.7
Denmark	2017	4.7
Djibouti	2014	14.4
Dominica	2017	18.3
Dominican Republic	2017	9.2
Ecuador	2017	6.4
Egypt, Arab Rep.	2017	39.8
El Salvador	2017	4.9
Equatorial Guinea	..	21.9
Eritrea	..	9.2
Estonia	2017	4.7
Ethiopia	..	18.5
Faroe Islands	..	..
Fiji	2017	27.3
Finland	2017	4.7
France	2017	4.7
French Polynesia	..	4.9
Gabon	2016	20.6
Gambia, The	2013	15.8
Georgia	2016	4.2
Germany	2017	4.7
Ghana	2017	15.9
Greece	2017	4.7
Greenland	..	..
Grenada	2016	15.1
Guam	..	..
Guatemala	2015	4.1
Guinea	2017	18.8
Guinea-Bissau	2017	19.2
Guyana	2017	17.4
Haiti	2016	9.8
Honduras	2015	6
Hungary	2017	4.7
Iceland	2017	9.9
India	2017	16.7
Indonesia	2017	6.8
Iran, Islamic Rep.	..	16.6
Iraq	..	..
Ireland	2017	4.7
Isle of Man	..	..
Israel	2017	5.6
Italy	2017	4.7
Jamaica	2016	18.9
Japan	2017	12
Jordan	2017	10.6
Kazakhstan	2017	4.7
Kenya	2016	16.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	21.2
Kosovo	..	..
Kuwait	2017	3.4
Kyrgyz Republic	2017	3.6
Lao PDR	2017	2.4
Latvia	2017	4.7
Lebanon	..	10.8
Lesotho	2017	1.6
Liberia	..	9.3
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	4.7
Luxembourg	2017	4.7
North Macedonia	2017	7.3
Madagascar	2017	8.2
Malawi	2016	10.2
Malaysia	2016	8.1
Maldives	2017	7.1
Mali	2017	17.3
Malta	2017	4.7
Marshall Islands	..	..
Mauritania	2015	11.9
Mauritius	2017	1.3
Mexico	2017	4.5
Micronesia, Fed. Sts.	..	..
Moldova	2016	8.1
Monaco	..	..
Mongolia	2017	6.3
Montenegro	2017	4
Morocco	2017	8.8
Mozambique	2016	9.7
Myanmar	2015	3.4
Namibia	2017	4.5
Nepal	2016	18.4
Netherlands	2017	4.7
New Caledonia	..	..
New Zealand	2017	1.4
Nicaragua	2017	5.2
Niger	2017	18.4
Nigeria	2016	12.6
Northern Mariana Islands	..	..
Norway	2017	24.3
Oman	2017	5.3
Pakistan	2016	11.6
Palau	..	59.5
Panama	2015	11.2
Papua New Guinea	2013	15.1
Paraguay	2017	5.7
Peru	2017	0.5
Philippines	2017	4.6
Poland	2017	4.7
Portugal	2017	4.7
Puerto Rico	..	..
Qatar	2017	4.6
Romania	2017	4.7
Russian Federation	2017	5.1
Rwanda	2016	14.6
Samoa	2017	16.6
San Marino	..	..
Sao Tome and Principe	..	9.8
Saudi Arabia	2017	6.9
Senegal	2017	16.8
Serbia	..	..
Seychelles	2017	6.1
Sierra Leone	2012	16.2
Singapore	2017	1.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	4.7
Slovenia	2017	4.7
Solomon Islands	2017	20.2
Somalia	..	..
South Africa	2017	4.4
South Sudan	..	..
Spain	2017	4.7
Sri Lanka	2017	25.6
St. Kitts and Nevis	2017	22.9
St. Lucia	2016	13.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	15.6
Sudan	..	15.8
Suriname	2013	15.4
Eswatini	2017	1.9
Sweden	2017	4.7
Switzerland	2017	25.8
Syrian Arab Republic	..	15.3
Tajikistan	2017	4.7
Tanzania	2016	17
Thailand	2015	12.2
Timor-Leste	..	2.5
Togo	2017	17.8
Tonga	2017	9.6
Trinidad and Tobago	2013	17.4
Tunisia	2016	19.5
Turkey	2017	14.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	11.5
Uganda	2016	15.7
Ukraine	2017	4
United Arab Emirates	2017	6.9
United Kingdom	2017	4.7
United States	2017	6.6
Uruguay	2017	6.9
Uzbekistan	..	15.5
Vanuatu	2017	16.2
Venezuela, RB	2017	10.8
Vietnam	2017	8.2
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	6.3
Zambia	2016	13.3
Zimbabwe	2016	7.2
World	2017	..
East Asia & Pacific	2017	..
Europe & Central Asia	2017	..
Latin America & Caribbean	2017	..
Middle East & North Africa	2017	..
North America	..	..
South Asia	2017	..
Sub-Saharan Africa	2017	..
Low income	2017	..
Lower middle income	..	..
Upper middle income	2017	..
High income	2017	..
