Country	Communicable diseases and maternal, prenatal, and nutrition conditions	Non-communicable diseases	Injuries
Afghanistan	36	44	20
Albania	3	93	4
Algeria	15	76	10
American Samoa	..	..	..
Andorra	..	..	..
Angola	63	27	9
Antigua and Barbuda	12	82	6
Argentina	16	78	7
Armenia	3	93	4
Aruba	..	..	..
Australia	5	90	6
Austria	3	92	5
Azerbaijan	9	87	5
Bahamas, The	17	74	9
Bahrain	7	83	10
Bangladesh	26	67	8
Barbados	13	83	4
Belarus	3	91	7
Belgium	8	86	6
Belize	19	67	13
Benin	54	36	10
Bermuda	..	..	..
Bhutan	21	69	11
Bolivia	22	65	13
Bosnia and Herzegovina	2	95	4
Botswana	46	46	8
Brazil	14	74	12
Brunei Darussalam	8	85	7
Bulgaria	2	95	3
Burkina Faso	56	33	11
Burundi	56	32	12
Cabo Verde	20	70	10
Cambodia	26	64	10
Cameroon	54	35	11
Canada	6	88	6
Cayman Islands	..	..	..
Central African Republic	64	26	10
Chad	63	27	9
Channel Islands	..	..	..
Chile	8	85	7
China	4	89	7
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	10	75	15
Comoros	47	42	11
Congo, Dem. Rep.	62	28	10
Congo, Rep.	56	35	10
Costa Rica	6	83	10
Cote d'Ivoire	52	37	10
Croatia	2	92	5
Cuba	8	84	8
Curacao	..	..	..
Cyprus	4	91	5
Czech Republic	5	90	5
Denmark	7	90	4
Djibouti	45	44	10
Dominica	..	..	..
Dominican Republic	16	72	12
Ecuador	15	72	13
Egypt, Arab Rep.	10	84	6
El Salvador	11	74	15
Equatorial Guinea	53	36	11
Eritrea	43	45	12
Estonia	3	93	5
Eswatini	54	37	10
Ethiopia	49	39	12
Faroe Islands	..	..	..
Fiji	10	84	5
Finland	1	93	6
France	6	88	6
French Polynesia	..	..	..
Gabon	50	41	9
Gambia, The	55	34	11
Georgia	3	94	4
Germany	5	91	4
Ghana	48	43	10
Greece	11	86	3
Greenland	..	..	..
Grenada	12	81	7
Guam	..	..	..
Guatemala	25	59	16
Guinea	56	35	9
Guinea-Bissau	62	30	8
Guyana	20	68	12
Haiti	30	57	13
Honduras	14	67	20
Hungary	2	94	4
Iceland	4	90	6
India	26	63	11
Indonesia	21	73	6
Iran, Islamic Rep.	8	82	10
Iraq	17	55	28
Ireland	5	91	4
Isle of Man	..	..	..
Israel	10	86	4
Italy	5	91	4
Jamaica	11	80	9
Japan	13	82	5
Jordan	11	78	11
Kazakhstan	5	86	10
Kenya	63	27	10
Kiribati	29	64	7
Korea, Dem. Peopleâ€™s Rep.	10	84	7
Korea, Rep.	10	80	10
Kosovo	..	..	..
Kuwait	15	72	13
Kyrgyz Republic	10	83	8
Lao PDR	31	60	9
Latvia	3	92	5
Lebanon	4	91	6
Lesotho	59	32	8
Liberia	59	31	10
Libya	8	72	20
Liechtenstein	..	..	..
Lithuania	4	90	7
Luxembourg	5	88	7
Madagascar	46	43	11
Malawi	60	32	9
Malaysia	18	74	9
Maldives	8	84	8
Mali	61	31	9
Malta	6	91	3
Marshall Islands	..	..	..
Mauritania	53	37	9
Mauritius	7	89	5
Mexico	10	80	10
Micronesia, Fed. Sts.	19	75	7
Moldova	4	90	6
Monaco	..	..	..
Mongolia	10	80	11
Montenegro	1	95	4
Morocco	14	80	6
Mozambique	65	27	8
Myanmar	24	68	9
Namibia	49	41	10
Nepal	25	66	9
Netherlands	5	90	5
New Caledonia	..	..	..
New Zealand	5	90	6
Nicaragua	11	76	13
Niger	63	27	10
Nigeria	63	29	8
North Macedonia	2	95	3
Northern Mariana Islands	..	..	..
Norway	7	87	6
Oman	11	72	18
Pakistan	35	58	7
Palau	..	..	..
Panama	16	75	10
Papua New Guinea	36	56	8
Paraguay	14	74	12
Peru	20	69	11
Philippines	25	67	8
Poland	5	90	5
Portugal	10	86	4
Puerto Rico	..	..	..
Qatar	5	69	26
Romania	4	92	4
Russian Federation	5	87	8
Rwanda	42	44	14
Samoa	12	81	7
San Marino	..	..	..
Sao Tome and Principe	34	55	11
Saudi Arabia	11	73	16
Senegal	46	42	12
Serbia	2	95	3
Seychelles	12	81	7
Sierra Leone	58	33	9
Singapore	23	74	4
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	5	89	6
Slovenia	5	88	7
Solomon Islands	22	69	9
Somalia	64	24	12
South Africa	40	51	9
South Sudan	63	27	9
Spain	5	91	4
Sri Lanka	8	83	10
St. Kitts and Nevis	..	..	..
St. Lucia	10	82	8
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	13	81	6
Sudan	35	52	13
