Country	Goveernment % (2010)	Goveernment % (2018)
Afghanistan	1.1	0.4
Albania	4	3.2
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	-2.5	20.4
Antigua and Barbuda	..	..
Argentina	..	11
Armenia	3.6	3.5
Aruba	..	..
Australia	4	1.6
Austria	..	..
Azerbaijan	0.1	-2
Bahamas, The	3.1	3.6
Bahrain	..	..
Bangladesh	2.8	3.7
Barbados	10.1	4.8
Belarus	2.5	0.2
Belgium	..	..
Belize	3.7	..
Benin	..	..
Bermuda	..	..
Bhutan	0.3	6.8
Bolivia	-0.3	..
Bosnia and Herzegovina	1.8	-0.2
Botswana	5.1	2.3
Brazil	6.5	6.1
Brunei Darussalam	..	..
Bulgaria	..	..
Burkina Faso	4.4	3.7
Burundi	..	..
Cabo Verde	..	..
Cambodia	3.2	1.9
Cameroon	2.5	1.4
Canada	..	..
Cayman Islands	..	..
Central African Republic	1.2	-0.3
Chad	..	..
Channel Islands	..	..
Chile	2.4	1.7
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	7.1	2.8
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	-24	-9.5
Costa Rica	..	..
Cote d'Ivoire	2.4	3.6
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	3.6	3
Ecuador	..	..
Egypt, Arab Rep.	9.4	..
El Salvador	1.4	-2.6
Equatorial Guinea	0.6	..
Eritrea	..	..
Estonia	..	..
Eswatini	..	..
Ethiopia	13.3	4.7
Faroe Islands	..	..
Fiji	4.3	6.5
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	-1.9	0.4
Gambia, The	0.2	..
Georgia	5.8	2.5
Germany	..	..
Ghana	6.3	3.9
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	3.4	2
Guinea	..	..
Guinea-Bissau	..	2.3
Guyana	..	..
Haiti	..	..
Honduras	2.9	2.3
Hungary	2.3	4.1
Iceland	11	-1.3
India	4.4	2.7
Indonesia	1.4	2.5
Iran, Islamic Rep.	..	..
Iraq	..	5.7
Ireland	24.8	5.3
Isle of Man	..	..
Israel	2	2.9
Italy	..	..
Jamaica	9.7	..
Japan	6.5	3.4
Jordan	4.9	4
Kazakhstan	2.6	1.1
Kenya	..	11.1
Kiribati	1.1	-0.8
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.2	1.1
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	..	1.2
Lao PDR	..	..
Latvia	..	..
Lebanon	4.7	8.8
Lesotho	1.4	0.2
Liberia	-0.1	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	1.8	1.7
Malawi	0.3	6.4
Malaysia	4.9	3.7
Maldives	17.4	..
Mali	2.6	3.2
Malta	4.9	0.6
Marshall Islands	0.4	-2.5
Mauritania	..	..
Mauritius	1.7	-0.8
Mexico	3.4	2.6
Micronesia, Fed. Sts.	-0.2	-5
Moldova	2.7	0.6
Monaco	..	..
Mongolia	0.2	-3.7
Montenegro	..	..
Morocco	4	3.7
Mozambique	5.4	5.9
Myanmar	1.8	1.2
Namibia	2.1	5.6
Nepal	1.9	3.4
Netherlands	..	..
New Caledonia	..	..
New Zealand	2	..
Nicaragua	..	..
Niger	..	..
Nigeria	..	..
North Macedonia	1.6	3.3
Northern Mariana Islands	..	..
Norway	2.5	3.2
Oman	..	..
Pakistan	..	..
Palau	4.8	4
Panama	..	..
Papua New Guinea	..	4.3
Paraguay	0.3	2.5
Peru	-1.2	-1.1
Philippines	3.8	2.8
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	..	..
Russian Federation	1.6	1
Rwanda	..	5.2
Samoa	7.3	0.6
San Marino	4.3	..
Sao Tome and Principe	..	..
Saudi Arabia	..	3.8
Senegal	..	7.2
Serbia	3.1	..
Seychelles	14.8	-0.5
Sierra Leone	..	..
Singapore	9.6	8.9
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	0	0.2
Somalia	..	..
South Africa	7.1	5.8
South Sudan	..	..
Spain	6.1	3.5
Sri Lanka	7.2	5.6
St. Kitts and Nevis	2	..
St. Lucia	-0.6	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	3.6	..
Sudan	..	..
Suriname	..	..
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	6.7	1.6
Thailand	2.3	2.4
Timor-Leste	..	2.6
Togo	-0.7	0.9
Tonga	0.6	1.6
Trinidad and Tobago	-1.5	6.9
Tunisia	0.2	..
Turkey	3.2	3
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	3.1
Ukraine	9.9	1.5
United Arab Emirates	-0.3	0
United Kingdom	9.6	2.7
United States	11.3	6
Uruguay	-1.2	1.4
Uzbekistan	-0.2	-0.3
Vanuatu	1.6	-3.1
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	2.8	6.1
Zimbabwe	..	8.8
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	5	5
Middle East & North Africa	..	..
North America	11.3	6
South Asia	4.3	2.8
Sub-Saharan Africa	..	6.6
Low income	..	..
Lower middle income	4.5	3.7
Upper middle income	..	..
High income	..	..
