Country	assessment (2004)	assessment (2019)
Afghanistan	53.3	70
Albania	70	76.7
Algeria	73.3	76.7
American Samoa	..	..
Andorra	..	..
Angola	63.3	66.7
Antigua and Barbuda	50	63.3
Argentina	96.7	90
Armenia	83.3	90
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	80	70
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	80	76.7
Barbados	..	..
Belarus	80	90
Belgium	..	..
Belize	90	90
Benin	70	86.7
Bermuda	..	..
Bhutan	73.3	90
Bolivia	96.7	100
Bosnia and Herzegovina	50	73.3
Botswana	86.7	73.3
Brazil	80	83.3
Brunei Darussalam	..	..
Bulgaria	90	83.3
Burkina Faso	83.3	96.7
Burundi	70	93.3
Cambodia	83.3	80
Cameroon	83.3	90
Canada	..	..
Cabo Verde	76.7	83.3
Cayman Islands	..	..
Central African Republic	70	76.7
Chad	80	80
Channel Islands	..	..
Chile	93.3	100
China	73.3	80
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	90	93.3
Comoros	80	73.3
Congo, Dem. Rep.	46.7	83.3
Congo, Rep.	56.7	66.7
Costa Rica	96.7	93.3
Cote d'Ivoire	90	90
Croatia	96.7	83.3
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	70	86.7
Dominica	70	60
Dominican Republic	93.3	100
Ecuador	86.7	100
Egypt, Arab Rep.	93.3	86.7
El Salvador	93.3	96.7
Equatorial Guinea	73.3	60
Eritrea	73.3	63.3
Estonia	..	80
Ethiopia	80	83.3
Faroe Islands	..	..
Fiji	80	63.3
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	63.3	60
Gambia, The	70	83.3
Georgia	90	93.3
Germany	..	..
Ghana	83.3	93.3
Greece	..	..
Greenland	..	..
Grenada	56.7	63.3
Guam	..	..
Guatemala	90	93.3
Guinea	90	86.7
Guinea-Bissau	73.3	73.3
Guyana	86.7	70
Haiti	63.3	70
Honduras	66.7	90
Hungary	90	80
Iceland	..	..
India	76.7	86.7
Indonesia	90	96.7
Iran, Islamic Rep.	83.3	86.7
Iraq	56.7	63.3
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	90	83.3
Japan	..	..
Jordan	66.7	86.7
Kazakhstan	90	100
Kenya	83.3	73.3
Kiribati	66.7	60
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	20
Kuwait	..	..
Kyrgyz Republic	83.3	100
Lao PDR	86.7	93.3
Latvia	..	80
Lebanon	76.7	53.3
Lesotho	93.3	83.3
Liberia	50	83.3
Libya	46.7	63.3
Liechtenstein	..	..
Lithuania	..	70
Luxembourg	..	..
North Macedonia	80	86.7
Madagascar	90	76.7
Malawi	83.3	90
Malaysia	96.7	96.7
Maldives	73.3	63.3
Mali	76.7	93.3
Malta	..	..
Marshall Islands	56.7	56.7
Mauritania	86.7	93.3
Mauritius	70	86.7
Mexico	83.3	100
Micronesia, Fed. Sts.	50	53.3
Moldova	83.3	93.3
Monaco	..	..
Mongolia	86.7	83.3
Montenegro	60	86.7
Morocco	90	80
Mozambique	83.3	83.3
Myanmar	80	83.3
Namibia	86.7	70
Nepal	86.7	93.3
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	86.7	73.3
Niger	93.3	93.3
Nigeria	73.3	80
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	80	93.3
Palau	50	56.7
Panama	86.7	90
Papua New Guinea	70	66.7
Paraguay	86.7	76.7
Peru	100	100
Philippines	93.3	93.3
Poland	80	76.7
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	96.7	76.7
Russian Federation	66.7	76.7
Rwanda	83.3	96.7
Samoa	66.7	70
San Marino	..	..
Sao Tome and Principe	63.3	80
Saudi Arabia	..	..
Senegal	96.7	90
Serbia	60	96.7
Seychelles	63.3	76.7
Sierra Leone	50	86.7
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	86.7	80
Slovenia	..	..
Solomon Islands	53.3	66.7
Somalia	46.7	50
South Africa	90	86.7
South Sudan	..	66.7
Spain	..	..
Sri Lanka	76.7	93.3
St. Kitts and Nevis	63.3	63.3
St. Lucia	70	66.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	60	70
Sudan	66.7	93.3
Suriname	70	83.3
Eswatini	86.7	90
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	73.3	60
Tajikistan	76.7	90
Tanzania	83.3	86.7
Thailand	76.7	90
Timor-Leste	26.7	83.3
Togo	76.7	93.3
Tonga	60	70
Trinidad and Tobago	80	53.3
Tunisia	86.7	83.3
Turkey	76.7	83.3
Turkmenistan	56.7	53.3
Turks and Caicos Islands	..	..
Tuvalu	..	63.3
Uganda	80	83.3
Ukraine	90	76.7
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	86.7	83.3
Uzbekistan	63.3	83.3
Vanuatu	73.3	66.7
Venezuela, RB	90	83.3
Vietnam	83.3	86.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	80
Yemen, Rep.	80	76.7
Zambia	86.7	76.7
Zimbabwe	63.3	80
East Asia & Pacific (excluding high income)	83.6	86.1
Europe & Central Asia (excluding high income)	76.1	80.9
Latin America & Caribbean (excluding high income)	87.6	89.8
Middle East & North Africa (excluding high income)	75.2	74.7
South Asia	75.6	85.6
Sub-Saharan Africa (excluding high income)	76.7	82
IDA total	76.1	81.9
IBRD only	82.2	83.5
Low income	..	
Lower middle income	248937	
Upper middle income	763815	
High income	1025704	
