Country	exports (2010)	exports (2019)
Afghanistan	40	65.1
Albania	4.5	9
Algeria	0.6	1
American Samoa	..	..
Andorra	0.9	0.6
Angola	0.1	0.3
Antigua and Barbuda	50.7	77.9
Argentina	51.1	60.5
Armenia	16.7	35
Aruba	82.3	41.6
Australia	11.3	12.5
Austria	6.9	7.5
Azerbaijan	2.8	3.9
Bahamas, The	25.1	..
Bahrain	1.9	3.4
Bangladesh	4	..
Barbados	32.9	32.9
Belarus	12.6	14.9
Belgium	8.9	9.9
Belize	60.9	89.8
Benin	67.6	37.1
Bermuda	23.5	19.3
Bhutan	7.2	..
Bolivia	15.3	17.8
Bosnia and Herzegovina	7.3	6.9
Botswana	5.1	1.7
Brazil	30.4	34.4
Brunei Darussalam	0	0.1
Bulgaria	16.1	14.7
Burkina Faso	33.3	42.3
Burundi	81.4	76.7
Cabo Verde	81.6	83.5
Cambodia	1.4	5.2
Cameroon	24.4	21.8
Canada	10.5	12.4
Cayman Islands	..	..
Central African Republic	1.5	1.4
Chad	..	..
Channel Islands	..	..
Chile	16.8	26.5
China	2.8	2.9
Hong Kong SAR, China	6.8	2.2
Macao SAR, China	0.2	34.1
Colombia	11.9	14.2
Comoros	66	43.5
Congo, Dem. Rep.	..	..
Congo, Rep.	0.5	0.3
Costa Rica	34.7	41.2
Cote d'Ivoire	49.5	57.8
Croatia	11.3	13.9
Cuba	..	..
Curacao	..	..
Cyprus	34.4	31.2
Czech Republic	3.9	4.2
Denmark	18.3	19.6
Djibouti	0.4	..
Dominica	27.1	..
Dominican Republic	27.5	27.8
Ecuador	30	46.8
Egypt, Arab Rep.	17.2	17.5
El Salvador	21	18.9
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	9.9	10
Eswatini	30.5	28.7
Ethiopia	77.5	91
Faroe Islands	88	..
Fiji	63.3	64
Finland	2.6	2.3
France	12	12.2
French Polynesia	15.8	..
Gabon	0.8	..
Gambia, The	89	52.1
Georgia	21	31.9
Germany	5.5	5.5
Ghana	60.7	40.5
Greece	20.2	17.6
Greenland	87.7	92.3
Grenada	58.4	..
Guam	..	..
Guatemala	42.1	48.2
Guinea	2.5	..
Guinea-Bissau	..	..
Guyana	64.8	49.2
Haiti	..	..
Honduras	57.3	64.8
Hungary	7.6	7.9
Iceland	41.4	46.8
India	8.3	10.4
Indonesia	16.4	20.7
Iran, Islamic Rep.	6.2	5.9
Iraq	0	..
Ireland	9.1	9
Isle of Man	..	..
Israel	3	3.1
Italy	7.9	9.2
Jamaica	24.6	22.5
Japan	0.6	1
Jordan	16.6	15.3
Kazakhstan	3.4	5.6
Kenya	47.9	51.2
Kiribati	67	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.1	1.5
Kosovo	..	..
Kuwait	0.3	0.8
Kyrgyz Republic	30	16.8
Lao PDR	26	17.6
Latvia	16.8	20.9
Lebanon	14.9	23.8
Lesotho	16.6	3.8
Liberia	..	..
Libya	0	..
Liechtenstein	..	..
Lithuania	17.3	16.3
Luxembourg	8.3	9.2
Madagascar	26.7	37.7
Malawi	76.4	89.7
Malaysia	11.9	9.2
Maldives	96.2	98.2
Mali	29.8	38.4
Malta	5.2	8.4
Marshall Islands	..	..
Mauritania	16.8	50.7
Mauritius	37.2	35.1
Mexico	6.1	7.5
Micronesia, Fed. Sts.	..	..
Moldova	72	57.5
Monaco	..	..
Mongolia	..	2.9
Montenegro	12.3	11.8
Morocco	19	20.8
Mozambique	15.7	11.2
Myanmar	17.3	27.7
Namibia	25.3	31.7
Nepal	20.2	26.1
Netherlands	13.5	15.7
New Caledonia	1.7	..
New Zealand	55.8	65.7
Nicaragua	88.2	50.3
Niger	21.1	..
Nigeria	3.3	2
North Macedonia	16.3	9.4
Northern Mariana Islands	..	..
Norway	7.2	10.6
Oman	2.5	3.5
Pakistan	16.8	20.7
Palau	86.1	88.7
Panama	72.6	..
Papua New Guinea	28.8	..
Paraguay	59.5	62.6
Peru	19.8	23.8
