Country	Ratio %
Afghanistan	11.1
Albania	10.5
Algeria	10.8
American Samoa	..
Andorra	..
Angola	13.3
Antigua and Barbuda	7
Argentina	13.3
Armenia	15
Aruba	..
Australia	6.9
Austria	7.7
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	4.7
Barbados	..
Belarus	14.8
Belgium	7.6
Belize	..
Benin	..
Bermuda	..
Bhutan	13.7
Bolivia	6.9
Bosnia and Herzegovina	13.2
Botswana	9.4
Brazil	10.1
Brunei Darussalam	12.6
Bulgaria	10.8
Burkina Faso	..
Burundi	12.2
Cambodia	13.6
Cameroon	8.7
Canada	5.3
Cabo Verde	..
Cayman Islands	..
Central African Republic	20.9
Chad	11.3
Channel Islands	..
Chile	8.4
China	9.1
Hong Kong SAR, China	9.9
Macao SAR, China	..
Colombia	17
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	17.9
Costa Rica	10.2
Cote d'Ivoire	..
Croatia	13.9
Cuba	..
Curacao	..
Cyprus	8.2
Czech Republic	6.5
Denmark	7
Djibouti	6.5
Dominica	4.9
Dominican Republic	9.6
Ecuador	11.7
Egypt, Arab Rep.	..
El Salvador	12.3
Equatorial Guinea	15.8
Eritrea	..
Estonia	12.1
Ethiopia	..
Faroe Islands	..
Fiji	9.9
Finland	9.3
France	6.5
French Polynesia	..
Gabon	12
Gambia, The	14.2
Georgia	12.2
Germany	6.5
Ghana	15.8
Greece	10.7
Greenland	..
Grenada	5.6
Guam	..
Guatemala	6.9
Guinea	6.6
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	11.2
Hungary	..
Iceland	17
India	7.5
Indonesia	15.6
Iran, Islamic Rep.	..
Iraq	..
Ireland	14.9
Isle of Man	..
Israel	7.4
Italy	6.3
Jamaica	..
Japan	..
Jordan	14.7
Kazakhstan	11.8
Kenya	14.3
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	8
Kosovo	12.2
Kuwait	12.7
Kyrgyz Republic	18.2
Lao PDR	..
Latvia	9.7
Lebanon	..
Lesotho	11.5
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	9.6
Luxembourg	7.4
North Macedonia	10.8
Madagascar	10.6
Malawi	11.5
Malaysia	11.6
Maldives	25.1
Mali	..
Malta	8.4
Marshall Islands	..
Mauritania	..
Mauritius	11.6
Mexico	11
Micronesia, Fed. Sts.	..
Moldova	17.2
Monaco	4.6
Mongolia	..
Montenegro	10.1
Morocco	..
Mozambique	..
Myanmar	7.2
Namibia	9.3
Nepal	11.9
Netherlands	6.2
New Caledonia	..
New Zealand	..
Nicaragua	9
Niger	..
Nigeria	7.3
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	7.1
Palau	..
Panama	12.5
Papua New Guinea	14
Paraguay	8.7
Peru	12.5
Philippines	10.7
Poland	9.8
Portugal	7
Puerto Rico	..
Qatar	..
Romania	9.3
Russian Federation	10
Rwanda	15
Samoa	16.6
San Marino	6.2
Sao Tome and Principe	..
Saudi Arabia	15.2
Senegal	..
Serbia	..
Seychelles	11
Sierra Leone	..
Singapore	9.3
Sint Maarten (Dutch part)	..
Slovak Republic	10.4
Slovenia	10.7
Solomon Islands	..
Somalia	..
South Africa	8.4
South Sudan	..
Spain	7.6
Sri Lanka	8.7
St. Kitts and Nevis	8
St. Lucia	5.4
St. Martin (French part)	..
St. Vincent and the Grenadines	7.6
Sudan	..
Suriname	..
Eswatini	13.1
Sweden	6.2
Switzerland	8.3
Syrian Arab Republic	..
Tajikistan	..
Tanzania	11.9
Thailand	10.8
Timor-Leste	..
Togo	..
Tonga	22.9
Trinidad and Tobago	12.1
Tunisia	..
Turkey	10.8
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	13.9
Ukraine	13.5
United Arab Emirates	..
United Kingdom	6.8
United States	11.7
Uruguay	11.2
Uzbekistan	18.7
Vanuatu	10.3
Venezuela, RB	..
Vietnam	7.7
Virgin Islands (U.S.)	..
West Bank and Gaza	10.2
Yemen, Rep.	..
Zambia	11.2
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
