Country	imports (2010)	imports (2019)
Afghanistan	0.3	0.2
Albania	3.6	0.4
Algeria	1.5	1.5
American Samoa	..	..
Andorra	0.6	0.4
Angola	0.7	0.6
Antigua and Barbuda	0.7	1.2
Argentina	2.9	2.5
Armenia	3.4	2.3
Aruba	0.8	0.9
Australia	1.7	1.5
Austria	5.4	4.2
Azerbaijan	1.7	0.8
Bahamas, The	0.6	..
Bahrain	12.3	5.7
Bangladesh	2	..
Barbados	1.2	0.9
Belarus	3.4	3.1
Belgium	4.3	3.9
Belize	0.4	0.6
Benin	0.5	0.5
Bermuda	0.3	0.3
Bhutan	10.2	..
Bolivia	0.8	0.7
Bosnia and Herzegovina	2.4	3.7
Botswana	2	0.7
Brazil	3.5	3.5
Brunei Darussalam	1.7	1.1
Bulgaria	9	9.6
Burkina Faso	0.9	0.5
Burundi	0.7	0.9
Cabo Verde	1.1	0.6
Cambodia	1.5	1.4
Cameroon	0.8	1.1
Canada	2.8	2.5
Cayman Islands	..	..
Central African Republic	1.4	0.5
Chad	..	..
Channel Islands	..	..
Chile	2	1.3
China	14.3	10.7
Hong Kong SAR, China	1.8	1.5
Macao SAR, China	0.2	0.3
Colombia	2	1.7
Comoros	0.5	0.3
Congo, Dem. Rep.	..	..
Congo, Rep.	0.2	1.1
Costa Rica	1.9	1.9
Cote d'Ivoire	1.2	1.1
Croatia	2.4	2.7
Cuba	..	..
Curacao	..	..
Cyprus	0.8	0.7
Czech Republic	3.6	2.8
Denmark	1.7	1.5
Djibouti	0.8	..
Dominica	0.4	..
Dominican Republic	0.9	1
Ecuador	1.2	1.4
Egypt, Arab Rep.	4.1	5
El Salvador	1.3	0.9
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	1.4	1.5
Eswatini	0.6	0.7
Ethiopia	1.2	1.1
Faroe Islands	0.9	..
Fiji	1.1	1.2
Finland	8.2	5.3
France	2.8	2.3
French Polynesia	0.7	..
Gabon	1	..
Gambia, The	1	1.4
Georgia	2	7.7
Germany	4.9	3.9
Ghana	1.2	1.6
Greece	3.3	3.6
Greenland	0.7	0.4
Grenada	0.8	..
Guam	..	..
Guatemala	1.2	1.2
Guinea	0.2	..
Guinea-Bissau	..	..
Guyana	0.7	0.9
Haiti	..	..
Honduras	0.7	0.5
Hungary	2.8	2.4
Iceland	2.8	2.2
India	5.3	5.3
Indonesia	3.4	3.5
Iran, Islamic Rep.	1.7	1.5
Iraq	..	..
Ireland	1.6	1.1
Isle of Man	..	..
Israel	1.8	1.3
Italy	4.8	4.7
Jamaica	0.5	0.3
Japan	8.2	6.3
Jordan	2.3	1.8
Kazakhstan	1.2	2.6
