Country	Male	Female
Afghanistan	130	90
Albania	107	111
Algeria	102	102
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	97	100
Argentina	106	106
Armenia	91	93
Aruba	..	..
Australia	..	..
Austria	101	101
Azerbaijan	95	95
Bahamas, The	83	84
Bahrain	89	90
Bangladesh	102	109
Barbados	98	99
Belarus	94	94
Belgium	97	98
Belize	99	98
Benin	150	144
Bermuda	..	..
Bhutan	106	105
Bolivia	99	99
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	100	101
Bulgaria	91	91
Burkina Faso	114	108
Burundi	129	127
Cabo Verde	99	98
Cambodia	107	102
Cameroon	123	110
Canada	..	..
Cayman Islands	..	..
Central African Republic	140	116
Chad	121	97
Channel Islands	..	..
Chile	100	99
China	102	103
Hong Kong SAR, China	111	117
Macao SAR, China	94	96
Colombia	116	111
Comoros	95	102
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	110	111
Cote d'Ivoire	105	99
Croatia	97	98
Cuba	104	105
Curacao	..	..
Cyprus	96	98
Czech Republic	100	101
Denmark	98	99
Djibouti	69	65
Dominica	115	113
Dominican Republic	107	105
Ecuador	103	107
Egypt, Arab Rep.	101	102
El Salvador	98	95
Equatorial Guinea	..	..
Eritrea	78	69
Estonia	95	97
Eswatini	98	95
Ethiopia	..	..
Faroe Islands	..	..
Fiji	113	110
Finland	99	99
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	100	107
Georgia	101	102
Germany	105	105
Ghana	100	101
Greece	99	101
Greenland	..	..
Grenada	98	100
Guam	..	..
Guatemala	106	105
Guinea	123	107
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	91	91
Hungary	98	95
Iceland	101	102
India	101	101
Indonesia	104	101
Iran, Islamic Rep.	105	105
Iraq	..	..
Ireland	94	96
Isle of Man	..	..
Israel	103	105
Italy	97	96
Jamaica	79	79
Japan	..	..
Jordan	82	80
Kazakhstan	98	101
Kenya	96	92
Kiribati	102	102
Korea, Dem. Peopleâ€™s Rep.	93	92
Korea, Rep.	101	100
Kosovo	..	..
Kuwait	86	93
Kyrgyz Republic	107	105
Lao PDR	104	100
Latvia	100	99
Lebanon	..	..
Lesotho	126	114
Liberia	100	99
Libya	..	..
Liechtenstein	91	99
Lithuania	104	104
Luxembourg	106	105
Madagascar	154	157
Malawi	131	130
Malaysia	104	106
Maldives	96	99
Mali	84	76
Malta	106	109
Marshall Islands	81	86
Mauritania	104	106
Mauritius	103	103
Mexico	104	105
Micronesia, Fed. Sts.	..	..
Moldova	94	92
Monaco	..	..
Mongolia	104	100
Montenegro	111	89
Morocco	109	111
Mozambique	174	169
Myanmar	140	131
Namibia	113	114
Nepal	146	148
Netherlands	..	..
New Caledonia	..	..
New Zealand	98	99
Nicaragua	..	..
Niger	79	71
Nigeria	..	..
North Macedonia	105	105
Northern Mariana Islands	..	..
Norway	100	101
Oman	99	102
Pakistan	127	107
Palau	..	..
Panama	92	91
Papua New Guinea	131	124
Paraguay	..	..
Peru	107	106
Philippines	96	93
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	103	108
Romania	87	87
Russian Federation	102	102
Rwanda	131	124
Samoa	114	116
San Marino	90	116
Sao Tome and Principe	91	92
Saudi Arabia	91	92
Senegal	89	100
Serbia	99	100
Seychelles	104	105
Sierra Leone	168	176
Singapore	101	101
Sint Maarten (Dutch part)	..	..
Slovak Republic	97	98
Slovenia	101	102
Solomon Islands	108	108
Somalia	..	..
South Africa	107	100
South Sudan	..	..
Spain	93	94
Sri Lanka	99	98
St. Kitts and Nevis	111	100
St. Lucia	99	107
St. Martin (French part)	..	..
St. Vincent and the Grenadines	115	112
Sudan	88	84
Suriname	93	93
Sweden	102	102
Switzerland	99	102
Syrian Arab Republic	..	..
Tajikistan	107	105
Tanzania	108	110
Thailand	97	97
Timor-Leste	92	87
Togo	144	140
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	105	106
Turkey	96	95
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	79	83
Uganda	139	140
Ukraine	..	..
United Arab Emirates	..	..
United Kingdom	98	98
United States	..	..
Uruguay	100	101
Uzbekistan	103	100
Vanuatu	..	..
Venezuela, RB	96	95
Vietnam	114	117
Virgin Islands (U.S.)	..	..
West Bank and Gaza	99	101
Yemen, Rep.	107	99
Zambia	105	110
Zimbabwe	..	..
World	107	104
East Asia & Pacific	104	103
Europe & Central Asia	97	97
Latin America & Caribbean	101	100
Middle East & North Africa	103	101
North America	100	102
South Asia	106	104
Sub-Saharan Africa	118	108
Low income	129	119
Lower middle income	105	101
Upper middle income	101	101
High income	99	98
