Country	Population
Afghanistan	38.0
Albania	2.9
Algeria	43.1
American Samoa	0.1
Andorra	0.1
Angola	31.8
Antigua and Barbuda	0.1
Argentina	44.9
Armenia	3.0
Aruba	0.1
Australia	25.4
Austria	8.9
Azerbaijan	10.0
Bahamas, The	0.4
Bahrain	1.6
Bangladesh	163.0
Barbados	0.3
Belarus	9.5
Belgium	11.5
Belize	0.4
Benin	11.8
Bermuda	0.1
Bhutan	0.8
Bolivia	11.5
Bosnia and Herzegovina	3.3
Botswana	2.3
Brazil	211.0
Brunei Darussalam	0.4
Bulgaria	7.0
Burkina Faso	20.3
Burundi	11.5
Cambodia	16.5
Cameroon	25.9
Canada	37.6
Cabo Verde	0.5
Cayman Islands	0.1
Central African Republic	4.7
Chad	15.9
Channel Islands	0.2
Chile	19.0
China	1,397.7
Hong Kong SAR, China	7.5
Macao SAR, China	0.6
Colombia	50.3
Comoros	0.9
Congo, Dem. Rep.	86.8
Congo, Rep.	5.4
Costa Rica	5.0
Cote d'Ivoire	25.7
Croatia	4.1
Cuba	11.3
Curacao	0.2
Cyprus	1.2
Czech Republic	10.7
Denmark	5.8
Djibouti	1.0
Dominica	0.1
Dominican Republic	10.7
Ecuador	17.4
Egypt, Arab Rep.	100.4
El Salvador	6.5
Equatorial Guinea	1.4
Eritrea	..
Estonia	1.3
Eswatini	1.1
Ethiopia	112.1
Faroe Islands	0.0
Fiji	0.9
Finland	5.5
France	67.1
French Polynesia	0.3
Gabon	2.2
Gambia, The	2.3
Georgia	3.7
Germany	83.1
Ghana	30.4
Greece	10.7
Greenland	0.1
Grenada	0.1
Guam	0.2
Guatemala	16.6
Guinea	12.8
Guinea-Bissau	1.9
Guyana	0.8
Haiti	11.3
Honduras	9.7
Hungary	9.8
Iceland	0.4
India	1,366.4
Indonesia	270.6
Iran, Islamic Rep.	82.9
Iraq	39.3
Ireland	4.9
Isle of Man	0.1
Israel	9.1
Italy	60.3
Jamaica	2.9
Japan	126.3
Jordan	10.1
Kazakhstan	18.5
Kenya	52.6
Kiribati	0.1
Korea, Dem. People’s Rep.	25.7
Korea, Rep.	51.7
Kosovo	1.8
Kuwait	4.2
Kyrgyz Republic	6.5
Lao PDR	7.2
Latvia	1.9
Lebanon	6.9
Lesotho	2.1
Liberia	4.9
Libya	6.8
Liechtenstein	0.0
Lithuania	2.8
Luxembourg	0.6
Madagascar	27.0
Malawi	18.6
Malaysia	31.9
Maldives	0.5
Mali	19.7
Malta	0.5
Marshall Islands	0.1
Mauritania	4.5
Mauritius	1.3
Mexico	127.6
Micronesia, Fed. Sts.	0.1
Moldova	2.7
Monaco	0.0
Mongolia	3.2
Montenegro	0.6
Morocco	36.5
Mozambique	30.4
Myanmar	54.0
Namibia	2.5
Nauru	0.0
Nepal	28.6
Netherlands	17.3
New Caledonia	0.3
New Zealand	4.9
Nicaragua	6.5
Niger	23.3
Nigeria	201.0
North Macedonia	2.1
Northern Mariana Islands	0.1
Norway	5.3
Oman	5.0
Pakistan	216.6
Palau	0.0
Panama	4.2
Papua New Guinea	8.8
Paraguay	7.0
Peru	32.5
Philippines	108.1
Poland	38.0
Portugal	10.3
Puerto Rico	3.2
Qatar	2.8
Romania	19.4
Russian Federation	144.4
Rwanda	12.6
Samoa	0.2
San Marino	0.0
Sao Tome and Principe	0.2
Saudi Arabia	34.3
Senegal	16.3
Serbia	6.9
Seychelles	0.1
Sierra Leone	7.8
Singapore	5.7
Sint Maarten (Dutch part)	0.0
Slovak Republic	5.5
Slovenia	2.1
Solomon Islands	0.7
Somalia	15.4
South Africa	58.6
South Sudan	11.1
Spain	47.1
Sri Lanka	21.8
St. Kitts and Nevis	0.1
St. Lucia	0.2
St. Martin (French part)	0.0
St. Vincent and the Grenadines	0.1
Sudan	42.8
Suriname	0.6
Sweden	10.3
Switzerland	8.6
Syrian Arab Republic	17.1
Tajikistan	9.3
Tanzania	58.0
Thailand	69.6
Timor-Leste	1.3
Togo	8.1
Tonga	0.1
Trinidad and Tobago	1.4
Tunisia	11.7
Turkey	83.4
Turkmenistan	5.9
Turks and Caicos Islands	0.0
Tuvalu	0.0
Uganda	44.3
Ukraine	44.4
United Arab Emirates	9.8
United Kingdom	66.8
United States	328.2
Uruguay	3.5
Uzbekistan	33.6
Vanuatu	0.3
Venezuela, RB	28.5
Vietnam	96.5
Virgin Islands (U.S.)	0.1
West Bank and Gaza	4.7
Yemen, Rep.	29.2
Zambia	17.9
Zimbabwe	14.6
World	7,673.5
East Asia & Pacific	2,340.6
Europe & Central Asia	921.1
Latin America & Caribbean	646.4
Middle East & North Africa	456.7
North America	365.9
South Asia	1,835.8
Sub-Saharan Africa	1,107.0
Low income	668.5
Lower middle income	2,913.4
Upper middle income	2,855.9
High income	1,235.9
