Country	% (2000)	% (2018)
Afghanistan	78	75
Albania	58	40
Algeria	40	27
American Samoa	11	13
Andorra	8	12
Angola	50	34
Antigua and Barbuda	68	75
Argentina	11	8
Armenia	35	37
Aruba	53	57
Australia	16	14
Austria	40	42
Azerbaijan	49	44
Bahamas, The	18	17
Bahrain	12	11
Bangladesh	76	63
Barbados	66	69
Belarus	30	21
Belgium	3	2
Belize	55	54
Benin	62	53
Bermuda	0	0
Bhutan	75	59
Bolivia	38	31
Bosnia and Herzegovina	58	52
Botswana	47	31
Brazil	19	13
Brunei Darussalam	29	22
Bulgaria	31	25
Burkina Faso	82	71
Burundi	92	87
Cabo Verde	47	34
Cambodia	81	77
Cameroon	54	44
Canada	21	19
Cayman Islands	0	0
Central African Republic	62	59
Chad	78	77
Channel Islands	70	69
Chile	14	12
China	64	41
Hong Kong SAR, China	0	0
Macao SAR, China	0	0
Colombia	26	19
Comoros	72	71
Congo, Dem. Rep.	65	56
Congo, Rep.	41	33
Costa Rica	41	21
Cote d'Ivoire	57	49
Croatia	47	43
Cuba	25	23
Curacao	9	11
Cyprus	31	33
Czech Republic	26	26
Denmark	15	12
Djibouti	23	22
Dominica	35	30
Dominican Republic	38	19
Ecuador	40	36
Egypt, Arab Rep.	57	57
El Salvador	41	28
Equatorial Guinea	51	28
Eritrea	73	..
Estonia	31	31
Eswatini	77	76
Ethiopia	85	79
Faroe Islands	64	58
Fiji	52	44
Finland	18	15
France	24	20
French Polynesia	44	38
Gabon	21	11
Gambia, The	52	39
Georgia	47	41
Germany	25	23
Ghana	56	44
Greece	27	21
Greenland	18	13
Grenada	64	64
Guam	7	5
Guatemala	55	49
Guinea	69	64
Guinea-Bissau	64	57
Guyana	71	73
Haiti	64	45
Honduras	55	43
Hungary	35	29
Iceland	8	6
India	72	66
Indonesia	58	45
Iran, Islamic Rep.	36	25
Iraq	32	30
Ireland	41	37
Isle of Man	48	47
Israel	9	8
Italy	33	30
Jamaica	48	44
Japan	21	8
Jordan	22	9
Kazakhstan	44	43
Kenya	80	73
Kiribati	57	46
Korea, Dem. Peopleâ€™s Rep.	41	38
Korea, Rep.	20	19
Kosovo	..	..
Kuwait	1	0
Kyrgyz Republic	65	64
Lao PDR	78	65
Latvia	32	32
Lebanon	14	11
Lesotho	80	72
Liberia	56	49
Libya	24	20
Liechtenstein	85	86
Lithuania	33	32
Luxembourg	16	9
North Macedonia	41	42
Madagascar	73	63
Malawi	85	83
Malaysia	38	24
Maldives	72	60
Mali	72	58
Malta	8	5
Marshall Islands	31	23
Mauritania	62	46
Mauritius	57	59
Mexico	25	20
Micronesia, Fed. Sts.	78	77
Moldova	55	57
Monaco	0	0
Mongolia	43	32
Montenegro	41	33
Morocco	47	38
Mozambique	71	64
Myanmar	73	69
Namibia	68	50
Nepal	87	80
Netherlands	23	9
New Caledonia	38	29
New Zealand	14	13
Nicaragua	45	41
Niger	84	84
Nigeria	65	50
Northern Mariana Islands	10	8
Norway	24	18
Oman	28	15
Pakistan	67	63
Palau	30	20
Panama	38	32
Papua New Guinea	87	87
Paraguay	45	38
Peru	27	22
Philippines	54	53
Poland	38	40
Portugal	46	35
Puerto Rico	6	6
Qatar	4	1
Romania	47	46
Russian Federation	27	26
Rwanda	85	83
Samoa	78	82
San Marino	7	3
Sao Tome and Principe	47	27
Saudi Arabia	20	16
Senegal	60	53
Serbia	47	44
Seychelles	50	43
Sierra Leone	64	58
Singapore	0	0
Sint Maarten (Dutch part)	0	0
Slovak Republic	44	46
Slovenia	49	45
Solomon Islands	84	76
Somalia	67	55
South Africa	43	34
South Sudan	83	80
Spain	24	20
Sri Lanka	82	82
St. Kitts and Nevis	67	69
St. Lucia	72	81
St. Martin (French part)	..	..
St. Vincent and the Grenadines	55	48
Sudan	68	65
Suriname	34	34
Sweden	16	13
Switzerland	27	26
Syrian Arab Republic	48	46
Tajikistan	73	73
Tanzania	78	66
Thailand	69	50
Timor-Leste	76	69
Togo	67	58
Tonga	77	77
Trinidad and Tobago	44	47
Tunisia	37	31
Turkey	35	25
Turkmenistan	54	48
Turks and Caicos Islands	15	7
Tuvalu	54	38
Uganda	85	76
Ukraine	33	31
United Arab Emirates	20	13
United Kingdom	21	17
United States	21	18
Uruguay	8	5
Uzbekistan	54	50
Vanuatu	78	75
Venezuela, RB	12	12
Vietnam	76	64
Virgin Islands (U.S.)	7	4
West Bank and Gaza	28	24
Yemen, Rep.	74	63
Zambia	65	56
Zimbabwe	66	68
World	53	45
East Asia & Pacific	59	41
Europe & Central Asia	31	28
Latin America & Caribbean	25	19
Middle East & North Africa	41	35
North America	21	18
South Asia	73	66
Sub-Saharan Africa	69	60
Low income	73	67
Lower middle income	68	61
Upper middle income	50	34
High income	24	19
