Country	Total	Women's share of population ages 15+ living with HIV	Youth, Male	Youth, Female
Afghanistan	0.1	29	0.1	0.1
Albania	0.1	23	0.1	0.1
Algeria	0.1	46	0.1	0.1
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	1.9	70	0.4	1.2
Antigua and Barbuda	..	..	..	..
Argentina	0.4	32	0.1	0.1
Armenia	0.2	35	0.1	0.1
Aruba	..	..	..	..
Australia	0.1	12	0.1	0.1
Austria	..	..	..	..
Azerbaijan	0.1	34	0.1	0.1
Bahamas, The	..	..	..	..
Bahrain	..	..	..	..
Bangladesh	..	..	..	..
Barbados	0.8	43	0.1	0.1
Belarus	0.5	45	0.1	0.1
Belgium	..	..	..	..
Belize	..	..	..	..
Benin	1	61	0.2	0.4
Bermuda	..	..	..	..
Bhutan	..	..	..	..
Bolivia	0.2	31	0.1	0.1
Bosnia and Herzegovina	..	..	..	..
Botswana	20.7	57	5	9.3
Brazil	0.5	..	..	..
Brunei Darussalam	..	..	..	..
Bulgaria	0.1	20	0.1	0.1
Burkina Faso	0.7	61	0.3	0.4
Burundi	1	60	0.4	0.6
Cabo Verde	0.6	54	0.1	0.2
Cambodia	0.5	52	0.1	0.1
Cameroon	3.1	67	0.6	1.4
Canada	..	..	..	..
Cayman Islands	..	..	..	..
Central African Republic	3.5	60	0.9	1.4
Chad	1.2	61	0.4	0.6
Channel Islands	..	..	..	..
Chile	0.5	18	0.2	0.1
China	..	..	..	..
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	0.5	25	0.1	0.1
Comoros	0.1	43	0.1	0.1
Congo, Dem. Rep.	0.8	73	0.2	0.5
Congo, Rep.	3.1	68	0.6	2.2
Costa Rica	0.4	28	0.1	0.1
Cote d'Ivoire	2.4	66	0.6	1.1
Croatia	0.1	..	..	..
Cuba	0.4	18	0.1	0.1
Curacao	..	..	..	..
Cyprus	..	..	..	..
Czech Republic	..	..	..	..
Denmark	..	..	..	..
Djibouti	0.8	56	0.4	0.4
Dominica	..	..	..	..
Dominican Republic	0.9	48	0.3	0.3
Ecuador	0.4	31	0.1	0.1
Egypt, Arab Rep.	0.1	30	0.1	0.1
El Salvador	0.5	37	0.1	0.1
Equatorial Guinea	7.2	52	1.6	3.1
Eritrea	0.6	59	0.2	0.3
Estonia	..	..	..	..
Eswatini	27	63	4.1	12.3
Ethiopia	0.9	63	0.3	0.4
Faroe Islands	..	..	..	..
Fiji	0.2	32	0.1	0.1
Finland	..	..	..	..
France	0.3	..	..	..
French Polynesia	..	..	..	..
Gabon	03.05	68	0.5	01.05
Gambia, The	1.9	61	0.2	0.6
Georgia	0.4	32	0.1	0.1
Germany	..	..	..	..
Ghana	1.7	66	0.3	1
Greece	..	..	..	..
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	0.3	41	0.1	0.1
Guinea	1.4	67	0.4	0.8
Guinea-Bissau	3.4	63	0.7	1.2
Guyana	1.4	49	0.2	0.3
Haiti	1.9	58	0.4	0.9
Honduras	0.3	39	0.1	0.1
Hungary	..	..	..	..
Iceland	..	..	..	..
India	..	..	..	..
Indonesia	..	..	..	..
Iran, Islamic Rep.	0.1	27	0.1	0.1
Iraq	..	..	..	..
Ireland	0.2	29	0.1	0.1
Isle of Man	..	..	..	..
Israel	..	..	..	..
Italy	0.2	29	0.1	0.1
Jamaica	1.4	36	0.4	0.3
Japan	..	..	..	..
Jordan	..	..	..	..
Kazakhstan	0.3	33	0.1	0.1
Kenya	4.5	63	1.3	2.4
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	..	..	..	..
Kosovo	..	..	..	..
Kuwait	..	..	..	..
Kyrgyz Republic	0.2	34	0.1	0.1
Lao PDR	0.3	44	0.1	0.1
Latvia	0.5	31	0.1	0.1
Lebanon	0.1	15	0.1	0.1
Lesotho	22.8	59	4.5	10.1
Liberia	1.5	59	0.6	1
Libya	0.2	30	0.1	0.1
Liechtenstein	..	..	..	..
Lithuania	0.2	25	0.1	0.1
Luxembourg	..	..	..	..
Madagascar	0.3	47	0.1	0.1
Malawi	8.9	60	2.1	4.2
Malaysia	0.4	17	0.3	0.1
Maldives	..	..	..	..
Mali	1.2	64	0.4	0.8
Malta	..	..	..	..
Marshall Islands	..	..	..	..
Mauritania	0.2	51	0.1	0.1
Mauritius	1.2	30	0.3	0.2
Mexico	..	..	..	..
Micronesia, Fed. Sts.	..	..	..	..
Moldova	0.7	38	0.2	0.1
Monaco	..	..	..	..
Mongolia	0.1	19	0.1	0.1
Montenegro	0.1	12	0.1	0.1
Morocco	0.1	43	0.1	0.1
Mozambique	12.4	62	2.8	7.1
