Country	2018
Afghanistan	42.2
Albania	6
Algeria	77.2
American Samoa	..
Andorra	..
Angola	24.3
Antigua and Barbuda	..
Argentina	..
Armenia	40.2
Aruba	..
Australia	..
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	72.6
Barbados	..
Belarus	..
Belgium	..
Belize	65.9
Benin	25.9
Bermuda	..
Bhutan	..
Bolivia	50.3
Bosnia and Herzegovina	..
Botswana	..
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	55.4
Burundi	39.4
Cabo Verde	..
Cambodia	56.4
Cameroon	38.1
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	17.6
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	86.3
Comoros	..
Congo, Dem. Rep.	16.3
Congo, Rep.	38.5
Costa Rica	..
Cote d'Ivoire	39.4
Croatia	..
Cuba	88.3
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	84
Ecuador	..
Egypt, Arab Rep.	80
El Salvador	81.5
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	80.5
Ethiopia	62.3
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	23.8
Georgia	..
Germany	..
Ghana	46.2
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	65.6
Guinea	32.1
Guinea-Bissau	37.5
Guyana	52.5
Haiti	44
Honduras	..
Hungary	..
Iceland	..
India	71.9
Indonesia	77.1
Iran, Islamic Rep.	..
Iraq	54.6
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	56.7
Kazakhstan	81.8
Kenya	78.5
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	89.8
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	65.4
Lao PDR	..
Latvia	..
Lebanon	..
Lesotho	76.1
Liberia	37.2
Libya	24
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	60.5
Malawi	74.6
Malaysia	..
Maldives	29.8
Mali	39.9
Malta	..
Marshall Islands	..
Mauritania	30.4
Mauritius	40.8
Mexico	81.5
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	67
Montenegro	34
Morocco	68.6
Mozambique	45.2
Myanmar	74.9
Namibia	75
Nepal	56
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	45.5
Nigeria	33.9
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	39.6
Pakistan	48.6
Palau	..
Panama	74.4
Papua New Guinea	48.7
Paraguay	82.5
Peru	66.6
Philippines	56.9
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	65.8
Samoa	39.4
San Marino	..
Sao Tome and Principe	51
Saudi Arabia	..
Senegal	53
Serbia	25.1
Seychelles	..
Sierra Leone	44.7
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	38
Somalia	..
South Africa	77.8
South Sudan	..
Spain	..
Sri Lanka	74.3
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	30.1
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	52.1
Tanzania	52.9
Thailand	89.3
Timor-Leste	46.9
Togo	32.3
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	59.7
Turkmenistan	75.6
Turks and Caicos Islands	..
Tuvalu	..
Uganda	53.5
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	77.2
Uruguay	..
Uzbekistan	..
Vanuatu	50.7
Venezuela, RB	..
Vietnam	69.5
Virgin Islands (U.S.)	..
West Bank and Gaza	64.6
Yemen, Rep.	46.9
Zambia	68.5
Zimbabwe	85.2
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	69.2
Sub-Saharan Africa	52.8
Low income	47.3
Lower middle income	67.1
Upper middle income	..
High income	..
