Country	Equity
Afghanistan	0
Albania	-3
Algeria	..
American Samoa	..
Andorra	..
Angola	0
Antigua and Barbuda	0
Argentina	-508
Armenia	0
Aruba	..
Australia	-7053
Austria	-3814
Azerbaijan	0
Bahamas, The	0
Bahrain	..
Bangladesh	-38
Barbados	..
Belarus	4
Belgium	-5306
Belize	0
Benin	10
Bermuda	-10
Bhutan	0
Bolivia	24
Bosnia and Herzegovina	-2
Botswana	-137
Brazil	-3062
Brunei Darussalam	0
Bulgaria	109
Burkina Faso	31
Burundi	..
Cabo Verde	0
Cambodia	0
Cameroon	0
Canada	20136
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	-1557
China	60668
Hong Kong SAR, China	-2397
Macao SAR, China	6
Colombia	-823
Comoros	..
Congo, Dem. Rep.	-7
Congo, Rep.	..
Costa Rica	44
Cote d'Ivoire	15
Croatia	34
Cuba	..
Curacao	0
Cyprus	2192
Czech Republic	110
Denmark	-11349
Djibouti	..
Dominica	0
Dominican Republic	0
Ecuador	6
Egypt, Arab Rep.	220
El Salvador	0
Equatorial Guinea	..
Eritrea	..
Estonia	-76
Ethiopia	..
Faroe Islands	..
Fiji	..
Finland	10972
France	-20683
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	4
Germany	-41983
Ghana	..
Greece	-173
Greenland	..
Grenada	0
Guam	..
Guatemala	0
Guinea	0
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	..
Hungary	83
Iceland	145
India	-4361
Indonesia	-3668
Iran, Islamic Rep.	..
Iraq	9
Ireland	150919
Isle of Man	..
Israel	-8380
Italy	-5364
Jamaica	181
Japan	-41679
Jordan	41
Kazakhstan	-1520
Kenya	..
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	-6302
Kosovo	0
Kuwait	410
Kyrgyz Republic	0
Lao PDR	2
Latvia	-1
Lebanon	-190
Lesotho	0
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	-10
Luxembourg	238688
North Macedonia	-34
Madagascar	0
Malawi	..
Malaysia	-1143
Maldives	32
Mali	-1
Malta	183
Marshall Islands	..
Mauritania	..
Mauritius	-2269
Mexico	2421
Micronesia, Fed. Sts.	..
Moldova	-1
Monaco	..
Mongolia	-7
Montenegro	0
Morocco	-184
Mozambique	0
Myanmar	0
Namibia	2
Nepal	..
Netherlands	-53997
New Caledonia	..
New Zealand	1654
Nicaragua	..
Niger	21
Nigeria	2206
Northern Mariana Islands	..
Norway	999
Oman	-858
Pakistan	-528
Palau	..
Panama	0
Papua New Guinea	0
Paraguay	..
Peru	-442
Philippines	-1031
Poland	876
Portugal	-189
Puerto Rico	..
Qatar	2267
Romania	-479
Russian Federation	-4164
Rwanda	6
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	..
Senegal	15
Serbia	-28
Seychelles	2
Sierra Leone	..
Singapore	-3654
Sint Maarten (Dutch part)	0
Slovak Republic	19
Slovenia	615
Solomon Islands	0
Somalia	..
South Africa	2946
South Sudan	..
Spain	-15606
Sri Lanka	-4
St. Kitts and Nevis	0
St. Lucia	3
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	..
Suriname	0
Eswatini	..
Sweden	46
Switzerland	-19430
Syrian Arab Republic	..
Tajikistan	0
Tanzania	4
Thailand	-7101
Timor-Leste	0
Togo	-184
Tonga	0
Trinidad and Tobago	0
Tunisia	-41
Turkey	-1131
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	66
Ukraine	-9
United Arab Emirates	..
United Kingdom	5585
United States	142397
Uruguay	19
Uzbekistan	13
Vanuatu	..
Venezuela, RB	..
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	47
Yemen, Rep.	..
Zambia	-5
Zimbabwe	..
World	364530
East Asia & Pacific	-11706
Europe & Central Asia	226062
Latin America & Caribbean	-3694
Middle East & North Africa	-6476
North America	162523
South Asia	-4899
Sub-Saharan Africa	2720
Low income	-69
Lower middle income	-3654
Upper middle income	42513
High income	325740
