Country	% Total	% Urban	% Rural
Afghanistan	..	..	..
Albania	7.1	2.4	4.7
Algeria	0.8	0.6	0.2
American Samoa	3.3	2	1.3
Andorra	..	..	..
Angola	1.4	1.2	0.2
Antigua and Barbuda	11.8	8.6	3.2
Argentina	3	2.1	1
Armenia	..	..	..
Aruba	7.1	4.7	2.4
Australia	4.5	3.6	0.9
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	20.3	11.8	8.5
Bahrain	34.3	24.3	9.9
Bangladesh	8.9	1.8	7.1
Barbados	0.7	0.5	0.2
Belarus	0	0	0
Belgium	11.2	10	1.2
Belize	20.5	13.1	7.5
Benin	11.9	8.4	3.4
Bermuda	11.9	4.5	7.3
Bhutan	..	..	..
Bolivia	..	..	..
Bosnia and Herzegovina	0.1	0.1	0.1
Botswana	..	..	..
Brazil	2.6	2	0.5
Brunei Darussalam	1.6	1.1	0.5
Bulgaria	0.7	0.6	0.1
Burkina Faso	..	..	..
Burundi	..	..	..
Cambodia	7.2	0.7	6.5
Cameroon	0.5	0.3	0.2
Canada	2.2	1.9	0.4
Cabo Verde	5.6	3.7	2
Cayman Islands	12.1	10.5	1.6
Central African Republic	..	..	..
Chad	..	..	..
Channel Islands	..	..	..
Chile	0.4	0.2	0.1
China	6.6	4.2	2.4
Hong Kong SAR, China	10.3	5.9	4.4
Macao SAR, China	39.6	23.3	16.3
Colombia	1.2	0.8	0.4
Comoros	0.7	0.1	0.6
Congo, Dem. Rep.	0	0	0
Congo, Rep.	0.5	0.4	0.1
Costa Rica	0.4	0.1	0.2
Cote d'Ivoire	3.8	3.5	0.2
Croatia	1.8	1	0.9
Cuba	2.9	1.4	1.5
Curacao	..	..	..
Cyprus	5.6	5.1	0.6
Czech Republic	..	..	..
Denmark	16.3	11.1	5.2
Djibouti	12.4	11.4	1
Dominica	1	0.5	0.5
Dominican Republic	1.2	0.5	0.7
Ecuador	5.2	3.8	1.4
Egypt, Arab Rep.	21.5	9.3	12.3
El Salvador	0.5	0.1	0.4
Equatorial Guinea	0.9	0.6	0.4
Eritrea	0.8	0.2	0.6
Estonia	2.9	2.1	0.8
Eswatini	0	0	0
Ethiopia	0	0	0
Faroe Islands	6.8	2.3	4.5
Fiji	4.9	3	1.9
Finland	1.9	1.5	0.3
France	2.9	2.2	0.7
French Polynesia	5	0.3	4.7
Gabon	4.9	3.6	1.3
Gambia, The	23.5	15.2	8.4
Georgia	2.8	1.8	1
Germany	4	3	1
Ghana	2.6	1.8	0.8
Greece	4.5	2.9	1.6
Greenland	46.5	20.7	25.7
Grenada	1.9	0.5	1.4
Guam	1.2	0.6	0.6
Guatemala	0.2	0	0.2
Guinea	6	5	1
Guinea-Bissau	15.3	3.3	12
Guyana	27.9	10.7	17.2
Haiti	1.9	0.8	1
Honduras	0.9	0.2	0.7
Hungary	..	..	..
Iceland	7.6	3	4.6
India	2.7	1.1	1.5
Indonesia	7.4	3.8	3.6
Iran, Islamic Rep.	1.3	0.8	0.5
Iraq	5.8	2.7	3.1
Ireland	4.8	3.4	1.4
Isle of Man	3.5	1.4	2.2
Israel	1.6	1.2	0.3
Italy	5.7	4.2	1.5
Jamaica	3.6	2.3	1.3
Japan	12.6	11.9	0.7
Jordan	0	0	0
Kazakhstan	..	..	..
Kenya	0.4	0.1	0.3
Kiribati	20.6	1.7	18.8
Korea, Dem. Peopleâ€™s Rep.	5.1	2.2	3
Korea, Rep.	3	2	1
Kosovo	..	..	..
Kuwait	17.4	3.4	14
Kyrgyz Republic	..	..	..
Lao PDR	0	0	0
Latvia	17.3	16.6	0.7
Lebanon	4.1	2.2	1.9
Lesotho	..	..	..
Liberia	6.4	4.4	1.9
Libya	6.2	5.6	0.6
Liechtenstein	..	..	..
Lithuania	2.9	2.2	0.6
Luxembourg	0	0	0
North Macedonia	0	0	0
Madagascar	1.7	0.6	1.1
Malawi	0	0	0
Malaysia	5.1	3.1	2
Maldives	48.2	0	48.2
Mali	0	0	0
Malta	2.3	1.3	0.9
Marshall Islands	35.9	0	35.9
Mauritania	19.1	5.6	13.6
Mauritius	1.4	0.7	0.7
Mexico	1.6	0.8	0.8
Micronesia, Fed. Sts.	8.4	2.9	5.5
Moldova	0.6	0.3	0.3
Monaco	25.3	22.2	3.1
Mongolia	..	..	..
Montenegro	..	..	..
Morocco	1.4	1.1	0.3
Mozambique	5.2	2.8	2.4
Myanmar	11	2.9	8.1
Namibia	1.1	0.9	0.1
Nepal	..	..	..
Netherlands	58.5	48.9	9.6
New Caledonia	14	8.2	5.8
New Zealand	4.2	3.3	1
Nicaragua	0.9	0.3	0.6
Niger	..	..	..
Nigeria	2.7	2	0.7
Northern Mariana Islands	1.9	0.3	1.6
Norway	3.9	2.3	1.6
Oman	5.7	4.8	0.8
Pakistan	1.1	0.6	0.4
Palau	3.5	1.1	2.4
Panama	3	1.6	1.4
Papua New Guinea	0.5	0.1	0.3
Paraguay	..	..	..
Peru	0.9	0.7	0.3
Philippines	5.7	2.4	3.3
Poland	1.7	1.1	0.6
Portugal	3.6	2.4	1.3
Puerto Rico	8.9	8.4	0.5
Qatar	12.8	10.3	2.5
Romania	2	1.4	0.5
Russian Federation	1.2	0.9	0.3
Rwanda	..	..	..
Samoa	1.4	1.1	0.3
San Marino	0	0	0
Sao Tome and Principe	1.3	1.1	0.2
Saudi Arabia	5.2	4.6	0.6
Senegal	10.1	5.8	4.2
Serbia	..	..	..
Seychelles	16.6	2.5	14.2
Sierra Leone	3.8	0.9	2.9
Singapore	10.3	5.7	4.7
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	0.8	0.7	0.1
Solomon Islands	2.9	1	1.8
Somalia	2.5	1.3	1.2
South Africa	0.2	0.1	0.1
South Sudan	..	..	..
Spain	4.4	3.5	0.9
Sri Lanka	3	1.4	1.5
St. Kitts and Nevis	3.9	2	1.9
St. Lucia	1.6	0.9	0.7
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	3.7	0.7	3.1
Sudan	0.3	0.2	0.1
Suriname	56.2	51.6	4.6
Sweden	3.7	2.6	1.1
Switzerland	0	0	0
Syrian Arab Republic	0.1	0	0.1
Tajikistan	..	..	..
Tanzania	0.7	0.3	0.4
Thailand	10.3	6.3	4.1
Timor-Leste	0.9	0.1	0.8
Togo	3.6	3.4	0.2
Tonga	7.5	2.9	4.6
Trinidad and Tobago	2.9	2	0.9
Tunisia	8.5	7	1.5
Turkey	1.8	1.2	0.6
Turkmenistan	..	..	..
Turks and Caicos Islands	48.4	12.9	35.4
Tuvalu	47.5	0	47.5
Uganda	..	..	..
Ukraine	1.8	1.3	0.5
United Arab Emirates	14.8	13.2	1.6
United Kingdom	5.3	4.2	1.1
United States	2.5	2.3	0.2
Uruguay	4.1	3.3	0.8
Uzbekistan	..	..	..
Vanuatu	1.2	0.4	0.8
Venezuela, RB	2.5	1.8	0.7
Vietnam	37	7.3	29.6
Virgin Islands (U.S.)	5.4	2.9	2.5
West Bank and Gaza	0.6	0.3	0.3
Yemen, Rep.	1.6	0.9	0.7
Zambia	..	..	..
Zimbabwe	..	..	..
World	5	2.8	2.2
East Asia & Pacific	8.3	4.6	3.7
Europe & Central Asia	4.4	3.4	1
Latin America & Caribbean	2.2	1.5	0.7
Middle East & North Africa	7.1	3.7	3.4
North America	2.5	2.2	0.3
South Asia	3.1	1.1	1.9
Sub-Saharan Africa	1.9	1.2	0.7
Low income	1.5	0.8	0.7
Lower middle income	5	1.8	3.2
Upper middle income	5.1	3.2	1.9
High income	5.7	4.8	1
