Country	$ (2010)	$ (2019)
Afghanistan	1057	1160
Albania	1987	2283
Algeria	11489	10837
American Samoa	..	..
Andorra	..	..
Angola	16028	8008
Antigua and Barbuda	214	511
Argentina	14265	19168
Armenia	1252	2282
Aruba	641	969
Australia	50804	70711
Austria	38635	63396
Azerbaijan	3845	6303
Bahamas, The	1101	1682
Bahrain	1905	8077
Bangladesh	4122	9526
Barbados	651	661
Belarus	3019	5823
Belgium	87758	120193
Belize	154	213
Benin	503	762
Bermuda	995	1021
Bhutan	135	235
Bolivia	1125	2875
Bosnia and Herzegovina	533	738
Botswana	823	1180
Brazil	57813	67088
Brunei Darussalam	1269	1777
Bulgaria	3410	6393
Burkina Faso	818	1497
Burundi	156	216
Cabo Verde	297	349
Cambodia	996	3170
Cameroon	1718	2641
Canada	97240	115163
Cayman Islands	..	1227
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	12380	13852
China	139787	501827
Hong Kong SAR, China	70247	79007
Macao SAR, China	2479	4881
Colombia	9554	13585
Comoros	93	105
Congo, Dem. Rep.	2497	2665
Congo, Rep.	3299	2201
Costa Rica	1869	4141
Cote d'Ivoire	2742	3308
Croatia	4055	5456
Cuba	..	..
Curacao	820	1080
Cyprus	5270	8491
Czech Republic	17776	25539
Denmark	55011	71039
Djibouti	104	556
Dominica	65	165
Dominican Republic	2457	3721
Ecuador	2941	3938
Egypt, Arab Rep.	12991	20415
El Salvador	1054	1977
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2927	5610
Eswatini	652	168
Ethiopia	2538	6129
Faroe Islands	366	..
Fiji	443	778
Finland	27507	36383
France	180890	262740
French Polynesia	594	383
Gabon	1744	..
Gambia, The	77	101
Georgia	1003	2360
Germany	262799	367806
Ghana	2444	8960
Greece	20074	21102
Greenland	..	..
Grenada	89	241
Guam	..	..
Guatemala	2401	3569
Guinea	387	800
Guinea-Bissau	101	165
Guyana	344	1013
Haiti	731	1143
Honduras	1143	2388
Hungary	15943	20968
Iceland	2185	3670
India	78211	129526
Indonesia	25971	39335
Iran, Islamic Rep.	..	..
Iraq	9606	22662
Ireland	107277	319611
Isle of Man	..	..
Israel	18436	30877
Italy	111468	122537
Jamaica	1767	2451
Japan	163109	204371
Jordan	4312	4662
Kazakhstan	11198	11297
Kenya	1890	2847
Kiribati	43	56
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	95969	129172
Kosovo	518	812
Kuwait	14323	30811
Kyrgyz Republic	792	946
Lao PDR	258	1148
Latvia	2299	3484
Lebanon	13010	14225
Lesotho	410	436
Liberia	342	200
Libya	5251	4528
Liechtenstein	..	..
Lithuania	2932	7665
Luxembourg	45567	83973
Madagascar	1103	1142
Malawi	205	307
Malaysia	32400	44308
Maldives	446	1322
Mali	1007	1394
Malta	8434	12283
Marshall Islands	53	52
Mauritania	968	640
Mauritius	1951	2182
Mexico	26712	36130
Micronesia, Fed. Sts.	77	..
Moldova	685	1149
Monaco	..	..
Mongolia	768	3200
Montenegro	421	744
Morocco	5660	9212
Mozambique	1176	2823
Myanmar	754	3372
Namibia	642	534
Nepal	845	1774
Netherlands	134172	175823
New Caledonia	1300	1108
New Zealand	10131	14244
Nicaragua	691	889
Niger	846	1078
Nigeria	19868	38710
North Macedonia	778	1416
Northern Mariana Islands	..	..
Norway	44950	53303
Oman	6364	11651
Pakistan	6551	9438
Palau	42	52
Panama	2709	5001
Papua New Guinea	2738	1617
Paraguay	700	1212
Peru	5900	9722
Philippines	11714	27389
Poland	30900	43618
Portugal	14634	19803
Puerto Rico	..	..
Qatar	15548	33648
Romania	8260	20393
Russian Federation	73226	97669
Rwanda	442	972
Samoa	79	96
San Marino	..	..
Sao Tome and Principe	22	59
Saudi Arabia	50996	51569
Senegal	1077	1643
Serbia	3485	6569
Seychelles	259	679
Sierra Leone	242	390
Singapore	100327	198819
Sint Maarten (Dutch part)	238	330
Slovak Republic	7242	10799
Slovenia	4728	6094
Solomon Islands	180	225
Somalia	..	..
South Africa	19158	15300
South Sudan	..	764
Spain	65464	86261
Sri Lanka	3075	4533
St. Kitts and Nevis	107	244
St. Lucia	200	398
St. Martin (French part)	..	..
St. Vincent and the Grenadines	86	137
Sudan	2406	1063
Suriname	237	721
Sweden	50579	74250
Switzerland	69234	103761
Syrian Arab Republic	3437	..
Tajikistan	407	479
Tanzania	1843	2069
Thailand	41078	58473
Timor-Leste	450	320
Togo	396	464
Tonga	44	105
Trinidad and Tobago	371	2477
Tunisia	3054	2990
Turkey	18507	26813
Turkmenistan	..	..
Turks and Caicos Islands	..	74
Tuvalu	26	..
Uganda	1774	2653
Ukraine	12189	14711
United Arab Emirates	..	..
United Kingdom	184924	278781
United States	377351	571302
Uruguay	1470	4060
Uzbekistan	..	5334
Vanuatu	123	152
Venezuela, RB	13836	9068
Vietnam	9921	18470
Virgin Islands (U.S.)	..	..
West Bank and Gaza	732	1456
Yemen, Rep.	2103	1450
Zambia	849	1473
Zimbabwe	1326	1072
World	3636166	5675501
East Asia & Pacific	802998	1467079
Europe & Central Asia	1749491	2623527
Latin America & Caribbean	179539	233318
Middle East & North Africa	..	..
North America	475585	687528
South Asia	94441	157754
Sub-Saharan Africa	101029	124416
Low income	27362	40117
Lower middle income	230195	371260
Upper middle income	573848	1087529
High income	2804821	4176442
