Country	Primary school-age children, male	Primary school-age children, female
Afghanistan	..	..
Albania	..	..
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	173	62
Argentina	..	..
Armenia	6050	5376
Aruba	..	..
Australia	3862	3169
Austria	477	186
Azerbaijan	12763	12040
Bahamas, The	4451	4082
Bahrain	33	1155
Bangladesh	..	..
Barbados	80	248
Belarus	1198	4346
Belgium	1066	1098
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	4124	3332
Bolivia	47935	47429
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	..	..
Bulgaria	17828	16813
Burkina Faso	335760	353506
Burundi	69832	44430
Cabo Verde	1735	2238
Cambodia	94844	91265
Cameroon	48680	210143
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	221475	453380
Channel Islands	..	..
Chile	15069	18830
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	446	456
Colombia	52032	32218
Comoros	11522	11145
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	6948	6898
Cote d'Ivoire	44066	197509
Croatia	..	..
Cuba	7408	8272
Curacao	..	..
Cyprus	434	320
Czech Republic	..	..
Denmark	..	..
Djibouti	18804	15144
Dominica	..	..
Dominican Republic	34506	31319
Ecuador	..	..
Egypt, Arab Rep.	..	..
El Salvador	50255	45491
Equatorial Guinea	..	..
Eritrea	117424	124564
Estonia	1196	946
Eswatini	17918	17972
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	2287	1900
France	6482	523
French Polynesia	..	..
Gabon	..	..
Gambia, The	39679	25341
Georgia	3577	2369
Germany	12033	2469
Ghana	84794	69192
Greece	4374	3773
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	129292	117083
Guinea	142323	283090
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	114409	99997
Hungary	4803	5183
Iceland	60	83
India	..	..
Indonesia	482011	1073003
Iran, Islamic Rep.	..	..
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	34673	37168
Jamaica	22182	20612
Japan	..	..
Jordan	129267	135554
Kazakhstan	..	..
Kenya	..	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	33524	32711
Kosovo	..	..
Kuwait	6144	1146
Kyrgyz Republic	..	..
Lao PDR	30203	35174
Latvia	1187	667
Lebanon	..	..
Lesotho	4299	3109
Liberia	82261	77218
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	..	..
Maldives	1217	710
Mali	631173	711827
Malta	..	..
Marshall Islands	1215	1036
Mauritania	69108	60060
Mauritius	..	..
Mexico	..	..
Micronesia, Fed. Sts.	..	..
Moldova	7353	6601
Monaco	..	..
Mongolia	..	..
Montenegro	590	507
Morocco	43383	46615
Mozambique	134743	219096
Myanmar	..	..
Namibia	..	..
Nepal	..	..
Netherlands	8082	2934
New Caledonia	..	..
New Zealand	2600	1055
Nicaragua	..	..
Niger	539592	701725
Nigeria	..	..
North Macedonia	659	403
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2336035	3669943
Palau	..	..
Panama	29277	29381
Papua New Guinea	27156	58959
Paraguay	..	..
Peru	..	..
Philippines	209179	215049
Poland	31164	28629
Portugal	184	3478
Puerto Rico	31743	25882
Qatar	2202	309
Romania	64130	62326
Russian Federation	30623	6234
Rwanda	42956	38344
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	1063	1037
Saudi Arabia	63788	69809
Senegal	349071	236447
Serbia	2190	1625
Seychelles	..	..
Sierra Leone	..	..
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	6493	6061
Slovenia	..	..
Solomon Islands	2369	1982
Somalia	..	..
South Africa	369093	198498
South Sudan	..	..
Spain	43541	31428
Sri Lanka	..	..
St. Kitts and Nevis	..	..
St. Lucia	204	18
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	1216359	1226657
Suriname	4961	3640
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	4717	8863
Tanzania	1053124	842001
Thailand	..	..
Timor-Leste	5089	2639
Togo	17695	48733
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	..	..
Turkey	130376	143085
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	65	113
Uganda	..	..
Ukraine	..	..
United Arab Emirates	..	..
United Kingdom	7128	13380
United States	65888	30233
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	166336	158656
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6982	6032
Yemen, Rep.	218703	431199
Zambia	281430	214262
Zimbabwe	..	..
World	26800000	32300000
East Asia & Pacific	2736034	3170772
Europe & Central Asia	810792	645153
Latin America & Caribbean	1252795	1014139
Middle East & North Africa	..	..
North America	35204	66019
South Asia	5640582	6820773
Sub-Saharan Africa	15400000	19300000
Low income	9150818	11600000
Lower middle income	13400000	17000000
Upper middle income	3516734	3053312
High income	703377	626411
