Country	exports (2010)	exports (2019)
Afghanistan	..	10.5
Albania	18	1.7
Algeria	97.3	94.5
American Samoa	..	..
Andorra	0	0
Angola	96.5	92.1
Antigua and Barbuda	0	0
Argentina	8.1	3.7
Armenia	3.1	3.2
Aruba	0.1	0.1
Australia	30.8	24.4
Austria	3.2	2
Azerbaijan	94.5	91.2
Bahamas, The	0	..
Bahrain	74.3	53.4
Bangladesh	1.9	..
Barbados	0	4.7
Belarus	27.5	24.4
Belgium	8.8	7.7
Belize	36.2	4.9
Benin	0	0
Bermuda	6.3	0.1
Bhutan	1.2	..
Bolivia	43.9	40.3
Bosnia and Herzegovina	15	7.9
Botswana	0.4	0.3
Brazil	9.9	13.7
Brunei Darussalam	95.2	95.6
Bulgaria	13.3	8.1
Burkina Faso	0.1	2.4
Burundi	2.3	0
Cabo Verde	0	..
Cambodia	0	0
Cameroon	49.5	42.9
Canada	26.3	25
Cayman Islands	..	..
Central African Republic	0.6	0
Chad	..	..
Channel Islands	..	..
Chile	1	0.9
China	1.7	1.9
Hong Kong SAR, China	3.3	0.1
Macao SAR, China	0	0
Colombia	60.4	60
Comoros	0.1	0
Congo, Dem. Rep.	..	..
Congo, Rep.	67.7	84
Costa Rica	0.6	0
Cote d'Ivoire	24.1	18.4
Croatia	12.3	10.4
Cuba	..	..
Curacao	..	..
Cyprus	0	26.8
Czech Republic	3.7	1.7
Denmark	8.1	4.2
Djibouti	6.5	..
Dominica	0.1	..
Dominican Republic	0.1	0.3
Ecuador	55.3	41.1
Egypt, Arab Rep.	29.8	28.4
El Salvador	3	3.4
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	15.6	7.9
Eswatini	1.2	0.8
Ethiopia	0	0
Faroe Islands	2.8	..
Fiji	0.1	0
Finland	8.2	8.3
France	3.7	3.2
French Polynesia	0	..
Gabon	83.1	..
Gambia, The	0	0
Georgia	5.5	0.7
Germany	2	2.2
Ghana	0.3	47.5
Greece	26.1	31.6
Greenland	0	0
Grenada	0	..
Guam	..	..
Guatemala	4.5	4.6
Guinea	1.5	..
Guinea-Bissau	..	..
Guyana	0	0
Haiti	..	..
Honduras	8.6	0.8
Hungary	2.6	2.6
Iceland	1	1.6
India	16.9	13.6
Indonesia	29.7	23.2
Iran, Islamic Rep.	70.8	70.8
Iraq	99.7	..
Ireland	1.1	0.9
Isle of Man	..	..
Israel	0.9	2.1
Italy	4.7	3
Jamaica	22.7	19.3
Japan	1.7	1.9
Jordan	1.1	1.7
Kazakhstan	72.8	67.1
