Country	Total
Afghanistan	6
Albania	8
Algeria	5
American Samoa	..
Andorra	4
Angola	8
Antigua and Barbuda	6
Argentina	8
Armenia	10
Aruba	9
Australia	6
Austria	10
Azerbaijan	6
Bahamas, The	7
Bahrain	2
Bangladesh	6
Barbados	9
Belarus	13
Belgium	11
Belize	5
Benin	9
Bermuda	8
Bhutan	6
Bolivia	7
Bosnia and Herzegovina	11
Botswana	6
Brazil	6
Brunei Darussalam	4
Bulgaria	15
Burkina Faso	8
Burundi	8
Cabo Verde	6
Cambodia	6
Cameroon	9
Canada	8
Cayman Islands	3
Central African Republic	12
Chad	12
Channel Islands	8
Chile	6
China	7
Hong Kong SAR, China	6
Macao SAR, China	4
Colombia	6
Comoros	7
Congo, Dem. Rep.	9
Congo, Rep.	7
Costa Rica	5
Cote d'Ivoire	10
Croatia	13
Cuba	9
Curacao	9
Cyprus	7
Czech Republic	11
Denmark	10
Djibouti	7
Dominica	..
Dominican Republic	6
Ecuador	5
Egypt, Arab Rep.	6
El Salvador	7
Equatorial Guinea	9
Eritrea	7
Estonia	12
Eswatini	9
Ethiopia	7
Faroe Islands	8
Fiji	8
Finland	10
France	9
French Polynesia	6
Gabon	7
Gambia, The	8
Georgia	13
Germany	12
Ghana	7
Greece	11
Greenland	9
Grenada	10
Guam	5
Guatemala	5
Guinea	8
Guinea-Bissau	10
Guyana	7
Haiti	9
Honduras	4
Hungary	13
Iceland	6
India	7
Indonesia	6
Iran, Islamic Rep.	5
Iraq	5
Ireland	6
Isle of Man	..
Israel	5
Italy	11
Jamaica	8
Japan	11
Jordan	4
Kazakhstan	7
Kenya	5
Kiribati	6
Korea, Dem. Peopleâ€™s Rep.	9
Korea, Rep.	6
Kosovo	7
Kuwait	3
Kyrgyz Republic	5
Lao PDR	6
Latvia	15
Lebanon	4
Lesotho	14
Liberia	8
Libya	5
Liechtenstein	7
Lithuania	14
Luxembourg	7
Madagascar	6
Malawi	7
Malaysia	5
Maldives	3
Mali	10
Malta	8
Marshall Islands	..
Mauritania	7
Mauritius	9
Mexico	6
Micronesia, Fed. Sts.	7
Moldova	12
Monaco	7
Mongolia	6
Montenegro	11
Morocco	5
Mozambique	9
Myanmar	8
Namibia	8
Nepal	6
Netherlands	9
New Caledonia	6
New Zealand	7
Nicaragua	5
Niger	8
Nigeria	12
North Macedonia	10
Northern Mariana Islands	..
Norway	8
Oman	2
Pakistan	7
Palau	8
Panama	5
Papua New Guinea	7
Paraguay	5
Peru	6
Philippines	6
Poland	11
Portugal	11
Puerto Rico	9
Qatar	1
Romania	14
Russian Federation	12
Rwanda	5
Samoa	5
San Marino	7
Sao Tome and Principe	5
Saudi Arabia	3
Senegal	6
Serbia	15
Seychelles	9
Sierra Leone	12
Singapore	5
Sint Maarten (Dutch part)	..
Slovak Republic	10
Slovenia	10
Solomon Islands	4
Somalia	11
South Africa	9
South Sudan	10
Spain	9
Sri Lanka	7
St. Kitts and Nevis	..
St. Lucia	7
St. Martin (French part)	4
St. Vincent and the Grenadines	9
Sudan	7
Suriname	7
Sweden	9
Switzerland	8
Syrian Arab Republic	5
Tajikistan	5
Tanzania	6
Thailand	8
Timor-Leste	6
Togo	8
Tonga	7
Trinidad and Tobago	8
Tunisia	6
Turkey	5
Turkmenistan	7
Turks and Caicos Islands	..
Tuvalu	..
Uganda	7
Ukraine	15
United Arab Emirates	1
United Kingdom	9
United States	9
Uruguay	9
Uzbekistan	5
Vanuatu	5
Venezuela, RB	7
Vietnam	6
Virgin Islands (U.S.)	8
West Bank and Gaza	3
Yemen, Rep.	6
Zambia	6
Zimbabwe	8
World	8
East Asia & Pacific	7
Europe & Central Asia	10
Latin America & Caribbean	6
Middle East & North Africa	5
North America	9
South Asia	7
Sub-Saharan Africa	9
Low income	8
Lower middle income	7
Upper middle income	7
High income	9
