Country	%_2000	%_2018
Afghanistan	14.7	13.9
Albania	16.9	11.2
Algeria	29.7	21.1
American Samoa	..	..
Andorra	..	..
Angola	2.8	7.3
Antigua and Barbuda	..	..
Argentina	16.3	10.5
Armenia	14.5	17.2
Aruba	..	..
Australia	6.1	5.3
Austria	4.6	4.7
Azerbaijan	12.8	5.8
Bahamas, The	8	9.9
Bahrain	4.5	2.7
Bangladesh	3.3	6.6
Barbados	11.4	9.6
Belarus	10.1	3.6
Belgium	8.3	5.6
Belize	18.3	9.7
Benin	0.5	2.6
Bermuda	..	..
Bhutan	2.2	3.1
Bolivia	3.7	3.6
Bosnia and Herzegovina	29.7	20.3
Botswana	17.3	20.5
Brazil	12.9	14.2
British Virgin Islands	..	..
Brunei Darussalam	7.3	9.6
Bulgaria	15.8	4.7
Burkina Faso	2.7	8.9
Burundi	1.4	1
Cabo Verde	10.9	11.5
Cambodia	1.5	0.8
Cameroon	6.6	3.8
Canada	6.7	5.5
Cayman Islands	..	..
Central African Republic	3.8	3.6
Chad	0.6	1.6
Channel Islands	8.2	7.7
Chile	12.5	8
China	2.8	3.7
Colombia	25.1	11.8
Comoros	4.9	4.7
Congo, Dem. Rep.	2.2	3.4
Congo, Rep.	21.2	10.3
Costa Rica	6.6	12.2
Cote d'Ivoire	4.4	3.8
Croatia	17.3	9.3
Cuba	8.4	1.8
Curacao	..	..
Cyprus	7.4	8.8
Czech Republic	10.5	2.8
Denmark	5	5.1
Djibouti	10.5	10.4
Dominica	..	..
Dominican Republic	10.7	8.1
Ecuador	6.4	4.4
Egypt, Arab Rep.	23	23
El Salvador	3.7	3.8
Equatorial Guinea	6.7	6.1
Eritrea	5.2	4.9
Estonia	11.6	5.3
Eswatini	27.5	23.9
Ethiopia	4.7	2.7
Faroe Islands	..	..
Fiji	5.1	5.5
Finland	12	7.3
France	12.2	9.1
French Polynesia	13.5	13.4
Gabon	20.2	28.1
Gambia, The	12.6	12.2
Georgia	10.5	12.5
Germany	8.3	2.9
Ghana	10.7	4.3
Gibraltar	..	..
Greece	17.2	24.3
Greenland	..	..
Grenada	..	..
Guam	13	4.9
Guatemala	3.4	3.5
Guinea	3.5	3.3
Guinea-Bissau	2.4	2.2
Guyana	15.1	15.2
Haiti	9.5	16.6
Honduras	4.1	7.2
Hong Kong SAR, China	4	2.6
Hungary	5.8	4
Iceland	2.6	2.5
India	5.4	5.3
Indonesia	6.7	4.3
Iran, Islamic Rep.	18.6	19.1
Iraq	7.5	30.9
Ireland	4.3	5.7
Isle of Man	..	..
Israel	11.2	4
Italy	14.9	11.8
Jamaica	22.3	11.9
Japan	4.5	2.2
Jordan	21.2	23.7
Kazakhstan	14.5	5.3
Kenya	3	2.8
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	2.5	2.3
Korea, Rep.	3.6	3.7
Kosovo	..	..
Kuwait	2	5.4
Kyrgyz Republic	8.8	6.4
Lao PDR	2	0.6
Latvia	13.4	6.4
Lebanon	9.9	10
Lesotho	43.3	27.8
Liberia	2.2	2.2
Libya	25.1	24.6
Liechtenstein	..	..
Lithuania	13.6	5.4
Luxembourg	3.1	5.9
Macao SAR, China	4.6	1.6
Madagascar	5.9	1.7
Malawi	6.9	6.6
Malaysia	3.1	3.8
Maldives	2.7	5.3
Mali	5.8	7.9
Malta	6.5	3.6
Marshall Islands	..	..
Mauritania	11.9	11.9
Mauritius	12.4	9.9
Mexico	3.3	3.4
Micronesia, Fed. Sts.	..	..
Moldova	7.2	2.5
Monaco	..	..
Mongolia	6.1	5.6
Montenegro	35.8	15.1
Morocco	13	10.5
Mozambique	1.9	3.5
Myanmar	0.9	2
Namibia	21.6	18.6
Nauru	..	..
Nepal	1.6	1.2
Netherlands	3.5	4
New Caledonia	20.1	14
New Zealand	6	4.5
Nicaragua	7.8	5.3
Niger	1	0.4
Nigeria	3.7	9.1
North Macedonia	34.9	19.9
Northern Mariana Islands	..	..
Norway	3.3	3.5
Oman	8.9	11.8
Pakistan	0.3	4.6
Palau	..	..
Panama	5	5
Papua New Guinea	2	1.3
Paraguay	11.6	5.3
