Country	Male	Female
Afghanistan	55	30
Albania	99	98
Algeria	87	75
American Samoa	..	..
Andorra	..	..
Angola	80	53
Antigua and Barbuda	98	99
Argentina	99	99
Armenia	100	100
Aruba	98	98
Australia	..	..
Austria	..	..
Azerbaijan	100	100
Bahamas, The	..	..
Bahrain	99	95
Bangladesh	77	71
Barbados	100	100
Belarus	100	100
Belgium	..	..
Belize	..	..
Benin	54	31
Bermuda	..	..
Bhutan	75	57
Bolivia	97	89
Bosnia and Herzegovina	99	95
Botswana	86	87
Brazil	93	93
Brunei Darussalam	98	96
Bulgaria	99	98
Burkina Faso	50	33
Burundi	76	61
Cabo Verde	92	82
Cambodia	87	75
Cameroon	83	72
Canada	..	..
Cayman Islands	..	..
Central African Republic	50	26
Chad	31	14
Channel Islands	..	..
Chile	96	96
China	98	95
Hong Kong SAR, China	..	..
Macao SAR, China	98	95
Colombia	95	95
Comoros	65	53
Congo, Dem. Rep.	89	66
Congo, Rep.	86	75
Costa Rica	98	98
Cote d'Ivoire	54	40
Croatia	100	99
Cuba	100	100
Curacao	..	..
Cyprus	99	98
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	94	94
Ecuador	94	92
Egypt, Arab Rep.	76	66
El Salvador	91	87
Equatorial Guinea	97	91
Eritrea	84	69
Estonia	100	100
Eswatini	88	89
Ethiopia	59	44
Faroe Islands	..	..
Fiji	99	99
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	86	83
Gambia, The	62	42
Georgia	99	99
Germany	..	..
Ghana	84	74
Greece	99	97
Greenland	..	..
Grenada	99	99
Guam	..	..
Guatemala	87	76
Guinea	44	22
Guinea-Bissau	62	31
Guyana	86	85
Haiti	65	58
Honduras	87	87
Hungary	99	99
Iceland	..	..
India	82	66
Indonesia	97	94
Iran, Islamic Rep.	90	81
Iraq	91	80
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	99	99
Jamaica	83	93
Japan	..	..
Jordan	99	98
Kazakhstan	100	100
Kenya	85	78
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	..
Kuwait	97	95
Kyrgyz Republic	100	99
Lao PDR	90	79
Latvia	100	100
Lebanon	97	93
Lesotho	68	85
Liberia	63	34
Libya	..	..
Liechtenstein	..	..
Lithuania	100	100
Luxembourg	..	..
Madagascar	77	72
Malawi	70	55
Malaysia	96	94
Maldives	97	98
Mali	46	26
Malta	93	96
Marshall Islands	98	98
Mauritania	64	43
Mauritius	93	89
Mexico	96	95
Micronesia, Fed. Sts.	..	..
Moldova	100	99
Monaco	..	..
Mongolia	98	99
Montenegro	99	98
Morocco	83	65
Mozambique	73	50
Myanmar	80	72
Namibia	92	91
Nepal	79	60
Netherlands	..	..
New Caledonia	98	98
New Zealand	..	..
Nicaragua	82	83
Niger	39	23
Nigeria	71	53
North Macedonia	99	97
Northern Mariana Islands	..	..
Norway	..	..
Oman	97	93
Pakistan	71	46
Palau	97	96
Panama	96	95
Papua New Guinea	65	58
Paraguay	95	94
Peru	97	92
Philippines	98	98
Poland	..	..
Portugal	97	95
Puerto Rico	92	92
Qatar	93	95
Romania	99	99
Russian Federation	100	100
Rwanda	78	69
Samoa	99	99
San Marino	100	100
Sao Tome and Principe	96	90
Saudi Arabia	97	93
Senegal	65	40
Serbia	99	98
Seychelles	95	96
Sierra Leone	52	35
Singapore	99	96
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	100	100
Solomon Islands	..	..
Somalia	..	..
South Africa	88	86
South Sudan	40	29
Spain	99	98
Sri Lanka	93	91
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	65	56
Suriname	96	93
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	100	100
Tanzania	83	73
Thailand	95	92
Timor-Leste	72	64
Togo	77	51
Tonga	99	99
Trinidad and Tobago	99	98
Tunisia	86	72
Turkey	99	93
Turkmenistan	100	100
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	83	71
Ukraine	100	100
United Arab Emirates	93	95
United Kingdom	..	..
United States	..	..
Uruguay	98	99
Uzbekistan	100	100
Vanuatu	88	87
Venezuela, RB	97	97
Vietnam	96	94
Virgin Islands (U.S.)	..	..
West Bank and Gaza	99	96
Yemen, Rep.	..	..
Zambia	91	83
Zimbabwe	89	88
World	90	83
East Asia & Pacific	97	94
Europe & Central Asia	99	98
Latin America & Caribbean	94	93
Middle East & North Africa	85	72
North America	..	..
South Asia	80	64
Sub-Saharan Africa	73	59
Low income	71	56
Lower middle income	83	71
Upper middle income	97	94
High income	..	..
