Country	Savings %
Afghanistan	2.5
Albania	-2.6
Algeria	21.1
American Samoa	..
Andorra	..
Angola	-23.2
Antigua and Barbuda	..
Argentina	5
Armenia	-3.8
Aruba	..
Australia	4.4
Austria	14.3
Azerbaijan	8.4
Bahamas, The	-3.9
Bahrain	14
Bangladesh	22.5
Barbados	-8.2
Belarus	16
Belgium	11.1
Belize	-3.7
Benin	2.8
Bermuda	..
Bhutan	16.9
Bolivia	-1
Bosnia and Herzegovina	..
Botswana	23.7
Brazil	3.2
Brunei Darussalam	30.1
Bulgaria	14.5
Burkina Faso	-2.4
Burundi	-16.8
Cabo Verde	19.6
Cambodia	10.5
Cameroon	-0.4
Canada	6.1
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	1.5
China	22.4
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	-3.3
Comoros	4.4
Congo, Dem. Rep.	-4.1
Congo, Rep.	-40
Costa Rica	16.4
Cote d'Ivoire	16.4
Croatia	14.5
Cuba	..
Curacao	..
Cyprus	14.9
Czech Republic	10.6
Denmark	18.3
Djibouti	19.2
Dominica	..
Dominican Republic	19.5
Ecuador	3.7
Egypt, Arab Rep.	4
El Salvador	5.3
Equatorial Guinea	..
Eritrea	..
Estonia	15.2
Eswatini	13.5
Ethiopia	8.5
Faroe Islands	..
Fiji	..
Finland	11.2
France	9.1
French Polynesia	..
Gabon	..
Gambia, The	-8
Georgia	9.4
Germany	14.5
Ghana	-8.2
Greece	-1
Greenland	..
Grenada	..
Guam	..
Guatemala	0.6
Guinea	-20.3
Guinea-Bissau	-2.2
Guyana	20.1
Haiti	15.5
Honduras	19.3
Hungary	14.3
Iceland	11.2
India	17.1
Indonesia	12.8
Iran, Islamic Rep.	..
Iraq	-3.4
Ireland	18.3
Isle of Man	..
Israel	15.6
Italy	6.3
Jamaica	17.8
Japan	7.4
Jordan	3.2
Kazakhstan	5.7
Kenya	-2.9
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	18.1
Kosovo	..
Kuwait	18.7
Kyrgyz Republic	7.8
Lao PDR	-2.7
Latvia	4.8
Lebanon	-14.1
Lesotho	1
Liberia	-98.5
Libya	..
Liechtenstein	..
Lithuania	11.2
Luxembourg	13
Madagascar	5.1
Malawi	-6.2
Malaysia	2.6
Maldives	..
Mali	2.9
Malta	..
Marshall Islands	..
Mauritania	2.6
Mauritius	3.2
Mexico	6.6
Micronesia, Fed. Sts.	..
Moldova	4.5
Monaco	..
Mongolia	-2.7
Montenegro	..
Morocco	19.6
Mozambique	4.4
Myanmar	23.3
Namibia	2.6
Nepal	37.9
Netherlands	19.2
New Caledonia	..
New Zealand	11
Nicaragua	15.1
Niger	10.7
Nigeria	0.5
North Macedonia	15.4
Northern Mariana Islands	..
Norway	18.1
Oman	-10.1
Pakistan	11.1
Palau	..
Panama	26.7
Papua New Guinea	..
Paraguay	8
Peru	6.4
Philippines	26.6
Poland	10.6
Portugal	4.7
Puerto Rico	..
Qatar	29.4
Romania	0.9
Russian Federation	8.7
Rwanda	-4.2
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	16.8
Senegal	9.4
Serbia	..
Seychelles	..
Sierra Leone	-20.4
Singapore	35.7
Sint Maarten (Dutch part)	..
Slovak Republic	4.3
Slovenia	11.4
Solomon Islands	..
Somalia	..
South Africa	-0.7
South Sudan	..
Spain	10.2
Sri Lanka	19.3
St. Kitts and Nevis	..
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	-4.7
Sudan	-0.3
Suriname	..
Sweden	18.6
Switzerland	16.9
Syrian Arab Republic	..
Tajikistan	13
Tanzania	16.6
Thailand	15.1
Timor-Leste	-11.6
Togo	0.7
Tonga	..
Trinidad and Tobago	..
Tunisia	-8
Turkey	12.1
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	-10.8
Ukraine	-2.9
United Arab Emirates	..
United Kingdom	3.1
United States	5.6
Uruguay	5.2
Uzbekistan	26.8
Vanuatu	..
Venezuela, RB	..
Vietnam	13.6
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	10.2
Zimbabwe	-16.9
World	10.8
East Asia & Pacific	17.3
Europe & Central Asia	9.3
Latin America & Caribbean	4.5
Middle East & North Africa	13.7
North America	5.6
South Asia	17.2
Sub-Saharan Africa	-2.2
Low income	0.3
Lower middle income	13.6
Upper middle income	14.7
High income	8.9
