Country	Most recent year	Tariff
Afghanistan	..	4.8
Albania	2017	1.3
Algeria	..	9.8
American Samoa	..	..
Andorra	..	..
Angola	2016	17.6
Antigua and Barbuda	2017	13.4
Argentina	2017	1.6
Armenia	2017	1.7
Aruba	..	8.4
Australia	2017	0.6
Austria	2017	1.7
Azerbaijan	..	3.1
Bahamas, The	..	7.8
Bahrain	2017	21.7
Bangladesh	2016	7.9
Barbados	2013	16.2
Belarus	..	1
Belgium	2017	1.7
Belize	2017	8
Benin	2017	19.9
Bermuda	..	23.4
Bhutan	..	2
Bolivia	2017	6
Bosnia and Herzegovina	..	3.7
Botswana	2017	0.8
Brazil	2017	2.9
Brunei Darussalam	2017	0
Bulgaria	2017	1.7
Burkina Faso	2017	15.2
Burundi	2016	6.7
Cabo Verde	2015	11.5
Cambodia	2016	11
Cameroon	2014	11.1
Canada	2017	4.3
Cayman Islands	..	34.3
Central African Republic	2017	17.2
Chad	2016	17.5
Channel Islands	..	..
Chile	2017	0.6
China	2017	2.7
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	4.1
Comoros	..	7.3
Congo, Dem. Rep.	2014	11
Congo, Rep.	2015	17
Costa Rica	2016	2.6
Cote d'Ivoire	2017	13.5
Croatia	2017	1.7
Cuba	2017	4.8
Curacao	..	..
Czech Republic	2017	1.7
Denmark	2017	1.7
Djibouti	2014	14.1
Dominica	2017	7.3
Dominican Republic	2017	3.5
Ecuador	2017	2.5
Egypt, Arab Rep.	2017	8.5
El Salvador	2017	1.7
Equatorial Guinea	..	21.4
Eritrea	..	3.5
Estonia	2017	1.7
Ethiopia	..	8.7
Faroe Islands	..	..
Fiji	2017	25.7
Finland	2017	1.7
France	2017	1.7
French Polynesia	..	3.4
Gabon	2016	17.3
Gambia, The	2013	12.2
Georgia	2016	1.1
Germany	2017	1.7
Ghana	2017	13.4
Greece	2017	1.7
Greenland	..	..
Grenada	2016	14.7
Guam	..	..
Guatemala	2015	1.2
Guinea	2017	15.9
Guinea-Bissau	2017	17.8
Guyana	2017	5.6
Haiti	2016	7
Honduras	2015	2.7
Hungary	2017	1.7
Iceland	2017	6.3
India	2017	4.6
Indonesia	2017	2.3
Iran, Islamic Rep.	..	11.9
Iraq	..	..
Ireland	2017	1.7
Isle of Man	..	..
Israel	2017	5.2
Italy	2017	1.7
Jamaica	2016	11.4
Japan	2017	4.5
Jordan	2017	6.1
Kazakhstan	2017	1.8
Kenya	2016	13.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	10
Kosovo	..	..
Kuwait	2017	9.5
Kyrgyz Republic	2017	0.6
Lao PDR	2017	2.8
Latvia	2017	1.7
Lebanon	..	5.6
