Country	Survey Year	Agriculture	Manufacturing	Services
Afghanistan	2011	..	..	..
Albania	2010	83.9	1.3	9.3
Algeria	2013	..	..	..
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	2001	..	..	..
Antigua and Barbuda	..	..	..	..
Argentina	2012	..	..	..
Armenia	2010	..	..	..
Aruba	..	..	..	..
Australia	..	..	..	..
Austria	..	..	..	..
Azerbaijan	2005	91.7	0.7	7.4
Bahamas, The	..	..	..	..
Bahrain	..	..	..	..
Bangladesh	2013	39.3	27.3	33.3
Barbados	..	..	..	..
Belarus	2012	..	..	..
Belgium	..	..	..	..
Belize	..	54.7	3.8	39.1
Benin	2012	..	..	..
Bermuda	..	..	..	..
Bhutan	..	..	..	..
Bolivia	2015	74.5	7	18.5
Bosnia and Herzegovina	2006	..	..	..
Botswana	..	..	..	..
Brazil	2015	56.1	8.4	35.6
Brunei Darussalam	..	..	..	..
Bulgaria	..	..	..	..
Burkina Faso	2010	70.9	1.4	24.9
Burundi	2010	..	..	..
Cabo Verde	..	..	..	..
Cambodia	2012	62	13.3	22.2
Cameroon	2011	88.5	3.1	8.2
Canada	..	..	..	..
Cayman Islands	..	..	..	..
Central African Republic	2010	..	..	..
Chad	2015	..	..	..
Channel Islands	..	..	..	..
Chile	2012	29.4	2.9	60.3
China	..	..	..	..
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	2015	43.3	15.2	41.4
Comoros	..	..	..	..
Congo, Dem. Rep.	2014	..	..	..
Congo, Rep.	2012	..	..	..
Costa Rica	2016	36.6	10.1	53.5
Cote d'Ivoire	2012	..	..	..
Croatia	..	..	..	..
Cuba	..	..	..	..
Curacao	..	..	..	..
Cyprus	..	..	..	..
Czech Republic	..	..	..	..
Denmark	..	..	..	..
Djibouti	..	..	..	..
Dominica	..	..	..	..
Dominican Republic	2014	23.5	15.3	61.2
Ecuador	2015	79.4	4.9	15.7
Egypt, Arab Rep.	2009	53.2	9.6	30.4
El Salvador	2013	51.1	11.1	37.8
Equatorial Guinea	..	..	..	..
Eritrea	..	..	..	..
Estonia	..	..	..	..
Eswatini	2010	..	..	..
Ethiopia	2011	94.6	1.5	3.7
Faroe Islands	..	..	..	..
Fiji	..	..	..	..
Finland	..	..	..	..
France	..	..	..	..
French Polynesia	..	..	..	..
Gabon	2012	..	..	..
Gambia, The	2015	94.7	2.6	2.7
Georgia	2006	..	..	..
Germany	..	..	..	..
Ghana	2012	78.1	3.3	18.1
Greece	..	..	..	..
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	2015	58.9	11.4	28.5
Guinea	2012	75.8	1.7	18.8
Guinea-Bissau	2014	..	..	..
Guyana	..	..	..	..
Haiti	2012	..	..	..
Honduras	2014	57.9	9.4	32.8
Hungary	..	..	..	..
Iceland	..	..	..	..
India	2012	56.5	27.6	10.4
Indonesia	2010	61.6	9.9	26.5
Iran, Islamic Rep.	..	..	..	..
Iraq	2011	..	..	..
Ireland	..	..	..	..
Isle of Man	..	..	..	..
Israel	..	..	..	..
Italy	..	..	..	..
Jamaica	2011	..	..	..
Japan	..	..	..	..
Jordan	2016	42.7	14.7	42.6
Kazakhstan	2006	..	..	..
Kenya	2009	..	..	..
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	..	..	..	..
Kosovo	..	..	..	..
Kuwait	..	..	..	..
Kyrgyz Republic	2014	98.9	0.3	0.8
Lao PDR	2010	95.1	2.1	2.4
Latvia	..	..	..	..
Lebanon	..	..	..	..
Lesotho	2002	58	0	10.4
Liberia	2010	77.6	2.8	18.5
Libya	..	..	..	..
Liechtenstein	..	..	..	..
Lithuania	..	..	..	..
Luxembourg	..	..	..	..
Madagascar	2007	87.6	2.9	8.2
Malawi	2015	71.2	0.1	28.7
Malaysia	..	..	..	..
Maldives	..	..	..	..
Mali	2013	72.4	4.7	12.3
Malta	..	..	..	..
Marshall Islands	..	..	..	..
Mauritania	2011	..	..	..
Mauritius	..	..	..	..
Mexico	2013	34.5	11.7	53.9
Micronesia, Fed. Sts.	..	..	..	..
Moldova	2009	97.2	0.1	2.2
Monaco	..	..	..	..
Mongolia	2013	85	2	12.3
Montenegro	..	..	..	..
Morocco	2004	55.5	17.9	21.9
Mozambique	2008	..	..	..
Myanmar	..	..	..	..
Namibia	..	..	..	..
Nepal	2014	89	1.4	3.1
Netherlands	..	..	..	..
New Caledonia	..	..	..	..
New Zealand	..	..	..	..
Nicaragua	2012	53.9	8.1	38
Niger	2012	14.4	3.3	81
Nigeria	2011	85.2	3.3	10.2
North Macedonia	2011	..	..	..
Northern Mariana Islands	..	..	..	..
Norway	..	..	..	..
Oman	..	..	..	..
Pakistan	2011	76.1	6.7	14.6
Palau	..	..	..	..
Panama	2014	69.8	3	27.2
Papua New Guinea	..	..	..	..
Paraguay	2014	56.1	8.6	35.3
Peru	2015	62.6	5	31.1
Philippines	2011	54.5	4.3	40.2
Poland	..	..	..	..
Portugal	2001	48.5	11.2	33.3
Puerto Rico	..	..	..	..
Qatar	..	..	..	..
Romania	2000	97.1	0	2.3
Russian Federation	..	..	..	..
Rwanda	2014	69	0.9	22.3
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	..	..	..	..
Senegal	2015	85.6	2.8	2.6
Serbia	2014	..	..	..
Seychelles	..	..	..	..
Sierra Leone	2013	83.8	0.8	13.4
Singapore	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	..	..	..	..
Slovenia	..	..	..	..
Solomon Islands	..	..	..	..
Somalia	2006	..	..	..
South Africa	..	..	..	..
South Sudan	2008	60.2	0.3	38.2
Spain	..	..	..	..
Sri Lanka	2009	66.5	15.3	17.4
St. Kitts and Nevis	..	..	..	..
St. Lucia	..	..	..	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	2014	67.5	0.6	23.7
Suriname	..	..	..	..
Sweden	..	..	..	..
Switzerland	..	..	..	..
Syrian Arab Republic	2006	..	..	..
Tajikistan	2005	..	..	..
Tanzania	2014	95	0.3	4.8
Thailand	2006	..	..	..
Timor-Leste	2007	97.6	0	1
Togo	2014	72.2	2.7	24.3
Tonga	..	..	..	..
Trinidad and Tobago	2006	..	..	..
Tunisia	2012	..	..	..
Turkey	2006	57.1	14.3	27.1
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	2012	95.3	1.1	3.1
Ukraine	2012	..	..	..
United Arab Emirates	..	..	..	..
United Kingdom	..	..	..	..
United States	..	..	..	..
Uruguay	2009	28.5	8.5	58.6
Uzbekistan	2006	..	..	..
Vanuatu	..	..	..	..
Venezuela, RB	2013	31.8	9.4	58.9
Vietnam	2012	77.1	5.9	16.2
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	..	..	..	..
Yemen, Rep.	2010	70.4	1.1	27.3
Zambia	2008	91.9	0.7	7
Zimbabwe	..	..	..	..
