Country	%
Afghanistan	12.3
Albania	6.4
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	11.1
Armenia	20.6
Aruba	..
Australia	..
Austria	11.3
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	3.5
Barbados	..
Belarus	13.4
Belgium	12.4
Belize	6.5
Benin	..
Bermuda	..
Bhutan	..
Bolivia	2.5
Bosnia and Herzegovina	20.1
Botswana	..
Brazil	14.6
British Virgin Islands	..
Brunei Darussalam	8.9
Bulgaria	15
Burkina Faso	6.4
Burundi	..
Cabo Verde	9.3
Cambodia	0.2
Cameroon	..
Canada	11.9
Cayman Islands	5.7
Central African Republic	..
Chad	..
Channel Islands	..
Chile	6.9
China	..
Colombia	6.7
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	10.2
Cote d'Ivoire	2.2
Croatia	11.3
Cuba	..
Curacao	..
Cyprus	9.6
Czech Republic	10.6
Denmark	8.6
Djibouti	..
Dominica	..
Dominican Republic	5.7
Ecuador	2
Egypt, Arab Rep.	4.1
El Salvador	3.7
Equatorial Guinea	..
Eritrea	..
Estonia	10.3
Eswatini	25.4
Ethiopia	..
Faroe Islands	..
Fiji	2.6
Finland	15.9
France	15.9
French Polynesia	..
Gabon	..
Gambia, The	11.5
Georgia	10.5
Germany	8.8
Ghana	3.5
Gibraltar	..
Greece	21.8
Greenland	..
Grenada	..
Guam	..
Guatemala	3.1
Guinea	..
Guinea-Bissau	..
Guyana	14.4
Haiti	..
Honduras	5.3
Hong Kong SAR, China	3.9
Hungary	10.3
Iceland	4.5
India	4.2
Indonesia	3
Iran, Islamic Rep.	8.9
Iraq	..
Ireland	9.7
Isle of Man	..
Israel	6.8
Italy	14.5
Jamaica	..
Japan	..
Jordan	..
Kazakhstan	6.7
Kenya	1.6
Kiribati	9.3
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	3
Kosovo	54.9
Kuwait	..
Kyrgyz Republic	..
Lao PDR	11
Latvia	16.1
Lebanon	..
Lesotho	..
Liberia	2.8
Libya	..
Liechtenstein	..
Lithuania	17.1
Luxembourg	8.4
Macao SAR, China	2.3
Madagascar	1.1
Malawi	29.6
Malaysia	2.1
Maldives	9.4
Mali	2.1
Malta	5.3
Marshall Islands	..
Mauritania	15.8
Mauritius	3.9
Mexico	3
Micronesia, Fed. Sts.	..
Moldova	5.2
Monaco	..
Mongolia	3
Montenegro	20.3
Morocco	..
Mozambique	6.1
Myanmar	0.6
Namibia	17.5
Nauru	..
Nepal	10.4
Netherlands	6.4
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	8.1
Nigeria	6.3
North Macedonia	23.3
Northern Mariana Islands	..
Norway	8.3
Oman	..
Pakistan	3.9
Palau	..
Panama	3.2
Papua New Guinea	..
Paraguay	5
Peru	2.1
Philippines	4.5
Poland	9.9
Portugal	7.1
Puerto Rico	..
Qatar	..
Romania	5.6
Russian Federation	12.7
Rwanda	14.2
Samoa	14.6
San Marino	4.5
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	8.4
Serbia	12.3
Seychelles	2.3
Sierra Leone	..
Singapore	3.5
Sint Maarten (Dutch part)	..
Slovak Republic	29.8
Slovenia	8.4
Solomon Islands	..
Somalia	..
South Africa	32.7
South Sudan	..
Spain	21.6
Sri Lanka	2.6
St. Kitts and Nevis	..
St. Lucia	25.4
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	18.7
Switzerland	8.1
Syrian Arab Republic	..
Tajikistan	..
Tanzania	..
Thailand	0.6
Timor-Leste	4.3
Togo	4.8
Tonga	3.8
Trinidad and Tobago	3.9
Tunisia	8.8
Turkey	10
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	8.1
Uganda	5.5
Ukraine	10.3
United Arab Emirates	1.2
United Kingdom	6.3
United States	5.9
Uruguay	9.9
Uzbekistan	..
Vanuatu	..
Venezuela, RB	..
Vietnam	0.9
Virgin Islands (U.S.)	..
West Bank and Gaza	24
Yemen, Rep.	..
Zambia	10.4
Zimbabwe	..
Arab World	..
Caribbean small states	..
Central Europe and the Baltics	11.9
Early-demographic dividend	7.9
East Asia & Pacific	..
East Asia & Pacific (excluding high income)	..
East Asia & Pacific (IDA & IBRD countries)	..
Euro area	16.1
Europe & Central Asia	13.5
Europe & Central Asia (excluding high income)	11.8
Europe & Central Asia (IDA & IBRD countries)	11.5
European Union	15.4
Fragile and conflict affected situations	..
Heavily indebted poor countries (HIPC)	..
High income	11.6
IBRD only	..
IDA & IBRD total	..
IDA blend	..
IDA only	..
IDA total	..
Late-demographic dividend	..
Latin America & Caribbean	11.3
Latin America & Caribbean (excluding high income)	11.4
Latin America & the Caribbean (IDA & IBRD countries)	11.3
Least developed countries: UN classification	..
Low & middle income	..
Low income	..
Lower middle income	..
Middle East & North Africa	..
Middle East & North Africa (excluding high income)	..
Middle East & North Africa (IDA & IBRD countries)	..
Middle income	..
North America	6.8
Not classified	..
OECD members	10.7
Other small states	..
Pacific island small states	..
Post-demographic dividend	11.8
Pre-demographic dividend	..
Small states	..
South Asia	4.2
South Asia (IDA & IBRD)	4.2
Sub-Saharan Africa	..
Sub-Saharan Africa (excluding high income)	..
Sub-Saharan Africa (IDA & IBRD countries)	..
Upper middle income	..
World	..
