Country	2000	2017
Afghanistan	46.1	29.8
Albania	7.2	6.2
Algeria	10.7	3.9
American Samoa	..	..
Andorra	..	..
Angola	71.5	25
Antigua and Barbuda	..	..
Argentina	3.5	4.6
Armenia	23.8	4.3
Aruba	..	..
Australia	2.5	2.5
Austria	2.5	2.5
Azerbaijan	23	2.5
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	20.8	14.7
Barbados	5.4	3.9
Belarus	2.5	2.5
Belgium	2.5	2.5
Belize	5.8	7.5
Benin	22.7	10.1
Bermuda	..	..
Bhutan	..	..
Bolivia	33.4	17.1
Bosnia and Herzegovina	4.4	2.5
Botswana	35.7	26.4
Brazil	11.9	2.5
Brunei Darussalam	3.1	3.2
Bulgaria	4.8	3.6
Burkina Faso	25.4	20
Burundi	..	..
Cabo Verde	17.9	12.6
Cambodia	29.3	16.4
Cameroon	30.8	9.9
Canada	2.5	2.5
Cayman Islands	..	..
Central African Republic	42.5	59.6
Chad	40.1	37.5
Channel Islands	..	..
Chile	4.7	2.7
China	16.2	8.6
Hong Kong SAR, China	2.5	2.5
Macao SAR, China	22.6	11.2
Colombia	9.7	4.8
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	36.8	40.3
Costa Rica	5.1	4.8
Cote d'Ivoire	20.4	19
Croatia	10.4	2.5
Cuba	3.7	2.5
Curacao	..	..
Cyprus	3.5	5.6
Czech Republic	2.5	2.5
Denmark	2.5	2.5
Djibouti	48.1	18.9
Dominica	4.7	6.2
Dominican Republic	28.1	9.5
Ecuador	18.5	7.9
Egypt, Arab Rep.	5.2	4.5
El Salvador	11	9
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	5.6	2.9
Ethiopia	52	20.6
Faroe Islands	..	..
Fiji	4.8	3.7
Finland	2.5	2.5
France	2.5	2.5
French Polynesia	4.6	4.2
Gabon	10.5	10.5
Gambia, The	13.1	10.2
Georgia	13.5	7.9
Germany	2.5	2.5
Ghana	15.6	5.5
Greece	2.5	2.5
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	20.5	15.2
Guinea	26.3	16.5
Guinea-Bissau	25.7	28
Guyana	8.3	8.1
Haiti	54.9	49.3
Honduras	19.6	12.9
Hungary	2.5	2.5
Iceland	2.5	2.5
India	18.2	14.5
Indonesia	18.5	8.3
Iran, Islamic Rep.	4.9	4.9
Iraq	28.3	29
Ireland	2.5	2.5
Isle of Man	..	..
Israel	2.5	2.5
Italy	2.5	2.5
Jamaica	7.4	8
Japan	2.5	2.5
Jordan	12.6	12.2
Kazakhstan	5.8	2.5
Kenya	31.3	29.4
Kiribati	4.4	2.7
Korea, Dem. Peopleâ€™s Rep.	37.5	47.8
Korea, Rep.	2.5	2.5
Kosovo	..	..
Kuwait	2.5	2.8
Kyrgyz Republic	16.3	7.1
Lao PDR	37.7	16.5
Latvia	5.3	2.5
Lebanon	2.5	11
Lesotho	13.6	13.1
Liberia	38.4	37.2
Libya	..	..
Liechtenstein	..	..
Lithuania	2.5	2.5
Luxembourg	2.5	2.5
North Macedonia	7.9	3.2
Madagascar	34.4	44.4
Malawi	27.1	17.5
Malaysia	2.8	2.5
Maldives	14	10.3
Mali	14.6	6.3
Malta	2.5	2.5
Marshall Islands	..	..
Mauritania	11.6	10.4
Mauritius	6.6	6.5
Mexico	4.4	3.6
