Country	Tax
Afghanistan	0
Albania	18.8
Algeria	31.1
American Samoa	..
Andorra	..
Angola	9
Antigua and Barbuda	12.1
Argentina	29.9
Armenia	0
Aruba	..
Australia	21
Austria	33.7
Azerbaijan	25.4
Bahamas, The	6.4
Bahrain	13.5
Bangladesh	0
Barbados	12.7
Belarus	39
Belgium	44.5
Belize	5
Benin	26.4
Bermuda	..
Bhutan	0
Bolivia	18.8
Bosnia and Herzegovina	13.6
Botswana	0
Brazil	39.4
Brunei Darussalam	7.9
Bulgaria	21.5
Burkina Faso	21.4
Burundi	10.2
Cabo Verde	18.7
Cambodia	2.3
Cameroon	18.3
Canada	12.7
Cayman Islands	..
Central African Republic	19.8
Chad	28.4
Channel Islands	..
Chile	5.1
China	46.2
Hong Kong SAR, China	5.3
Macao SAR, China	..
Colombia	23.6
Comoros	0
Congo, Dem. Rep.	12.6
Congo, Rep.	31.3
Costa Rica	32.7
Cote d'Ivoire	23.3
Croatia	19.4
Cuba	..
Curacao	..
Cyprus	13
Czech Republic	38.4
Denmark	4
Djibouti	17.7
Dominica	7.9
Dominican Republic	18.6
Ecuador	13.7
Egypt, Arab Rep.	25.5
El Salvador	18.3
Equatorial Guinea	25.4
Eritrea	0
Estonia	38
Ethiopia	12.4
Faroe Islands	..
Fiji	12.4
Finland	23
France	50
French Polynesia	..
Gabon	25.5
Gambia, The	12.6
Georgia	0
Germany	21.5
Ghana	14.7
Greece	28.3
Greenland	..
Grenada	5.6
Guam	..
Guatemala	14.3
Guinea	28.6
Guinea-Bissau	24.8
Guyana	9.2
Haiti	12.4
Honduras	8.8
Hungary	26.4
Iceland	20.6
India	20.2
Indonesia	11.6
Iran, Islamic Rep.	25.9
Iraq	13.5
Ireland	12.4
Isle of Man	..
Israel	5.8
Italy	42.9
Jamaica	13.4
Japan	18.6
Jordan	16.1
Kazakhstan	10.1
Kenya	1.9
Kiribati	8.5
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	13.7
Kosovo	5.6
Kuwait	13
Kyrgyz Republic	19.5
Lao PDR	6.8
Latvia	27.2
Lebanon	24.9
Lesotho	0
Liberia	6.1
Libya	10.3
Liechtenstein	-2
Lithuania	35.2
Luxembourg	15.4
North Macedonia	0
Madagascar	20.3
Malawi	12.4
Malaysia	16.7
Maldives	7.9
Mali	43.1
Malta	11.1
Marshall Islands	13
Mauritania	10.3
Mauritius	8.2
Mexico	27.2
Micronesia, Fed. Sts.	8.5
Moldova	29.9
Monaco	..
Mongolia	13.5
Montenegro	13.4
Morocco	23.3
Mozambique	4.5
Myanmar	0.3
Namibia	1.9
Nepal	26.2
Netherlands	20.5
New Caledonia	..
New Zealand	2.8
Nicaragua	23.7
Niger	22.3
Nigeria	13.5
Northern Mariana Islands	..
Norway	15.9
Oman	13
Pakistan	15
Palau	10.7
Panama	20
Papua New Guinea	9.5
Paraguay	18.6
Peru	11
Philippines	8.9
Poland	25.3
Portugal	26.8
Puerto Rico	13.4
Qatar	11.3
Romania	3.4
Russian Federation	36.7
Rwanda	6
Samoa	8.5
San Marino	30.9
Sao Tome and Principe	6.8
Saudi Arabia	13.5
Senegal	23.6
Serbia	20.2
Seychelles	2.3
Sierra Leone	11.3
Singapore	17.8
Sint Maarten (Dutch part)	..
Slovak Republic	39.7
Slovenia	18.2
Solomon Islands	8.5
Somalia	..
South Africa	4
South Sudan	19.2
Spain	35.8
Sri Lanka	16.9
St. Kitts and Nevis	11.2
St. Lucia	5.6
St. Martin (French part)	..
St. Vincent and the Grenadines	6.2
Sudan	19.2
Suriname	0
Eswatini	6.4
Sweden	35.4
Switzerland	17.7
Syrian Arab Republic	19.3
Tajikistan	28.5
Tanzania	17.5
Thailand	5.4
Timor-Leste	6.8
Togo	23.1
Tonga	5.6
Trinidad and Tobago	9.4
Tunisia	25.3
Turkey	19.7
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	11.3
Ukraine	33.8
United Arab Emirates	14.1
United Kingdom	12
United States	9.8
Uruguay	15.6
Uzbekistan	17.4
Vanuatu	4.5
Venezuela, RB	18.2
Vietnam	24.3
Virgin Islands (U.S.)	..
West Bank and Gaza	0
Yemen, Rep.	11.3
Zambia	10.4
Zimbabwe	5.6
World	16.2
East Asia & Pacific	11.7
Europe & Central Asia	22.5
Latin America & Caribbean	14.8
Middle East & North Africa	16.2
North America	11.3
South Asia	10.8
Sub-Saharan Africa	14.4
Low income	16.3
Lower middle income	14.2
Upper middle income	15.4
High income	18.4
