Country	%_2000	%_2018
Afghanistan	11	10.3
Albania	16.3	13.1
Algeria	29.8	9.9
American Samoa	..	..
Andorra	..	..
Angola	4.8	6.7
Antigua and Barbuda	..	..
Argentina	14	8.2
Armenia	8	17.8
Aruba	..	..
Australia	6.5	5.3
Austria	4.8	5
Azerbaijan	11	4.1
Bahamas, The	6	10
Bahrain	0.6	0.1
Bangladesh	3.3	3.3
Barbados	7.4	9.2
Belarus	13.8	5.9
Belgium	5.3	6.3
Belize	7.2	4.5
Benin	1.1	2.2
Bermuda	..	..
Bhutan	1.2	1.8
Bolivia	2.3	3.5
Bosnia and Herzegovina	23.2	17.2
Botswana	14.8	14.3
Brazil	7.9	10.9
British Virgin Islands	..	..
Brunei Darussalam	4.5	8.3
Bulgaria	16.6	5.7
Burkina Faso	2.4	3.8
Burundi	2.4	1.9
Cabo Verde	10.5	12.7
Cambodia	0.6	0.5
Cameroon	8.5	2.9
Canada	6.9	6.1
Cayman Islands	..	..
Central African Republic	4.1	3.8
Chad	1.4	2
Channel Islands	8.2	7.2
Chile	9.4	6.7
China	3.6	4.7
Colombia	17.4	7.1
Comoros	4.3	4
Congo, Dem. Rep.	3.5	5
Congo, Rep.	18.6	9.1
Costa Rica	4.3	8
Cote d'Ivoire	4.6	2.8
Croatia	15	7.6
Cuba	3.9	1.6
Curacao	..	..
Cyprus	3.3	8
Czech Republic	7.3	1.8
Denmark	4	4.8
Djibouti	10.8	10.2
Dominica	..	..
Dominican Republic	4.2	4.2
Ecuador	3.8	2.9
Egypt, Arab Rep.	5.1	8.1
El Salvador	9.1	4.2
Equatorial Guinea	6.8	6.6
Eritrea	5.6	5.3
Estonia	15	5.4
Eswatini	21.8	20.9
Ethiopia	2.5	1.5
Faroe Islands	..	..
Fiji	3.4	3.5
Finland	10.4	7.4
France	8.5	9
French Polynesia	10.3	11.5
Gabon	15.5	14.3
Gambia, The	7.2	6.5
Georgia	11.1	14.8
Germany	7.6	3.8
Ghana	10.1	4.1
Gibraltar	..	..
Greece	7.5	15.4
Greenland	..	..
Grenada	..	..
Guam	16.9	5
Guatemala	2.4	1.9
Guinea	5.6	5.4
Guinea-Bissau	3	2.7
Guyana	10.3	9.8
Haiti	7.1	10.9
Honduras	3.8	4.7
Hong Kong SAR, China	5.6	3.2
Hungary	7.2	3.5
Iceland	1.3	2.9
India	5.8	5.3
Indonesia	5.7	4.7
Iran, Islamic Rep.	10.1	10.3
Iraq	9.2	10.1
Ireland	4.4	5.8
Isle of Man	..	..
Israel	11.1	4
Italy	8.3	9.7
Jamaica	10.2	6.7
Japan	4.9	2.6
Jordan	12.4	13
Kazakhstan	11.1	4.3
Kenya	2.8	2.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	3.4	3.1
Korea, Rep.	5	3.9
Kosovo	..	..
Kuwait	0.4	0.9
Kyrgyz Republic	6.6	5.7
Lao PDR	1.9	0.7
Latvia	15	8.4
Lebanon	7.8	4.9
Lesotho	27.5	20.8
Liberia	2.3	3.6
Libya	16.3	15.3
Liechtenstein	..	..
Lithuania	18.2	6.9
Luxembourg	1.8	5.3
Macao SAR, China	8.6	2.3
Madagascar	5.7	1.7
Malawi	5	4.7
Malaysia	3	3.1
Maldives	1.6	6
Mali	4.9	6.5
Malta	6.2	3.8
Marshall Islands	..	..
Mauritania	9	8.3
Mauritius	7.6	4.6
Mexico	2.2	3.2
Micronesia, Fed. Sts.	..	..
Moldova	9.8	3.5
Monaco	..	..
Mongolia	6.2	6.8
Montenegro	26.3	15.2
Morocco	13.8	8.6
Mozambique	4	3
Myanmar	0.7	1.2
Namibia	19.1	21.1
Nauru	..	..
Nepal	2	1.6
Netherlands	2.2	3.7
New Caledonia	14.9	11.9
New Zealand	6.3	4.1
Nicaragua	7.4	5.2
Niger	1.9	0.5
Nigeria	3.9	7.5
North Macedonia	30.5	21.3
Northern Mariana Islands	..	..
Norway	3.6	4
Oman	4.7	1.5
Pakistan	0.7	4
Palau	..	..
Panama	3	3.2
Papua New Guinea	3.8	3.5
Paraguay	7.9	4
Peru	5.7	3.3
Philippines	3.5	2.1
Poland	14.6	3.8
Portugal	3	6.6
Puerto Rico	11.8	10.7
Qatar	1.1	0.1
Romania	7.5	4.7
Russian Federation	10.8	4.9
Rwanda	1	1
Samoa	4.1	7.5
San Marino	..	..
Sao Tome and Principe	12.5	8.8
Saudi Arabia	3.8	2.9
Senegal	4.5	6.2
Serbia	10.8	12
Seychelles	..	..
Sierra Leone	4.5	5.2
Singapore	3.9	3.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	19.4	6.1
Slovenia	6.8	4.6
Solomon Islands	2.4	0.6
Somalia	11.9	11.4
South Africa	25.9	25.1
South Sudan	11.7	11.1
Spain	9.5	13.7
Sri Lanka	5.9	2.8
St. Kitts and Nevis	..	..
St. Lucia	12.9	19.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	22.2	20.4
Sudan	13.5	11.6
Suriname	9.1	4.3
Sweden	5.9	6.4
Switzerland	2.3	4.4
Syrian Arab Republic	7	5.8
Tajikistan	15.6	11.8
Tanzania	3	1.5
Thailand	2.4	0.8
Timor-Leste	2.6	3.2
Togo	4.5	2.6
Tonga	2.6	0.5
Trinidad and Tobago	3.1	2.5
Tunisia	14.6	12.7
